number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_vapor_pressure,state
0,133.56770381003815,0.9555267777189138,True,True,True,True,False,True,True,True,False,False,small,6.0,0.019203631989821227,5,39,0.021675220478266477,654,107,none,0.2194549841910305,0.0006671586455354554,max,0.9430114402750319,2,False,COMPLETE
1,145.63990525405382,0.6866315906767838,False,True,False,True,False,True,True,True,True,True,small,6.0,0.1705545535162699,15,92,0.4434188199838651,627,65,large,9.149534110769404e-05,0.0024792083446058652,capacity,0.7531550769318278,6,False,COMPLETE
2,137.43536715896877,0.5169296481122978,True,True,True,True,True,False,True,False,False,True,large,,0.014790725726675839,13,54,0.23487404050315064,411,11,large,0.004754228148843232,0.2081088358014481,idw,0.9707571786979428,2,False,COMPLETE
3,139.5014128594233,0.6550011118891796,False,True,False,True,True,False,True,False,False,False,small,12.0,0.010923072229436772,12,92,0.03599534026205281,470,44,large,0.37540017378837637,8.077946346790386e-08,idw,0.6201092512840416,0,False,COMPLETE
4,148.82569661913328,0.8385028193862154,True,False,True,False,True,True,True,False,True,False,none,1.0,0.03798077873768715,16,77,0.14852103234526753,815,102,small,0.1363932695985841,0.03034082139521036,distance_capacity,0.9865706629727458,6,True,COMPLETE
5,161.57058731333262,0.8824135326982865,False,False,True,False,True,False,True,False,False,False,small,1.0,0.25080966861204285,8,45,0.12361198258640499,760,111,large,0.7682099941168424,5.1130188259991405e-08,distance_capacity,0.8464906025107444,6,False,COMPLETE
6,158.6357426866309,0.8690452576934199,True,True,False,False,False,False,True,False,True,False,none,6.0,0.21638977812258406,14,5,0.45459967516474986,525,139,small,1.0416444308763485e-08,0.0020739161875344384,distance_capacity,0.9827422334889331,6,True,COMPLETE
7,152.08109985159024,0.6278145067183056,True,False,True,True,True,False,False,True,True,False,none,12.0,0.10238558942365611,14,22,0.485203247481701,332,108,large,0.04291931130223577,2.638741005315407e-05,distance_capacity,0.6999990988351737,2,True,COMPLETE
8,175.5183793053258,0.8818541565178188,False,False,False,False,True,True,True,True,True,True,small,1.0,0.013174817553778995,16,96,0.22965024776681237,597,65,none,0.0004964494787380256,1.1088969767197494e-08,distance_capacity,0.7666850424895972,2,True,COMPLETE
9,132.12192344246384,0.7858403410854773,False,True,True,True,False,True,True,False,False,False,large,,0.018331787667277485,3,54,0.2812327016015918,499,63,large,1.0732618869265045e-05,1.3207960467456917e-07,max,0.7489770001865077,2,False,COMPLETE
10,128.50197315141122,0.7419415085434673,False,True,True,True,False,True,False,False,False,True,large,,0.0407868191773722,3,65,0.3491380459948641,965,22,small,1.950874681554577e-06,2.481542387842273e-06,max,0.5077867306522064,0,False,COMPLETE
11,128.58345698184357,0.7522031526641796,False,True,True,True,False,True,False,False,False,True,large,,0.03558587891738216,3,65,0.3522142639925051,953,18,small,1.830957639137584e-06,3.6447675438584958e-06,max,0.5052872840620171,0,False,COMPLETE
12,127.99384604100463,0.7451712750185402,False,True,True,True,False,True,False,False,False,True,large,,0.036183331343024754,6,67,0.34707160179548896,984,12,small,5.013100342558678e-07,3.712892150801977e-06,None,0.510348891262594,0,False,COMPLETE
13,132.03456357441047,0.5706112371047286,False,True,True,True,False,True,False,False,False,True,large,,0.0728825139249884,7,73,0.3617954474819382,990,33,small,9.831907224534655e-08,2.1897983100867105e-06,None,0.5056204758544814,0,False,COMPLETE
14,135.52845332306163,0.7534484785935931,False,True,True,True,False,True,False,False,False,True,large,,0.04050550226382065,6,68,0.3604428672362567,870,37,small,1.028765018256911e-06,1.7194890169070242e-06,mean,0.6018388909126601,0,False,COMPLETE
15,130.4569381305072,0.6906343100678628,False,True,True,True,False,True,False,False,False,True,large,,0.06583473665836247,10,80,0.31354291317476723,924,23,small,2.5755069646007294e-07,7.361374069209895e-05,None,0.5877329414367589,0,False,COMPLETE
16,132.3053672491208,0.8082327124155584,False,True,True,True,False,True,False,False,False,True,large,,0.022971130574231093,5,31,0.41463586749146003,743,49,small,2.1183950446922937e-05,9.797023243630839e-06,distance_n_turbines,0.5564763708248067,0,False,COMPLETE
17,129.3251610969394,0.963606725518181,False,True,True,True,False,True,False,False,False,True,large,,0.02866638604010481,10,59,0.19738473855691663,883,87,small,1.0567081409563345e-08,4.830007973769732e-07,None,0.6595173306337077,0,False,COMPLETE
