Parameter,Value
compute_air_density,True
compute_wind_power_density,False
encode_wind_direction,False
compute_wind_shear,False
compute_wind_ramp,True
compute_air_density_moiust_air_correction,False
dew_point_temperature,True
vapor_pressure,False
gust_factor,False
turbulence_window,6
lags_choice,small
precip_lags_choice,none
drop_raw_main_features,True
drop_raw_wind_features,False
spatial_agg_method,None
lags_target,
n_estimators,795
learning_rate,0.03714237068436673
num_leaves,80
max_depth,15
min_child_samples,26
subsample,0.5739897691012459
colsample_bytree,0.8449503860828961
reg_alpha,3.2767319990287746e-05
reg_lambda,0.1469640688554833
min_split_gain,0.05858442381994893
