number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_solar_geometry,params_vapor_pressure,state
0,372.8546418438271,small,0.8498442981930427,True,True,True,False,True,True,True,False,False,False,False,12.0,0.196019175360461,9,10,575,small,7.376987748409452e-06,2.6070286447922937e-05,medium,None,0.9708087158762377,False,False,COMPLETE
1,2289.3000849552623,medium,0.5003120750663992,False,False,True,True,False,False,False,False,True,True,True,1.0,0.2043546240965331,7,2,776,small,2.4945038252343617e-05,0.13394177437868324,large,distance_capacity,0.643525991015066,False,True,COMPLETE
2,9972.264713840179,large,0.8020702269224382,False,False,False,False,False,True,False,True,False,False,False,,0.2317479183169433,7,4,903,large,4.8774429878591706e-08,0.003876425796496159,large,mean,0.676185121640723,False,False,COMPLETE
3,2484.791541857958,large,0.584031943392818,False,True,True,True,False,False,False,False,True,True,False,6.0,0.10211226805320853,5,4,417,large,0.00020664830068067722,0.001412890336832806,medium,max,0.6108360067579921,False,True,COMPLETE
4,194.9633986984489,none,0.8972053225141071,False,False,True,False,False,True,True,True,False,False,False,6.0,0.14688588537732591,9,4,392,large,2.4488708067679854e-05,3.422460116803701e-05,none,None,0.8080025573785108,True,False,COMPLETE
5,209.66620102555748,none,0.6047636932186504,True,True,False,True,True,True,True,False,False,False,False,6.0,0.02842910426548799,10,2,951,small,5.19560977089646e-06,1.1198180633651562e-06,none,idw,0.8372216725610822,False,False,COMPLETE
6,43189.841421797304,none,0.866007124353686,True,True,False,True,True,False,False,True,False,False,True,,0.10171146909895012,6,6,810,small,1.832533523342123e-06,0.0004943503562799306,medium,max,0.5911073995180025,False,True,COMPLETE
7,264.42247784315276,large,0.8197237862006785,False,True,True,False,False,False,True,False,True,False,False,1.0,0.019442307228361662,10,1,629,small,1.0250074285895283e-06,0.09498546913926367,small,mean,0.6728090460842275,False,False,COMPLETE
8,199.00554740425628,medium,0.7596309949390903,True,False,False,False,False,False,True,True,True,False,False,,0.07422349624680818,9,10,398,large,4.7788353664478415e-08,0.04889596511547184,medium,None,0.8748083933376103,True,True,COMPLETE
9,286.1162938250021,large,0.5290163229292497,False,True,True,True,False,True,False,False,True,True,True,1.0,0.1139626300942402,4,9,896,large,0.5090296394761031,0.21833606839758055,small,distance_n_panels,0.8665117735160105,True,True,COMPLETE
10,291.27576383700256,none,0.9907291449678176,False,False,True,False,True,True,True,True,False,True,True,6.0,0.03881841641777468,3,7,492,none,0.0011235841255810412,1.6623286063602418e-08,none,n_panels,0.7748456921575261,True,False,COMPLETE
11,185.54372083722765,medium,0.7117379581983527,True,False,False,False,False,False,True,True,True,False,False,,0.06183967484552224,8,8,312,large,1.1908769935577659e-08,9.797395340427094e-06,none,None,0.943378774886574,True,True,COMPLETE
12,168.10600817810644,medium,0.7039792649009072,True,False,False,False,False,True,True,True,True,False,False,12.0,0.04856361880392893,8,8,310,large,0.010704208547811617,1.2862245103096903e-05,none,None,0.9442854779412541,True,False,COMPLETE
13,481.6763849499537,medium,0.6666384128090234,True,False,False,False,False,False,True,True,True,False,False,12.0,0.010141312969273267,8,8,346,none,0.09600679910275155,1.5183106756112611e-06,none,capacity,0.9969330194917254,True,True,COMPLETE
14,163.32328285056772,medium,0.6777495786040602,True,False,False,False,False,True,True,True,True,False,False,12.0,0.05467090577765392,8,8,506,large,0.006128367591027279,1.050406376017354e-06,none,None,0.9307879018027243,True,False,COMPLETE
15,207.76257287945705,medium,0.6713742814479634,True,False,False,False,False,True,True,True,True,False,False,12.0,0.04014990726633134,6,6,510,large,0.007779991105251788,3.633522824091326e-08,none,None,0.5211058626121102,True,False,COMPLETE
16,206.16503647135994,small,0.6314943046835059,True,False,False,False,False,True,True,True,True,False,False,12.0,0.019463467581254695,8,8,490,large,0.010870518325956369,3.669867418531433e-07,none,distance_capacity,0.9150599154775217,True,False,COMPLETE
17,210.28403074377033,medium,0.7332744091147984,True,False,False,False,False,True,True,True,True,False,False,12.0,0.04260760782519229,7,7,717,none,0.004171514984946108,1.7509759256991924e-07,none,n_panels,0.9022514560194712,True,False,COMPLETE
18,257.481820384042,medium,0.7743449539522472,True,False,False,False,True,True,True,True,True,True,True,12.0,0.06441249664059218,5,9,571,large,0.08352432744518949,3.5658271195309864e-06,large,idw,0.7264858492443305,True,False,COMPLETE
19,212.36991378289682,medium,0.7049683821964216,True,False,False,False,False,True,True,True,True,False,False,12.0,0.028221651171280473,8,5,668,large,0.0008686022880615836,0.00014345941032297105,small,distance_n_panels,0.7454612755433989,True,False,COMPLETE
