Parameter,Value
compute_cloud_cover_fraction,False
compute_clear_sky_fraction,False
use_solar_geometry,True
compute_air_density,True
compute_air_density_moist,False
compute_direct_ratio,True
compute_diffuse_ratio,False
compute_dni_ratio,True
compute_global_tilted_ratio,True
dew_point_temperature,True
vapor_pressure,False
precip_lags_option,large
cloud_lags_option,medium
shortwave_lags_option,none
drop_raw_solar_features,False
drop_raw_features,False
spatial_agg_method,None
lags_target,12
n_estimators,506
learning_rate,0.05467090577765392
max_depth,8
min_child_weight,8
subsample,0.9307879018027243
colsample_bytree,0.6777495786040602
reg_alpha,0.006128367591027279
reg_lambda,1.050406376017354e-06
