number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_base_models_pred_intervals,params_use_solar_geometry,params_vapor_pressure,state
0,545.3847183984996,large,0.8663803105275563,True,False,False,False,False,True,False,True,False,False,True,0.07981089324040512,8,6,709,large,0.08719849299015982,0.3760925845788114,large,n_panels,0.5980219573614625,True,True,False,COMPLETE
1,603.7543642638309,none,0.7394957698838327,False,True,False,True,False,False,True,False,False,True,False,0.26580364062161643,4,6,534,large,1.4455436812896403e-06,1.8571287482233267e-06,large,distance_n_panels,0.7089046984077536,False,True,True,COMPLETE
2,472.25270610608646,none,0.9559637730317476,False,False,False,False,False,True,True,False,False,False,True,0.1039334486846707,7,4,751,large,0.2744077797711115,0.0006856356635080611,small,None,0.7565118047845847,True,False,False,COMPLETE
3,568.1132431796466,small,0.983711704290813,False,False,False,True,False,False,False,True,True,False,True,0.1422023675307609,9,2,911,small,5.665105441807646e-08,4.9538797600991625e-06,large,distance_capacity,0.6682032641612818,False,False,False,COMPLETE
4,520.3139560816899,large,0.6521385319794364,False,True,True,False,False,True,False,False,True,True,True,0.01906100344930048,10,8,942,none,0.7283706529986187,2.347142147054824e-06,none,capacity,0.9466585772458046,True,False,True,COMPLETE
5,583.3162160320406,none,0.5358134882271692,True,True,True,True,True,True,False,False,True,True,False,0.235159233904211,5,9,435,small,0.32085129947602475,3.005120302832621e-07,small,idw,0.9982778424373485,False,True,True,COMPLETE
6,483.26465861029334,large,0.5606272574346903,False,False,False,False,False,True,False,False,True,False,False,0.08258094653933276,8,2,498,large,1.40982699534613e-08,0.00010065545933415125,large,None,0.5058249531045045,False,True,False,COMPLETE
7,548.9502041249724,medium,0.659955732373317,False,False,True,False,False,True,False,False,True,True,True,0.042446012523899804,3,8,740,small,9.966020038806429e-07,0.0001354879736164918,none,n_panels,0.9214816555037972,True,True,False,COMPLETE
8,506.6948519697848,none,0.8121417733317243,True,True,False,True,False,False,False,False,True,True,False,0.06970589896065435,3,2,351,small,0.018743982548198753,0.02785839130834864,small,max,0.9086210891604514,False,True,False,COMPLETE
9,572.0172823693641,large,0.5175002849069048,False,True,False,True,True,True,False,False,True,True,False,0.14361788946591664,8,6,934,none,0.35921666006819175,1.1940405138438572e-06,none,idw,0.550907415177132,False,False,True,COMPLETE
10,485.1841923060895,medium,0.9999436304727811,True,False,True,False,True,False,True,True,False,False,True,0.011113991272973491,6,4,805,large,0.0012003329175225605,1.1001765596055698e-08,medium,None,0.8066574840502664,True,False,False,COMPLETE
11,493.1275459756748,small,0.6249076783693361,False,False,False,False,False,True,True,False,False,False,False,0.04119914583902763,7,1,565,large,8.15210075854391e-05,0.001170974848034971,small,None,0.8079551921096226,True,False,False,COMPLETE
12,493.56350807582385,none,0.9078321606161714,False,False,False,False,False,True,True,False,False,False,False,0.12331654038430681,7,4,584,large,6.133501638198531e-05,0.0010188202032266225,medium,None,0.6412843646723628,True,True,False,COMPLETE
13,510.254748129544,large,0.7445351209112727,False,False,False,False,False,True,True,False,False,False,True,0.029610687702723317,6,4,450,large,1.4555605455057083e-08,7.186705222494744e-05,small,mean,0.5009509944648073,False,False,False,COMPLETE
14,509.8509526265273,large,0.5928978524607171,False,False,False,False,True,True,True,True,True,False,True,0.08828748231342848,9,3,653,large,0.0017562035330790735,0.005855858336686693,large,None,0.7782264378573734,False,True,False,COMPLETE
15,508.9741522422418,none,0.8072003830936286,False,False,False,False,False,True,True,False,False,False,False,0.058438327969532376,8,1,819,large,1.679876598285349e-06,9.082431937722963e-05,small,None,0.7241913202350889,True,False,False,COMPLETE
16,584.0979997119784,medium,0.9232007897639332,False,False,False,False,False,True,True,False,True,False,True,0.10702233671854004,5,3,324,none,0.002334431635963386,0.23024326279726642,large,mean,0.8515161071339185,True,True,False,COMPLETE
17,532.9452374061333,small,0.6964381899413457,False,False,False,False,False,True,False,False,False,False,False,0.19504486187244777,10,5,474,large,1.588016890261212e-05,2.3831445105430204e-05,medium,distance_n_panels,0.6197364279567921,False,False,False,COMPLETE
18,501.0964089290762,large,0.574763737422325,True,False,True,False,True,False,True,True,False,False,True,0.02713928663451534,7,2,659,large,1.278149586742494e-07,0.0009653197913914225,large,max,0.6931060249423899,True,True,True,COMPLETE
19,568.6940081721865,none,0.8167621013429218,False,False,False,False,False,True,False,False,True,False,False,0.17571487792349844,9,5,834,none,0.013525352386892701,0.006534720236215913,small,distance_capacity,0.5634957399580702,False,False,False,COMPLETE
20,521.3844421976152,large,0.7021113733429905,False,False,False,False,False,True,False,False,True,False,True,0.04894499074320615,5,3,740,large,0.0007537786607816618,7.632797487642527e-08,small,capacity,0.750969689887116,True,False,False,COMPLETE
