Parameter,Value
compute_cloud_cover_fraction,False
compute_clear_sky_fraction,True
use_solar_geometry,True
compute_air_density,False
compute_air_density_moist,False
compute_direct_ratio,True
compute_diffuse_ratio,False
compute_dni_ratio,True
compute_global_tilted_ratio,False
dew_point_temperature,False
vapor_pressure,False
precip_lags_option,none
cloud_lags_option,medium
shortwave_lags_option,medium
drop_raw_solar_features,True
drop_raw_features,True
spatial_agg_method,max
n_estimators,554
learning_rate,0.09323562940925197
max_depth,6
min_child_weight,7
subsample,0.5932289981380442
colsample_bytree,0.8905700022358937
reg_alpha,1.528586961670041e-07
reg_lambda,0.029650713306512397
use_base_models_pred_intervals,False
cv_folds_base,35
