number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_lags_target,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_vapor_pressure,state
0,233.39515566116248,0.6177414494025268,False,False,False,False,True,True,True,False,False,False,large,,0.026575911909748166,6,4,642,none,0.0004723609676589233,0.34686289996268627,max,0.7989162013036647,0,True,COMPLETE
1,359.1111690969278,0.8460709577153203,True,False,False,False,True,False,True,False,False,False,small,12.0,0.2163138453755448,4,1,978,small,0.0001603843808100073,0.0010955380812943739,distance_n_turbines,0.5267769862822599,0,True,COMPLETE
2,250.22149829504033,0.5138252332016642,False,True,True,True,True,False,True,False,False,True,large,12.0,0.025712193525131412,4,2,722,large,1.2852127725867138e-05,1.1667134262741774e-08,capacity,0.9074830679476354,6,False,COMPLETE
3,293.1338153339887,0.5829950676759779,False,False,False,True,True,False,False,True,True,True,large,12.0,0.1528995951367152,5,9,547,none,2.855851242864972e-08,1.2374529787619714e-08,None,0.8147451462720712,0,False,COMPLETE
4,261.5250665955305,0.5883586013366858,False,False,True,False,True,False,True,False,False,False,small,12.0,0.034643994405936566,7,6,545,large,1.6201748951620753e-05,1.7941164762113115e-07,distance_n_turbines,0.6529216012204662,2,True,COMPLETE
5,307.6710287141685,0.5179781484706875,True,False,False,False,False,False,False,False,False,False,small,6.0,0.14402647679896205,8,4,749,none,5.5327488528457854e-06,0.0003975448340720075,idw,0.8517145991492896,0,False,COMPLETE
6,277.0306183319764,0.5459939800285851,True,False,False,False,False,False,True,False,True,True,none,1.0,0.016577103571735762,9,6,782,small,4.126131414339965e-05,0.17615854591916907,distance_n_turbines,0.6487189455311704,0,True,COMPLETE
7,234.65339073827963,0.8835427100412412,True,True,True,True,True,False,False,True,True,False,none,,0.28046778696101016,7,2,880,small,1.500787918496843e-08,3.018658864510885e-06,distance_capacity,0.9994188883801188,6,False,COMPLETE
8,280.26557835964917,0.6769892087170224,True,False,True,False,True,False,False,True,False,True,small,6.0,0.02101713095371961,9,1,456,small,0.0519893009482085,1.6406056819830007e-07,distance_n_turbines,0.9445589978270847,0,True,COMPLETE
9,356.3214915485208,0.6442667602440468,False,False,False,True,True,True,False,True,True,True,none,1.0,0.172156226340273,9,6,631,none,0.04605586429306486,0.14573348872703754,capacity,0.6909638648577547,2,True,COMPLETE
10,218.47313409967273,0.980284878193457,False,True,False,False,False,True,True,False,False,False,large,,0.05104623137644096,6,9,323,none,0.0021636522860186014,0.014451897939859393,max,0.7644622095165066,2,True,COMPLETE
11,219.50820576513675,0.978658488205016,False,True,False,False,False,True,True,False,False,False,large,,0.0677696090363935,6,10,305,none,0.0010975337550700446,0.00850594059551186,max,0.7738314010863455,2,True,COMPLETE
12,213.1511969148859,0.9965766905663908,False,True,False,False,False,True,True,False,False,False,large,,0.07120657467276058,6,10,309,none,0.003877714382358939,0.0065765592198538305,max,0.7233239843607202,2,True,COMPLETE
13,213.147243804042,0.9734235713597514,False,True,False,False,False,True,True,False,False,False,large,,0.06718665491809339,3,8,303,none,0.005944394293529445,0.011402893939379693,mean,0.7125860485548091,2,True,COMPLETE
14,211.8033143084011,0.8842423037510148,False,True,False,False,False,True,True,False,False,False,large,,0.08454842668225408,3,8,424,none,0.5258530443571435,4.092318769057021e-05,mean,0.5658735480518191,2,True,COMPLETE
15,222.8796714718707,0.8680611652706925,False,True,False,False,False,True,True,False,False,False,large,,0.010633969177265676,3,8,420,none,0.588998094924593,3.3619803752640735e-05,mean,0.5455077216957245,2,True,COMPLETE
16,208.77284084556638,0.7780091259887543,False,True,False,False,False,True,True,False,False,False,large,,0.0845441301981435,3,8,419,large,0.7484983192235751,2.8423677824061648e-05,mean,0.592305859984849,2,True,COMPLETE
17,209.1814837946878,0.7659889598354124,False,True,False,False,False,True,True,False,False,False,large,,0.10659777608185239,4,7,430,large,0.8167501352486615,3.382298507264916e-05,mean,0.5748444960325343,2,True,COMPLETE
18,304.14600598220915,0.7474690594400474,False,True,True,True,False,True,True,True,True,False,large,1.0,0.11922351735016203,4,7,524,large,0.07867661447694753,4.361477570117665e-06,mean,0.5877669308346515,6,False,COMPLETE
19,275.1087419452903,0.7687987883970013,False,True,False,False,False,True,True,False,False,False,none,6.0,0.10494619604084818,5,4,464,large,1.633300897363541e-06,5.243622968812746e-06,mean,0.6085130814173325,2,True,COMPLETE
20,210.09592898312437,0.7363819570220089,False,True,False,False,False,True,True,False,False,False,large,,0.048536767410775,5,5,389,large,0.9966134180747851,0.00023856203819289928,idw,0.511736298205548,2,True,COMPLETE
21,210.27038885278935,0.7368144350969797,False,True,False,False,False,True,True,False,False,False,large,,0.04173010181873661,5,5,391,large,0.9305205788090017,0.0002361896728490431,idw,0.5299727843952589,2,True,COMPLETE
