Parameter,Value
compute_air_density,True
compute_wind_power_density,True
encode_wind_direction,True
compute_wind_shear,False
compute_wind_ramp,True
compute_air_density_moiust_air_correction,True
dew_point_temperature,True
vapor_pressure,False
gust_factor,True
turbulence_window,6
lags_choice,small
precip_lags_choice,large
drop_raw_main_features,False
drop_raw_wind_features,True
spatial_agg_method,None
lags_target,
n_estimators,628
learning_rate,0.027800692273365686
max_depth,4
min_child_weight,9
subsample,0.6868940487812237
colsample_bytree,0.9109490405058926
reg_alpha,0.0005521013793090764
reg_lambda,4.1746737211806864e-08
