Parameter,Value
compute_cloud_cover_fraction,False
compute_clear_sky_fraction,False
use_solar_geometry,False
compute_air_density,False
compute_air_density_moist,True
compute_direct_ratio,False
compute_diffuse_ratio,True
compute_dni_ratio,False
compute_global_tilted_ratio,True
dew_point_temperature,True
vapor_pressure,True
precip_lags_option,large
cloud_lags_option,medium
shortwave_lags_option,small
drop_raw_solar_features,True
drop_raw_features,True
spatial_agg_method,n_panels
lags_target,
n_estimators,308
learning_rate,0.07747325625520221
num_leaves,19
max_depth,6
min_child_samples,92
subsample,0.9563270459907801
colsample_bytree,0.5571767494598384
reg_alpha,3.3726874824043426e-06
reg_lambda,0.0006877719241735981
min_split_gain,0.3884447185135983
