number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_solar_geometry,params_vapor_pressure,state
0,296.2134189059002,none,0.5731344265566966,False,False,True,True,True,False,True,False,True,False,False,6.0,0.11896009476146294,5,89,0.19200440968262417,885,31,none,0.001416674875366662,3.5457504037158e-06,small,n_panels,0.6588129123824857,False,False,COMPLETE
1,342.7746763013525,medium,0.7737387377571168,False,False,True,True,False,False,False,False,False,True,False,1.0,0.04647475507635071,14,53,0.4632061340726547,394,147,small,7.259823557656867e-05,1.6812740670633068e-08,large,capacity,0.7232677692873168,True,True,COMPLETE
2,341.13287149706287,medium,0.6463892618622306,False,True,False,False,True,False,True,True,False,True,False,12.0,0.20417256615498533,4,91,0.40773731600552815,599,97,none,6.891156396561464e-05,0.0007882500339037674,none,distance_capacity,0.500808253893954,True,False,COMPLETE
3,321.0289845525354,none,0.5651933675936548,False,False,False,False,True,False,False,False,True,False,False,1.0,0.25033824346767364,12,13,0.41503562395150273,675,33,none,0.007598488240537804,2.0438452603919567e-07,small,idw,0.6293034382133954,True,True,COMPLETE
4,367.6165466764557,none,0.6633692700589179,False,False,True,True,False,True,True,True,True,True,False,12.0,0.08822914190182048,6,10,0.2354215309786291,504,41,small,0.26361299555500833,4.847249679739212e-07,large,mean,0.971653246351218,False,False,COMPLETE
5,234.25270499986254,medium,0.9969986838700831,False,True,False,True,True,False,True,False,False,True,False,,0.15454180138335882,5,91,0.28708720654499603,698,60,small,3.482387436397851e-08,0.10966777464675913,large,mean,0.9610156478716066,False,False,COMPLETE
6,278.60935570686087,large,0.6447041929275688,False,True,True,False,False,True,True,True,True,False,True,,0.02108877459969998,6,50,0.10813322222839356,653,145,large,0.0728320117271033,3.3074998796171827e-07,small,capacity,0.9440755886449221,False,True,COMPLETE
7,364.4818074857322,medium,0.7900553024880143,False,True,False,True,False,False,True,False,True,True,True,12.0,0.05641857752092879,12,87,0.44260510357006255,476,64,small,3.63638291798471e-05,1.9209140082379248e-05,small,capacity,0.8823637583952336,True,True,COMPLETE
8,245.1512223709483,medium,0.9543499339830779,False,True,False,False,True,False,False,False,False,False,True,,0.19193193703755668,9,45,0.04998479243420917,803,102,small,1.8624713700146758e-06,5.702936957382699e-06,none,distance_n_panels,0.5053070983425936,True,True,COMPLETE
9,252.44603241262294,none,0.715918638562494,False,False,False,True,False,True,True,True,False,False,True,,0.22981015214500475,10,77,0.3766798128101303,589,123,large,6.372695379554118e-06,0.026700659531226013,none,idw,0.754265121041461,False,True,COMPLETE
10,450.3104137416788,small,0.9841396789602903,True,True,False,True,True,True,False,False,False,True,False,6.0,0.011869359242078518,3,68,0.29906571975433227,994,66,small,1.63307391757736e-08,0.7961113775258211,medium,mean,0.8425636704840354,False,False,COMPLETE
11,254.2242556726751,medium,0.9678591484185763,True,True,False,False,True,False,False,False,False,False,True,,0.11728532771471924,9,39,0.0056566749673916394,783,95,small,9.713070416356726e-08,0.0005213957082448645,none,distance_n_panels,0.5496702133729778,True,False,COMPLETE
12,268.6123374511382,medium,0.8901006418887125,True,True,False,False,True,False,False,False,False,False,True,,0.14663030792832626,8,31,0.1356467421934638,789,11,small,7.264242767941984e-07,0.014899734619404258,large,None,0.8308687881660552,False,True,COMPLETE
13,240.68267329451137,large,0.8802630619022487,False,True,False,False,True,False,False,False,False,True,True,,0.06612991683235717,7,58,0.30513493918176593,765,108,small,9.195545389490735e-07,3.777433550943824e-05,medium,distance_n_panels,0.7549890480931043,True,False,COMPLETE
14,274.0729240667678,large,0.8638313412481091,True,True,False,False,True,False,True,False,False,True,True,,0.059333717778378994,7,100,0.31133937387547,306,73,small,1.0803350088098949e-08,0.9912386730437296,medium,max,0.7805172380599226,True,False,COMPLETE
15,252.16593894083135,large,0.8751285922797702,False,True,False,True,True,False,False,False,False,True,False,,0.03395652119839626,3,65,0.3239624206698296,722,109,large,2.1803245166764325e-07,0.00012408756955059058,medium,mean,0.9998692557198368,False,False,COMPLETE
16,242.26534094978263,small,0.909057333416565,False,True,False,True,True,False,False,False,False,True,False,,0.08496469836936764,16,67,0.22630484800555797,913,125,small,4.276026098833016e-06,0.008307075789862981,large,distance_n_panels,0.9080566549695799,False,False,COMPLETE
17,334.37941498189076,large,0.8294314333601424,False,True,False,False,True,False,True,False,False,True,True,1.0,0.02660742565497123,5,23,0.3369235779622973,864,50,small,1.2233190554740842e-07,0.06074524873141139,medium,None,0.6696591320756085,True,False,COMPLETE
18,378.84062128448613,large,0.9287525723573169,True,True,True,True,True,True,False,True,False,True,True,6.0,0.08247345637413438,7,79,0.4971075162874286,724,77,none,0.0004960789743509936,0.0006349459197526762,medium,n_panels,0.8155736338428312,False,False,COMPLETE
19,243.41445470092492,small,0.9979853678055228,False,True,False,False,True,False,True,False,False,True,False,,0.14954852377450797,11,58,0.263617543521662,557,86,large,6.074305552508102e-08,5.0543693123426696e-05,large,distance_capacity,0.89618351162509,True,False,COMPLETE
20,277.599277810362,large,0.8266210125992166,False,True,False,False,True,False,False,False,False,True,True,,0.015241699220036958,8,99,0.1721609784494859,990,125,small,1.0857678507005033e-05,0.0017141151367293056,medium,max,0.5917882753236137,False,False,COMPLETE
21,244.13347359240956,small,0.9182564749270232,False,True,False,True,True,False,False,False,False,True,False,,0.07759952714985743,15,69,0.2569500602588907,922,122,small,1.056677872277344e-06,0.005612451415017376,large,distance_n_panels,0.9246683028669729,False,False,COMPLETE
22,240.34745014396765,small,0.9232601157719367,False,True,False,True,True,False,False,False,False,True,False,,0.04448194719948106,16,76,0.20606601127183663,851,135,small,4.3596606288147185e-06,0.19502102317819375,large,distance_n_panels,0.8913332096213411,False,False,COMPLETE
