Parameter,Value
compute_air_density,True
compute_wind_power_density,True
encode_wind_direction,False
compute_wind_shear,False
compute_wind_ramp,False
compute_air_density_moiust_air_correction,True
dew_point_temperature,True
vapor_pressure,True
gust_factor,False
turbulence_window,0
lags_choice,none
precip_lags_choice,large
drop_raw_main_features,False
drop_raw_wind_features,True
spatial_agg_method,None
n_estimators,448
learning_rate,0.07380441638154454
max_depth,8
min_child_weight,10
subsample,0.8317637069724136
colsample_bytree,0.6849700872242581
reg_alpha,1.1531449250314706e-05
reg_lambda,1.918984808340122e-08
use_base_models_pred_intervals,False
cv_folds_base,35
