number,value,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,params_use_base_models_pred_intervals,state
0,1031.1105599835512,0.6463459126850708,0.25535776814905026,3,7,581,2.3113727938881355e-06,2.8457221992404857e-06,0.7483898118225546,False,COMPLETE
1,1040.3483325541963,0.8057025265336619,0.11627703166441619,5,5,577,0.0001813708788359112,5.1408432163014334e-08,0.5563025196553574,False,COMPLETE
2,1052.9757220603126,0.5837823987775305,0.01698585588192469,6,10,825,0.0015893842451004802,0.004651359712274653,0.5470680118697187,False,COMPLETE
3,1106.0020701157932,0.9046025359980983,0.10913885172861618,9,9,638,0.010204544147611664,0.0006293540761760802,0.6302972875886715,True,COMPLETE
4,945.6216134139587,0.751300768120992,0.031562832777015326,5,9,998,1.748088304384048e-07,2.484997132355952e-07,0.7964176744692508,True,COMPLETE
5,978.1115427608747,0.7756017553321284,0.048810798493525966,5,6,680,1.8569379705190587e-08,2.5243191735989875e-07,0.9473223126188837,True,COMPLETE
6,1014.7718607102003,0.5346778899416085,0.016287554091549725,10,9,869,2.037725842214692e-06,2.2722240401335216e-06,0.5791593931478207,True,COMPLETE
7,1227.381010213975,0.7928825059360332,0.16853252313192707,9,10,693,0.013710021904703712,0.0017768404023831214,0.6679627340700285,False,COMPLETE
8,1077.697045313371,0.7160869112092455,0.04698921994187673,10,1,963,6.526179092194519e-06,4.177868897783905e-08,0.6537334198443121,True,COMPLETE
9,989.1445235139066,0.5826472375011675,0.011425012281430278,9,9,502,0.000828826812365723,0.00804171254290821,0.7197115877258551,True,COMPLETE
10,945.6196366134276,0.9622409640293483,0.02706849900977826,3,4,424,0.5971160188001022,0.6678744100152869,0.8979374669472225,True,COMPLETE
11,944.5413998381778,0.9875504046738662,0.02986568504499399,3,3,333,0.1339022559847602,0.7713335614699505,0.8804427853428499,True,COMPLETE
12,949.9781851931361,0.9977929331609237,0.030144437138917072,3,3,314,0.6684168584776379,0.731011069207662,0.916091982537462,True,COMPLETE
13,950.1904353931501,0.9965757120533314,0.02453811460723173,3,3,323,0.5082663398791963,0.29266133284275153,0.853297170077932,True,COMPLETE
14,963.803625916826,0.904367818584249,0.07380472768732661,4,3,428,0.07955070271812761,0.07592286483639428,0.9876432435361922,True,COMPLETE
15,991.6299417871547,0.9191770646722479,0.023606306184060347,7,1,389,0.05915104792141779,0.04352174667499891,0.856685137012346,True,COMPLETE
16,1025.2028967013964,0.8460013336935449,0.06237722390357926,7,4,450,0.8794812289925136,6.176103501039682e-05,0.869884448568107,True,COMPLETE
17,933.5280262649786,0.9560367264343279,0.010329185110697595,4,2,502,0.07919653008341504,7.33349831618704e-05,0.8028220488401646,True,COMPLETE
18,955.8813086006681,0.8767172287544844,0.010872860976929664,4,2,530,0.003790239082202037,1.7057784444206603e-05,0.7951087217928758,False,COMPLETE
19,930.0744810724474,0.9473161227705998,0.016309039090937023,4,2,365,5.348383661762216e-05,0.0002877974484023741,0.8012216854077633,True,COMPLETE
20,977.4277623639264,0.6812093425883899,0.015723350859753987,6,1,735,3.550869788202233e-05,0.00023959587560350688,0.8008516878792983,True,COMPLETE
21,945.0281421501039,0.954794656431719,0.010177271846594222,4,2,365,0.00015289115391997095,2.1300903444809834e-05,0.8153381498890522,True,COMPLETE
22,931.9422059559029,0.8518701970512629,0.018217656085104648,4,2,488,0.05794475293072432,0.021360256952133318,0.7238820972448003,True,COMPLETE
23,927.8776366533675,0.8521378127528084,0.01437881911692181,4,2,508,3.0219852287285638e-05,0.011625294519383588,0.7111248683577565,True,COMPLETE
24,938.5496582195638,0.8440658865032222,0.016430481810836884,5,4,463,2.452255831803184e-05,0.022139343445738365,0.6991221588018485,True,COMPLETE
