number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_use_base_models_pred_intervals,params_vapor_pressure,state
0,1123.9839058703894,0.9249495522459019,True,True,True,False,True,False,False,True,True,True,large,0.015623607082587886,3,8,998,small,8.395011027954093e-08,0.3844323820319757,max,0.6053240280654419,6,True,True,COMPLETE
1,1027.7700538405177,0.9449623533015217,True,True,False,True,False,False,False,True,False,False,small,0.0761569487056058,4,2,302,large,4.2837602043639136e-07,2.613841193467268e-05,mean,0.801579395316647,0,True,True,COMPLETE
2,1124.8965368410747,0.6157672441100651,True,False,False,False,True,True,False,False,False,True,large,0.10021858980941412,7,10,596,large,0.07523441203986343,0.00015229586362359459,mean,0.7347902866448233,6,False,True,COMPLETE
3,1166.4811025995077,0.8221007745643318,False,False,True,False,False,False,False,True,True,True,large,0.19049607808335028,5,2,613,none,1.051396797842165e-07,0.005475802143502166,distance_capacity,0.7610928866058966,2,True,True,COMPLETE
4,1099.2580872220935,0.960713993943138,False,True,True,False,True,False,False,False,True,False,small,0.24271255091140265,4,9,603,large,4.6267744610283124e-07,2.6670657737297677e-06,distance_capacity,0.923989898076278,6,True,True,COMPLETE
5,1102.9478195488007,0.8759873118569073,False,True,False,False,False,True,False,False,False,False,small,0.22770509207421766,7,10,308,none,0.004789744449924139,0.1983916720410351,idw,0.9404918507127935,6,True,True,COMPLETE
6,1140.1148612675304,0.502437159261398,True,True,True,False,False,True,False,True,False,False,none,0.165961060973552,5,5,585,large,0.0006173211409400422,5.196269974812832e-06,distance_n_turbines,0.6566485467640489,2,False,True,COMPLETE
7,1123.184739868304,0.9602868875184603,True,True,True,False,True,True,True,True,True,False,large,0.04260018082214033,5,9,484,none,0.030123462221097415,1.211971241528713e-08,max,0.8585177339518828,2,True,True,COMPLETE
8,1011.5679490263861,0.6810648474774437,True,True,True,False,False,True,True,False,True,False,large,0.19927954625418828,7,5,578,large,1.3102190288743963e-06,5.874572477780107e-06,idw,0.561653932763271,6,False,False,COMPLETE
9,1088.0129011743031,0.9673510117445316,False,False,False,False,False,False,False,True,False,False,small,0.07181635256664799,8,1,472,small,7.420049456465318e-07,2.1760032591080754e-07,distance_n_turbines,0.8000608653395105,6,False,True,COMPLETE
