date,wind_onshore_rte_actual,wind_onshore_rte_fitted,wind_onshore_rte_lower,wind_onshore_rte_upper
2025-03-08 00:00:00+00:00,,6754.119184697269,5339.418365094051,8168.820004300487
2025-03-08 01:00:00+00:00,,6798.891547486664,5384.190727883447,8213.592367089883
2025-03-08 02:00:00+00:00,,6848.878863843445,5434.178044240228,8263.579683446664
2025-03-08 03:00:00+00:00,,6636.443363980887,5221.742544377668,8051.144183584104
2025-03-08 04:00:00+00:00,,6934.906878330808,5520.20605872759,8349.607697934025
2025-03-08 05:00:00+00:00,,7862.34152687456,6447.640707271343,9277.042346477778
2025-03-08 06:00:00+00:00,,8872.137946241466,7457.437126638248,10286.838765844685
2025-03-08 07:00:00+00:00,,7814.255001464033,6399.554181860814,9228.955821067251
2025-03-08 08:00:00+00:00,,7392.517030770441,5977.816211167224,8807.21785037366
2025-03-08 09:00:00+00:00,,7110.91838920641,5696.217569603193,8525.619208809629
2025-03-08 10:00:00+00:00,,6752.09214171076,5337.391322107543,8166.792961313979
2025-03-08 11:00:00+00:00,,6498.432621669107,5083.7318020658895,7913.1334412723245
2025-03-08 12:00:00+00:00,,6705.177683522394,5290.476863919176,8119.878503125611
2025-03-08 13:00:00+00:00,,6824.544781251731,5409.843961648514,8239.245600854949
2025-03-08 14:00:00+00:00,,7432.248067495164,6017.5472478919455,8846.94888709838
2025-03-08 15:00:00+00:00,,7630.780561473939,6216.079741870721,9045.481381077157
2025-03-08 16:00:00+00:00,,7238.198504930918,5823.4976853277,8652.899324534135
2025-03-08 17:00:00+00:00,,7419.980316785519,6005.2794971823005,8834.681136388735
2025-03-08 18:00:00+00:00,,7460.467000733761,6045.766181130543,8875.167820336977
2025-03-08 19:00:00+00:00,,8046.157615396376,6631.456795793158,9460.858434999594
2025-03-08 20:00:00+00:00,,8346.201145123605,6931.5003255203865,9760.901964726821
2025-03-08 21:00:00+00:00,,7904.91400154067,6490.213181937452,9319.614821143889
2025-03-08 22:00:00+00:00,,6840.979049160763,5426.278229557544,8255.67986876398
2025-03-08 23:00:00+00:00,,6198.46322134523,4783.762401742012,7613.164040948448
2025-03-09 00:00:00+00:00,,6247.880954006166,4833.180134402948,7662.581773609383
2025-03-09 01:00:00+00:00,,6190.935390285431,4776.2345706822125,7605.6362098886475
2025-03-09 02:00:00+00:00,,6797.195249144879,5382.494429541661,8211.896068748096
2025-03-09 03:00:00+00:00,,6815.384262495034,5400.683442891816,8230.085082098252
2025-03-09 04:00:00+00:00,,6016.680064490818,4601.9792448876005,7431.3808840940355
2025-03-09 05:00:00+00:00,,4687.124651677586,3272.4238320743684,6101.825471280804
2025-03-09 06:00:00+00:00,,4958.450061483872,3543.7492418806537,6373.150881087089
2025-03-09 07:00:00+00:00,,4738.410242361323,3323.7094227581056,6153.111061964541
2025-03-09 08:00:00+00:00,,4784.850570777265,3370.1497511740467,6199.551390380482
2025-03-09 09:00:00+00:00,,3647.2699750326265,2232.5691554294085,5061.970794635844
2025-03-09 10:00:00+00:00,,3781.008381013462,2366.3075614102445,5195.7092006166795
2025-03-09 11:00:00+00:00,,4780.891587905088,3366.19076830187,6195.592407508306
2025-03-09 12:00:00+00:00,,5051.0949693939565,3636.3941497907385,6465.795788997174
2025-03-09 13:00:00+00:00,,4948.616458295755,3533.9156386925374,6363.317277898973
2025-03-09 14:00:00+00:00,,6967.0919460978075,5552.391126494589,8381.792765701026
2025-03-09 15:00:00+00:00,,7019.017572545249,5604.316752942032,8433.718392148467
2025-03-09 16:00:00+00:00,,7181.73616865519,5767.035349051972,8596.436988258407
2025-03-09 17:00:00+00:00,,7373.134149389946,5958.433329786729,8787.834968993164
2025-03-09 18:00:00+00:00,,6406.637193863764,4991.9363742605465,7821.338013466982
2025-03-09 19:00:00+00:00,,6116.214425026435,4701.513605423216,7530.915244629652
2025-03-09 20:00:00+00:00,,4968.018563572864,3553.3177439696465,6382.7193831760815
2025-03-09 21:00:00+00:00,,4504.1742161661905,3089.473396562973,5918.875035769408
2025-03-09 22:00:00+00:00,,4243.358708285838,2828.657888682619,5658.059527889055
2025-03-09 23:00:00+00:00,,3739.4226207453203,2324.7218011421023,5154.123440348538
2025-03-10 00:00:00+00:00,,3959.4276606904878,2544.72684108727,5374.128480293705
2025-03-10 01:00:00+00:00,,5075.5950498138545,3660.894230210637,6490.295869417073
2025-03-10 02:00:00+00:00,,3410.0527805481297,1995.3519609449118,4824.753600151347
2025-03-10 03:00:00+00:00,,2986.012623412865,1571.3118038096472,4400.713443016083
2025-03-10 04:00:00+00:00,,2505.624842798131,1090.9240231949134,3920.3256624013484
2025-03-10 05:00:00+00:00,,3043.4017689319594,1628.7009493287414,4458.102588535177
2025-03-10 06:00:00+00:00,,3392.2867680230383,1977.5859484198204,4806.987587626257
2025-03-10 07:00:00+00:00,,4170.422446527345,2755.721626924127,5585.123266130562
2025-03-10 08:00:00+00:00,,3853.3362836485167,2438.635464045299,5268.037103251734
2025-03-10 09:00:00+00:00,,3091.429892407119,1676.729072803901,4506.1307120103365
2025-03-10 10:00:00+00:00,,2354.7229334694603,940.0221138662428,3769.4237530726778
2025-03-10 11:00:00+00:00,,2204.6951985981423,789.9943789949239,3619.39601820136
2025-03-10 12:00:00+00:00,,2112.2484502834054,697.5476306801875,3526.9492698866234
2025-03-10 13:00:00+00:00,,3418.4155263030134,2003.714706699796,4833.116345906231
2025-03-10 14:00:00+00:00,,3893.222027701163,2478.521208097945,5307.92284730438
2025-03-10 15:00:00+00:00,,3724.118014166037,2309.417194562819,5138.8188337692545
