number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,params_use_base_models_pred_intervals,state
0,2263.3386024236574,none,0.7376464799372383,True,False,False,False,True,True,True,True,False,False,False,True,True,True,True,False,False,0.09697505408863756,3,58,0.2137816422228167,696,134,small,0.025749876195378357,3.30212785443463e-05,long,None,0.6546698227537906,none,True,COMPLETE
1,2307.4470323841156,small,0.674857644229315,True,True,False,False,False,False,False,True,False,False,True,False,True,True,False,True,True,0.024038275979421233,9,77,0.10544267754394132,859,97,small,1.2367581408091316e-08,0.06963399427826505,long,idw,0.6837317526656342,medium,False,COMPLETE
2,2351.7955838303365,small,0.860705510695027,False,True,True,False,True,True,True,False,True,True,True,True,True,True,False,True,True,0.12356175533798515,4,100,0.02753082933491785,350,135,small,1.262321460635415e-06,5.5730346435020784e-08,long,energy,0.8001047268375578,small,False,COMPLETE
3,2263.8355700620755,none,0.9398728068438782,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,True,True,0.014325038565814942,12,20,0.4395564190518692,755,107,medium,2.2645267632613996e-08,0.00028584053678087603,short,population,0.7730877988058453,small,True,COMPLETE
4,2337.374948842736,medium,0.764762786566195,True,False,True,True,False,False,True,True,True,False,True,True,False,True,True,False,False,0.2124853437721247,6,29,0.4785142203797919,973,109,small,2.573665220046464e-05,4.970582272935005e-06,long,population,0.805453923356112,none,True,COMPLETE
5,2467.163163551993,small,0.5967838659868092,False,True,True,True,True,True,False,False,False,False,True,True,True,False,True,False,False,0.14705744324094713,11,22,0.44056285206061174,321,20,medium,8.786695012256242e-05,0.0009721254202315102,long,distance_energy,0.8145147751000252,none,False,COMPLETE
6,2297.0513946357955,small,0.9218455538999369,True,False,False,False,False,True,True,True,False,True,False,False,True,False,True,True,False,0.013256445950417889,5,6,0.3268562104636348,470,66,none,0.0347795134449348,0.0004752747006366458,long,energy,0.9357827645135741,medium,True,COMPLETE
7,2086.4874230244673,none,0.696336233788617,False,True,True,True,True,True,True,True,False,False,False,True,True,False,True,True,True,0.027603052150169796,8,35,0.39451729652848777,383,11,none,0.33250708220004116,2.2156568631587734e-08,none,idw,0.5891604823795271,none,True,COMPLETE
8,2351.3636246590177,medium,0.8682148532638829,False,False,True,True,False,True,False,True,False,True,True,True,True,False,True,True,False,0.23749025415849392,5,33,0.3737171301067255,764,95,small,0.028859814029966874,9.230993332378702e-05,none,energy,0.5252564478092336,small,True,COMPLETE
9,2166.896606379338,medium,0.5034337003031542,False,True,True,False,False,False,True,True,False,False,True,True,True,True,False,False,False,0.03722226057520636,7,6,0.10146786664481672,649,93,medium,0.0007415252863763637,2.1659819768668463e-06,none,idw,0.7544567297747176,small,True,COMPLETE
10,2083.4294827856015,none,0.6192415717825523,False,True,True,True,True,True,True,False,True,False,False,False,False,False,True,True,True,0.05775025615121872,16,48,0.2961036950303719,519,12,none,0.806240331423535,1.3831939441466286e-08,none,max,0.512616329883843,none,False,COMPLETE
11,2079.1724193656296,none,0.6262490322318335,False,True,True,True,True,True,True,False,True,False,False,False,False,False,True,True,True,0.05800909828126809,16,50,0.2541889135876068,515,13,none,0.4483524340624324,1.738502178784767e-08,none,max,0.50958735118031,none,False,COMPLETE
12,2196.8351657285666,none,0.5928605680498871,False,True,True,True,True,True,True,False,True,False,False,False,False,False,True,True,True,0.0644266417996979,16,56,0.24677232717582942,542,44,none,0.6228837213535625,2.7070155220004507e-07,none,max,0.513965700282691,none,False,COMPLETE
13,2214.512862045369,none,0.5890389867737269,False,True,True,True,True,True,True,False,True,False,False,False,False,False,True,True,True,0.059197963940954154,16,68,0.29936450531358105,554,36,none,0.004092679278386259,3.6416462456262304e-07,none,max,0.5950200209109376,none,False,COMPLETE
14,2121.972905272831,none,0.5041169399057278,False,True,True,True,True,True,True,False,True,False,False,False,False,False,True,True,True,0.04571024287081392,14,49,0.19183730121100306,473,57,none,0.7012920816657546,1.2051980022610315e-08,short,max,0.573090513393054,none,False,COMPLETE
