Parameter,Value
compute_heating_degree_hours,True
compute_cooling_degree_hours,True
compute_dew_point_spread,True
compute_temp_gradient,False
compute_wind_chill,False
compute_humidex,True
compute_wind_components,False
compute_wind_power_density,False
compute_pressure_trend,False
compute_wind_speed_gradient,False
compute_air_density,False
compute_rain_indicator,True
compute_cloud_cover_fraction,True
compute_effective_solar,True
temp_lags_option,none
precip_lags_option,none
cloud_lags_option,none
rolling_temp_option,none
drop_basic_meteo_features,True
drop_wind_meteo_features,True
drop_rad_meteo_features,True
spatial_agg_method,max
n_estimators,515
learning_rate,0.05800909828126809
num_leaves,13
max_depth,16
min_child_samples,50
subsample,0.50958735118031
colsample_bytree,0.6262490322318335
reg_alpha,0.4483524340624324
reg_lambda,1.738502178784767e-08
min_split_gain,0.2541889135876068
use_base_models_pred_intervals,False
cv_folds_base,40
