number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,state
10,3412.5459288304323,small,0.5046781322263939,False,True,True,True,True,False,False,False,True,True,False,False,True,True,False,False,False,1.0,0.11363327779709423,3,98,0.009507189400814575,339,11,medium,0.5567457988993046,0.2395986837226037,none,None,0.8357417368757215,small,COMPLETE
11,3043.7207573374685,none,0.6560071252714925,False,False,False,True,False,True,True,False,True,True,False,True,False,True,True,False,False,12.0,0.04949824214248978,9,60,0.08890640999306307,684,40,none,1.6442895559238386e-08,0.022180959184019997,long,energy,0.7513947181427263,medium,COMPLETE
12,2899.4435971597995,small,0.8673544532398442,False,False,False,False,False,True,True,False,False,True,False,True,False,True,True,True,False,12.0,0.10959451122463364,9,100,0.29417124985996856,575,42,medium,5.262298212791906e-06,0.005030991204213993,long,population,0.5114056332853357,small,COMPLETE
13,2949.21404437437,small,0.6414530892334238,True,False,False,True,True,True,False,True,True,True,False,True,False,True,True,True,False,12.0,0.038327178773785636,11,72,0.10873686978198954,742,11,medium,3.789618711488066e-07,0.45869595997811935,long,distance_population,0.7454703615783189,small,COMPLETE
14,3073.622461888916,none,0.8134450924653999,True,True,True,False,False,False,False,True,False,True,False,False,True,True,True,False,False,12.0,0.07844480763890994,8,83,0.32464670171655674,777,87,none,0.6285896954081484,1.0025983865391385e-08,none,energy,0.8142794682585484,medium,COMPLETE
15,3904.410321307494,medium,0.9996651418929094,False,False,False,True,True,True,True,False,True,True,False,True,False,True,True,True,False,12.0,0.010066626642906478,5,26,0.24036747413584886,480,61,medium,0.0039988329339105165,0.0016307256309715551,none,max,0.6820321563948989,none,COMPLETE
16,3221.144134642486,small,0.6710634577017882,False,True,True,False,False,True,False,False,True,True,False,False,True,True,True,True,False,6.0,0.14699595926740391,3,51,0.1872095734050571,591,150,none,1.5243107948460134e-05,0.10120259867565269,long,None,0.911236140692157,small,COMPLETE
17,3517.8327181820696,medium,0.5869109880352623,True,False,False,True,True,False,True,True,False,True,False,True,False,True,True,True,False,,0.01850781136152822,15,34,0.07746401269449607,995,105,medium,3.6770032007385904e-07,3.422072949015666e-05,none,energy,0.7823327261243872,none,COMPLETE
18,3482.3101954594654,small,0.80060564223126,False,True,False,True,True,True,True,False,False,True,False,True,True,True,False,False,True,1.0,0.0764809008980438,6,86,0.35796290939673114,803,29,none,0.0011431312322558891,0.03748151957723944,long,None,0.8891001105271662,small,COMPLETE
19,3084.2987463565382,none,0.7035536856494155,True,False,True,False,False,False,False,True,True,True,False,False,False,True,True,True,False,12.0,0.29923724582953537,10,64,0.1491352289256534,653,58,small,0.05235482620241749,0.0012618190052985393,short,distance_population,0.6718950724411803,medium,COMPLETE
20,2964.6804085064227,medium,0.8795319197244238,True,False,True,False,False,True,True,True,False,True,False,False,False,True,True,True,False,12.0,0.03572259320151213,7,9,0.21329353927244282,477,106,medium,9.94133056393126e-08,0.0069132458251569846,long,max,0.9988891045473978,none,COMPLETE
21,3675.6456088699724,small,0.8778484643146345,False,False,False,False,False,True,True,False,False,True,False,True,False,True,True,True,False,12.0,0.11770812320883156,9,95,0.2961603834262022,577,47,medium,9.52131635646234e-06,0.002985612633952764,long,population,0.5202158335067782,small,COMPLETE
22,3103.398342992448,small,0.8240894906687141,False,False,False,False,False,True,True,False,False,True,False,True,False,True,True,True,False,12.0,0.10229956072252332,10,90,0.25414155329645227,524,21,medium,1.573234006584864e-06,0.0003609017538450971,long,population,0.5293824688539415,small,COMPLETE
23,3199.7803011768387,small,0.9116679341988527,False,False,False,False,False,True,True,False,False,True,False,True,False,True,True,True,False,12.0,0.06260855324316246,8,77,0.4095947098041664,624,55,medium,2.999199673142625e-05,0.06912444278576137,long,population,0.5601377016925184,small,COMPLETE
24,3262.4768141646146,small,0.6995935502421592,False,False,False,False,False,True,True,False,False,True,False,True,False,True,True,True,False,12.0,0.1659790827296157,5,100,0.1383857288609843,402,78,medium,7.969999505616944e-08,0.8744989281441751,long,population,0.6968488893352477,small,COMPLETE
25,3148.2564339698706,small,0.7760356749797415,False,False,False,False,False,True,True,False,False,True,False,True,False,True,True,True,False,12.0,0.060496912508625156,13,71,0.29972475647950236,686,32,none,0.0005805772133719606,0.007779212699595142,none,None,0.6205450590421887,small,COMPLETE
26,4610.357246105124,small,0.8462966267830996,False,True,False,True,True,False,False,False,True,False,True,True,True,False,False,False,True,6.0,0.1352552479437687,8,91,0.22334424534329372,804,48,medium,3.669881997284152e-05,4.616167931490292e-05,long,energy,0.8628117451649886,small,COMPLETE
27,3312.338819973796,small,0.7776433509646123,False,False,False,False,False,True,True,False,False,True,False,True,False,True,True,True,False,1.0,0.09225610105939781,6,54,0.05898470798356106,539,24,medium,0.007314624962344639,0.000458882222533954,long,population,0.9412406132982517,small,COMPLETE
28,3056.7453757690905,none,0.6080661947968478,True,True,True,True,True,False,False,True,True,True,False,False,True,True,True,True,False,,0.018731044210682436,4,31,0.1663329672885641,737,80,small,7.813303653541912e-08,0.0029389366059232556,short,None,0.57053013273526,medium,COMPLETE
29,4647.330228468626,medium,0.930198739670532,True,True,False,True,True,True,True,True,True,False,True,False,False,False,False,True,True,1.0,0.045378096254742394,7,39,0.2840491429815229,640,117,none,0.0002509786312533167,0.007305948003794554,none,idw,0.8017158266472931,none,COMPLETE
30,3267.867850555767,medium,0.6940584639118532,False,False,False,False,False,True,True,False,False,True,False,True,False,True,True,True,False,12.0,0.024845938471671093,9,91,0.10997598172532194,545,40,small,4.129370290183975e-06,4.265082112994754e-06,long,energy,0.7119054050284533,none,COMPLETE
31,3100.6265566793422,small,0.6190516866927233,True,False,False,True,True,True,False,True,True,True,False,True,False,True,True,True,False,12.0,0.03921672235580048,11,74,0.11212950791078619,755,16,medium,4.1643024646146913e-07,0.5196215491701762,long,distance_population,0.7719126303702593,small,COMPLETE
32,3196.372586871314,small,0.6543555968115856,True,False,False,True,True,True,False,True,True,True,False,True,False,True,True,True,False,12.0,0.03412224246773108,11,79,0.03943834805665919,702,11,medium,1.4918899522987863e-06,0.12524456969514292,long,distance_population,0.6546726794432338,small,COMPLETE
33,3252.955980920045,small,0.5721780934946827,True,False,False,True,True,True,False,True,True,True,False,True,False,True,True,True,False,12.0,0.05911475079291671,11,69,0.11513117066541556,795,28,medium,5.4243939933223926e-08,0.01855268809284942,long,distance_population,0.7247968382263157,small,COMPLETE
34,2948.2543125681964,small,0.7190380292583147,True,False,False,True,True,True,False,True,True,True,False,True,False,False,True,True,False,12.0,0.02049730235774804,14,48,0.1713189598890235,831,18,medium,2.0407164218757598e-07,0.345117273026331,long,distance_population,0.7676385618952526,small,COMPLETE
35,3574.5002050658914,small,0.7657519812762486,True,False,False,True,True,True,False,True,True,True,True,True,False,False,True,True,False,12.0,0.015486420847728439,16,40,0.23981692117659145,924,34,none,2.875997530204378e-08,5.331908397617981e-05,none,mean,0.5986760563699555,none,COMPLETE
36,3323.1578356465434,medium,0.6936960884340588,True,True,True,False,True,False,False,True,True,True,False,True,True,False,True,True,True,12.0,0.02274276694436816,14,54,0.16884187224748584,841,69,medium,9.182526488012755e-05,1.4284336487160129e-05,long,idw,0.5018340386023109,small,COMPLETE
37,4055.930303318192,small,0.7336908051306729,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,6.0,0.01386073319063307,15,44,0.3411561218939975,834,132,medium,1.2897526495812723e-06,6.457268352826211e-07,none,distance_energy,0.8494648540433373,small,COMPLETE
38,3398.080454588848,medium,0.7173991579796949,False,False,True,True,True,True,True,False,True,True,True,True,True,False,True,True,False,,0.020891721704140935,6,49,0.3877581066506523,916,48,none,1.9122644318927763e-07,0.0005139035361730913,short,max,0.9236235544150727,none,COMPLETE
39,2534.567388829486,small,0.8361930313456795,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,12.0,0.02928397609591309,4,15,0.20844205204259722,640,19,medium,3.9792566588708925e-06,0.00011996315040872809,long,None,0.8828112908212363,small,COMPLETE
40,2768.638247931443,none,0.8425324681938506,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,12.0,0.02959989170318978,4,17,0.2541816748102472,619,94,small,0.09700321893301037,0.00017304716947521987,none,None,0.8770013838457015,none,COMPLETE
41,2817.0429698098364,none,0.8533765387641759,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,12.0,0.03043624707091584,4,13,0.21367539109425737,624,119,small,0.1190959533069489,0.00010315063885863306,none,None,0.878562622244387,none,COMPLETE
42,2644.2475806440293,none,0.833901374215661,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,12.0,0.027805874010524437,4,15,0.20883670582963101,669,146,small,0.17606412777625519,0.00014453904312617297,none,None,0.8696001570234428,none,COMPLETE
