Parameter,Value
compute_heating_degree_hours,True
compute_cooling_degree_hours,True
compute_dew_point_spread,True
compute_temp_gradient,False
compute_wind_chill,False
compute_humidex,True
compute_wind_components,True
compute_wind_power_density,False
compute_pressure_trend,True
compute_wind_speed_gradient,True
compute_air_density,False
compute_rain_indicator,False
compute_cloud_cover_fraction,True
compute_effective_solar,True
temp_lags_option,medium
precip_lags_option,none
cloud_lags_option,small
rolling_temp_option,long
drop_basic_meteo_features,False
drop_wind_meteo_features,True
drop_rad_meteo_features,False
spatial_agg_method,energy
lags_target,12
n_estimators,754
learning_rate,0.0666439497733895
num_leaves,12
max_depth,3
min_child_samples,60
subsample,0.8003723560721063
colsample_bytree,0.8118629977796397
reg_alpha,0.003096396663978644
reg_lambda,1.8189135455287247e-06
min_split_gain,0.026678146731337962
