number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_use_base_models_pred_intervals,params_vapor_pressure,state
0,178.2280243983295,0.9862240504297779,False,True,True,False,False,True,False,True,True,False,small,0.026931917254268786,13,25,0.11541992798016043,368,15,none,0.007005676221239737,0.1626090924444203,distance_n_turbines,0.5727457355096375,0,True,False,COMPLETE
1,190.30502858986017,0.854487159957293,True,True,True,True,True,True,True,True,False,False,small,0.011303486202255707,14,55,0.0711425521178089,378,111,none,0.5103084265297874,1.7218365563827805e-07,distance_capacity,0.8143715567019616,2,True,False,COMPLETE
2,181.63551361599391,0.6007372536294351,False,True,False,False,False,False,True,False,True,False,large,0.15576912643441201,14,33,0.17769706679858482,347,51,large,8.617843498714654e-07,0.00010666804039926529,None,0.7349254000052183,2,True,True,COMPLETE
3,183.6017010489659,0.9633916973056926,False,False,False,True,True,True,True,True,True,True,small,0.10878395888431734,14,81,0.18357691977185747,447,33,none,3.57258263867651e-06,1.5035687510077693e-06,capacity,0.7863614835673933,0,False,False,COMPLETE
4,184.0362390910175,0.9269701769930483,False,True,False,True,False,True,True,True,False,False,none,0.03296812533827516,9,83,0.03138414331484157,324,111,small,5.904839986382326e-07,3.132388134828168e-07,capacity,0.9282549343085664,0,False,False,COMPLETE
5,174.63473330838352,0.5415616753158136,True,False,False,False,True,False,False,True,False,False,large,0.18723782193453822,11,25,0.11546155780233769,759,84,large,1.312675665445043e-07,0.1629079655650506,mean,0.9343251386345891,0,True,True,COMPLETE
6,181.06876403920486,0.6847817128352021,False,False,False,False,True,True,False,True,True,False,small,0.22031989464990112,9,51,0.11746458745868327,942,100,large,2.4730702129866504e-07,0.43714276184822,distance_n_turbines,0.6142452813955973,6,True,True,COMPLETE
7,175.02950799302525,0.9934468787598245,False,True,True,True,True,False,False,False,False,True,small,0.019292236633298956,13,47,0.06006139024133428,668,19,none,0.009327087183093824,0.05445617199515423,distance_capacity,0.8366816579910823,0,False,False,COMPLETE
8,184.06426154499,0.6606894766499802,True,False,True,True,True,False,False,False,True,False,small,0.268153111558469,11,59,0.057532122240909644,461,144,none,0.018001382901007883,2.7965039676719105e-06,distance_capacity,0.5023437925370745,6,False,True,COMPLETE
9,190.05478674131905,0.5645353121921255,True,True,False,False,True,False,True,True,True,True,large,0.1225708993369124,3,31,0.15726310114301317,812,89,large,0.00012097150124840672,3.86645813385799e-07,max,0.586600742904105,6,False,False,COMPLETE
10,171.0530638848345,0.5143819443924216,True,False,False,False,False,False,False,False,False,True,large,0.06104986819542873,5,7,0.35518355662984336,646,63,small,2.1752038807658608e-08,0.0035950866908752766,mean,0.9804476464169254,0,True,True,COMPLETE
11,171.59188775730286,0.5087581401359561,True,False,False,False,False,False,False,False,False,True,large,0.062370711696596574,5,5,0.37978481164812466,650,61,small,1.3739027342603701e-08,0.002904147717154042,mean,0.987533344885642,0,True,True,COMPLETE
12,171.74027833799423,0.5098419744343917,True,False,False,False,False,False,False,False,False,True,large,0.059772134648336896,5,6,0.388335146859702,615,56,small,1.586800667374036e-08,0.0016788396499532962,mean,0.9961591121736081,0,True,True,COMPLETE
13,171.74748740022542,0.8273637624021208,True,False,False,False,False,False,False,False,False,True,large,0.05396239602555132,6,8,0.36778856291419876,587,61,small,1.3533608268542174e-08,0.0023160823285555093,mean,0.9068120462117182,0,True,True,COMPLETE
14,163.17517529604376,0.6361205165192594,True,False,False,False,False,False,False,False,False,True,none,0.06170922831285896,6,15,0.46171688047327475,730,68,small,4.340826821469778e-05,0.002287168091812106,idw,0.9999337873688262,0,True,True,COMPLETE
15,166.89295695341062,0.6350089888969608,True,False,False,False,False,False,False,False,False,True,none,0.08149788698385091,7,18,0.48677789376920944,814,73,small,2.3044013325464235e-05,8.547794607460914e-05,idw,0.7011058543405904,2,True,True,COMPLETE
16,167.36183545195516,0.7143462875996209,True,False,False,False,False,False,False,False,False,True,none,0.07708985939235126,7,18,0.49848352176503297,923,137,small,4.269552704779619e-05,8.1014089318802e-05,idw,0.7002108778785177,2,True,True,COMPLETE
17,173.6448714596984,0.6150837766740962,True,False,False,False,False,False,False,False,False,True,none,0.0991749576169192,3,43,0.4554051184393947,822,38,small,8.047984452704209e-05,5.441629402567488e-05,idw,0.6700566864820168,2,True,True,COMPLETE
18,171.87409145688972,0.7655354983519879,True,False,True,False,False,False,False,False,False,True,none,0.038101923366089516,7,68,0.29689661006662615,738,77,small,0.0005523708292231918,2.3464360580296823e-08,idw,0.8626752906978647,2,True,True,COMPLETE
19,165.64485506168464,0.7570684583898977,True,False,False,False,False,False,False,False,False,True,none,0.044964974583427714,16,17,0.4436740202617122,878,76,small,1.3364960980430557e-05,1.4163690817569439e-05,idw,0.7551461178098474,2,True,True,COMPLETE
