,wind_offshore_actual,wind_offshore_fitted,wind_offshore_lower,wind_offshore_upper
2024-11-15 00:00:00+00:00,2825.4999999999986,2899.083256037013,1772.6322904743724,4721.754612248662
2024-11-15 01:00:00+00:00,2272.5000000000005,2522.765735938148,1543.7420225895835,4107.999638603122
2024-11-15 02:00:00+00:00,2162.499999999999,2357.932985706114,1447.0641232017615,3855.8119735590035
2024-11-15 03:00:00+00:00,2197.75,2125.1510956778557,1301.6055875298919,3480.3848535886323
2024-11-15 04:00:00+00:00,2368.25,1884.866113494277,1155.9905735583227,3081.429011278984
2024-11-15 05:00:00+00:00,2647.4999999999995,1656.1022706819256,1016.6982141004261,2704.1838421506227
2024-11-15 06:00:00+00:00,2932.7499999999995,1405.9899715488166,860.3177364271374,2288.9050367137934
2024-11-15 07:00:00+00:00,2742.0000000000014,1300.5794114953248,798.2700502223773,2128.715623578756
2024-11-15 08:00:00+00:00,2895.500000000001,1263.733845241007,774.7519459405861,2067.6597843397826
2024-11-15 09:00:00+00:00,3038.0000000000014,1242.5305697559543,761.3472953776419,2030.5492287025445
2024-11-15 10:00:00+00:00,3023.2500000000005,1283.276020423165,788.0006869274507,2098.5463794565508
2024-11-15 11:00:00+00:00,2890.7500000000005,1411.4827655645709,864.5886961075108,2305.8645413290164
2024-11-15 12:00:00+00:00,3091.750000000001,1547.7883403753226,949.972730392964,2528.577213128894
2024-11-15 13:00:00+00:00,3636.7499999999995,1721.8576148855852,1055.1267064614813,2811.4440814501295
2024-11-15 14:00:00+00:00,3872.5000000000005,1975.0745413419222,1209.012696214706,3221.6797930588396
2024-11-15 15:00:00+00:00,4266.249999999999,2272.5062840852956,1392.5459969472192,3713.0397960580135
2024-11-15 16:00:00+00:00,5061.500000000002,2616.076988306013,1601.0587265897132,4270.112207304221
2024-11-15 17:00:00+00:00,5245.500000000003,3025.1903794073874,1854.8082074515514,4945.001709307888
2024-11-15 18:00:00+00:00,5795.249999999999,3449.7539154898254,2117.6006671282153,5632.396211525171
2024-11-15 19:00:00+00:00,5626.250000000002,4000.8951015998,2453.5718088895833,6531.432758481453
2024-11-15 20:00:00+00:00,5022.250000000001,4554.873020739847,2791.65768199173,7423.379964259008
2024-11-15 21:00:00+00:00,4099.999999999999,4945.595033689231,3031.2987837770065,8066.435996536962
2024-11-15 22:00:00+00:00,3406.7499999999986,5131.258264025144,3147.5621320538635,8368.909981402969
2024-11-15 23:00:00+00:00,3839.249999999999,5252.747594499044,3222.471983544997,8572.206656896913
2024-11-16 00:00:00+00:00,4603.999999999999,5451.436527241681,3341.954033870868,8893.09448811923
2024-11-16 01:00:00+00:00,4370.000000000002,5891.131818824543,3611.0100898009296,9616.672003693046
