Parameter,Value
compute_heating_degree_hours,True
compute_cooling_degree_hours,True
compute_dew_point_spread,True
compute_temp_gradient,False
compute_wind_chill,False
compute_humidex,True
compute_wind_components,False
compute_wind_power_density,True
compute_pressure_trend,False
compute_wind_speed_gradient,False
compute_air_density,False
compute_rain_indicator,True
compute_cloud_cover_fraction,True
compute_effective_solar,False
temp_lags_option,medium
precip_lags_option,none
cloud_lags_option,medium
rolling_temp_option,short
drop_basic_meteo_features,True
drop_wind_meteo_features,False
drop_rad_meteo_features,False
spatial_agg_method,energy
lags_target,12
n_estimators,847
learning_rate,0.035360609447543774
max_depth,8
min_child_weight,9
subsample,0.5073733647028877
colsample_bytree,0.6293676585346246
reg_alpha,0.00403826889958015
reg_lambda,0.00018476514216565963
