number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_lags_target,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_vapor_pressure,state
0,794.9727648951866,0.7916207208789888,True,True,True,True,True,True,True,False,True,True,none,,0.12407481552566478,4,10,852,small,2.0500710504976876e-07,0.0832749524379817,None,0.7452242919851384,2,True,COMPLETE
1,1933.0246663452438,0.9467819013910657,False,False,False,False,False,False,False,True,True,True,small,1.0,0.14831667179506677,5,8,881,small,0.0009233239056209548,3.440854027898262e-08,max,0.9966113917480999,2,False,COMPLETE
2,770.4702851010015,0.8485697024448287,True,False,False,False,False,False,True,True,True,True,large,,0.016919067091809934,7,2,581,large,0.0003976023911456585,6.593087220609419e-05,None,0.7576100476242884,2,False,COMPLETE
3,1001.5948654622753,0.9261944062850904,True,True,False,True,False,True,False,False,False,False,large,12.0,0.05746999929483858,5,1,312,none,0.4054197239285845,0.348686805201991,max,0.8756444923843181,0,False,COMPLETE
4,1068.0402451420175,0.6606302674787436,True,True,False,False,False,True,True,False,False,True,none,12.0,0.087853341905056,3,3,330,small,0.24956926452540157,1.6633249880027763e-05,mean,0.9670315124306632,0,True,COMPLETE
5,1148.6926040182746,0.970479075051923,True,True,False,False,True,False,True,False,True,True,none,12.0,0.03983322690329863,6,10,664,small,3.6424097487106816e-05,0.004714347296095689,None,0.7034727648163449,0,True,COMPLETE
6,1137.7677353026422,0.7324586331933974,False,False,True,False,False,True,True,False,True,True,small,6.0,0.0865635388396504,5,9,804,small,1.3433406098340178e-07,0.039634629690136314,max,0.6228040941037187,6,False,COMPLETE
7,1202.296592336328,0.9681904871485187,False,True,False,True,False,False,True,False,False,False,none,1.0,0.015691214498233352,9,5,803,large,0.0010816294125942146,1.0715756795175626e-06,capacity,0.8975231989272602,0,True,COMPLETE
8,1018.3856757497169,0.9026721765505699,False,True,False,True,True,False,False,False,False,True,small,12.0,0.08209879044842133,5,4,700,none,0.042466400395563035,6.379430720298731e-08,mean,0.7856103438767981,0,True,COMPLETE
9,1045.9058764402641,0.9928204295363217,True,True,False,False,True,False,True,False,False,False,none,1.0,0.21080615858477797,9,2,953,none,0.46869971555446105,4.2853550440687e-08,mean,0.596587973265432,6,False,COMPLETE
