Parameter,Value
compute_air_density,True
compute_wind_power_density,False
encode_wind_direction,True
compute_wind_shear,False
compute_wind_ramp,False
compute_air_density_moiust_air_correction,False
dew_point_temperature,False
vapor_pressure,False
gust_factor,True
turbulence_window,2
lags_choice,large
precip_lags_choice,large
drop_raw_main_features,True
drop_raw_wind_features,True
spatial_agg_method,idw
lags_target,
n_estimators,612
learning_rate,0.040700969504943875
max_depth,6
min_child_weight,1
subsample,0.841152617113741
colsample_bytree,0.8526129641731919
reg_alpha,0.019570357393767248
reg_lambda,0.0022283387567652467
