date,wind_offshore_tenn_actual,wind_offshore_tenn_fitted,wind_offshore_tenn_lower,wind_offshore_tenn_upper
2024-12-20 21:00:00+00:00,4698.499999999998,4236.738,2475.6847389072113,7250.500463663835
2024-12-20 22:00:00+00:00,4637.749999999999,4286.8403,2504.9612213411356,7336.242055121375
2024-12-20 23:00:00+00:00,4232.500000000001,4564.8394,2667.406384621621,7811.9927487261875
2024-12-21 00:00:00+00:00,4179.749999999999,4853.904,2836.3183270529717,8306.682600655484
2024-12-21 01:00:00+00:00,3723.5,4632.7817,2707.1074577584354,7928.264681360365
2024-12-21 02:00:00+00:00,3571.75,3824.913,2235.0396694305996,6545.726887128353
2024-12-21 03:00:00+00:00,3156.000000000001,4441.6943,2595.4485489633885,7601.250923402681
2024-12-21 04:00:00+00:00,3521.499999999999,4872.582,2847.231461908534,8338.643733705485
2024-12-21 05:00:00+00:00,3519.7499999999986,4847.8164,2832.7601855549615,8296.261925447694
2024-12-21 06:00:00+00:00,3891.500000000001,4871.5737,2846.643328844628,8336.921277293519
2024-12-21 07:00:00+00:00,4144.250000000001,4869.2236,2845.269077841175,8332.896529157739
2024-12-21 08:00:00+00:00,4639.999999999999,4762.168,2782.7131504569375,8149.689930443827
2024-12-21 09:00:00+00:00,4271.500000000002,5597.095,3270.5920123171913,9578.53337667421
2024-12-21 10:00:00+00:00,4574.499999999999,6033.861,3525.811578380473,10325.991061003504
2024-12-21 11:00:00+00:00,4473.250000000001,4782.703,2794.712002715876,8184.8307876375575
2024-12-21 12:00:00+00:00,4160.000000000001,3568.649,2085.2952493789453,6107.172668188526
2024-12-21 13:00:00+00:00,4341.499999999998,3786.3176,2212.487076517828,6479.677449249354
2024-12-21 14:00:00+00:00,4589.499999999999,3121.0938,1823.7719148977296,5341.253232603641
2024-12-21 15:00:00+00:00,4322.249999999999,2810.8228,1642.4685283298104,4810.2727455844115
2024-12-21 16:00:00+00:00,3379.0000000000005,4008.1428,2342.1079992985397,6859.29628598962
2024-12-21 17:00:00+00:00,2639.7499999999995,3923.2227,2292.4854007037084,6713.9673317553725
2024-12-21 18:00:00+00:00,2605.999999999999,3956.125,2311.7125170352174,6770.277496650468
2024-12-21 19:00:00+00:00,2934.9999999999995,3412.0527,1993.789624567833,5839.181528326377
2024-12-21 20:00:00+00:00,3701.249999999998,3500.5923,2045.5273074385905,5990.704897900452
2024-12-21 21:00:00+00:00,3909.25,3686.4548,2154.13389235094,6308.779361052586
2024-12-21 22:00:00+00:00,3608.2500000000005,5095.7476,2977.635429870052,8720.555863027494
2024-12-21 23:00:00+00:00,3880.4999999999995,3989.989,2331.4994656793615,6828.227233975189
2024-12-22 00:00:00+00:00,3041.9999999999995,3683.853,2205.4499763818562,6153.289899068659
2024-12-22 01:00:00+00:00,3473.7499999999995,3896.4355,2332.719223738255,6508.375973386552
2024-12-22 02:00:00+00:00,3676.000000000001,3322.5918,1989.170048179393,5549.860616234081
2024-12-22 03:00:00+00:00,3944.2499999999995,3367.538,2016.0786974424798,5624.936778233134
2024-12-22 04:00:00+00:00,4098.499999999998,2841.4146,1701.0987012345292,4746.130525620202
2024-12-22 05:00:00+00:00,4302.000000000001,3719.8804,2227.0184483450953,6213.4667618815265
2024-12-22 06:00:00+00:00,3976.7499999999995,3266.5664,1955.6283395021362,5456.277964434718
2024-12-22 07:00:00+00:00,4769.999999999999,3513.7754,2103.6278523334818,5869.202273361263
2024-12-22 08:00:00+00:00,4933.499999999997,3977.7415,2381.395346218169,6644.184219317389
2024-12-22 09:00:00+00:00,4765.999999999999,3250.572,1946.0526966908337,5429.561554260516
2024-12-22 10:00:00+00:00,4944.499999999998,2813.2898,1684.2611641559845,4699.153152322312
2024-12-22 11:00:00+00:00,4876.249999999999,2706.8704,1620.5496830091577,4521.395679882391
2024-12-22 12:00:00+00:00,4001.499999999999,2762.629,1653.9314065055837,4614.531966900084
2024-12-22 13:00:00+00:00,4160.000000000001,2440.267,1460.9399516692704,4076.0784166655826
2024-12-22 14:00:00+00:00,4156.250000000002,2730.3767,1634.622354811562,4560.65897317025
2024-12-22 15:00:00+00:00,4331.999999999999,3051.9114,1827.1186654219293,5097.731052051185
2024-12-22 16:00:00+00:00,5143.000000000001,4141.932,2479.692445120975,6918.436889866242
2024-12-22 17:00:00+00:00,5068.250000000003,4269.58,2556.1138602171745,7131.655564793547
2024-12-22 18:00:00+00:00,4388.249999999998,5133.6284,3073.4023978938526,8574.910396173827
2024-12-22 19:00:00+00:00,4299.25,4962.5205,2970.9622918183713,8289.09857694316
2024-12-22 20:00:00+00:00,4281.25,4450.684,2664.5361933567233,7434.158026641998
2024-12-22 21:00:00+00:00,4144.500000000002,3587.4863,2147.7577252134624,5992.326308794735
2024-12-22 22:00:00+00:00,3736.5000000000014,4250.683,2544.800130380097,7100.089825251691
2024-12-22 23:00:00+00:00,3837.5000000000014,3603.884,2157.574130264451,6019.714454838444
2024-12-23 00:00:00+00:00,4262.5,4749.023,2843.1469623043017,7932.488912491351
2024-12-23 01:00:00+00:00,5423.749999999999,4888.2236,2926.48206085836,8164.997029048296
2024-12-23 02:00:00+00:00,5367.749999999998,5029.4575,3011.0376835573948,8400.910454713694
2024-12-23 03:00:00+00:00,5097.500000000002,3999.746,2394.5694500839636,6680.940473648495
2024-12-23 04:00:00+00:00,3752.5000000000014,4604.9756,2756.907485687429,7691.87746990648
2024-12-23 05:00:00+00:00,2691.4999999999986,4059.1147,2430.1113754388957,6780.103806583447
2024-12-23 06:00:00+00:00,2740.499999999999,4343.2446,2600.214357611194,7254.697641496152
2024-12-23 07:00:00+00:00,2880.5000000000005,4126.698,2470.57300460759,6892.993301574987
2024-12-23 08:00:00+00:00,2874.25,3603.0513,2157.0757703947897,6018.324011715756
2024-12-23 09:00:00+00:00,3128.750000000001,3621.1914,2167.9358790822835,6048.624130877369
2024-12-23 10:00:00+00:00,3310.9999999999986,3738.0754,2237.9118309163464,6243.859716453149
2024-12-23 11:00:00+00:00,3583.999999999999,3597.1792,2153.5600644747437,6008.515057553331
2024-12-23 12:00:00+00:00,4065.2499999999995,3553.3499,2127.3202849441923,5935.305067724618
2024-12-23 13:00:00+00:00,4342.499999999999,3704.5085,2217.8163333894413,6187.792508730051
2024-12-23 14:00:00+00:00,4361.750000000001,3746.2168,2242.7862723787384,6257.459594815958
2024-12-23 15:00:00+00:00,4413.750000000001,4243.397,2540.4379040286112,7087.919046665269
2024-12-23 16:00:00+00:00,4409.999999999998,4442.814,2659.8242398950315,7421.011496024154
2024-12-23 17:00:00+00:00,4707.499999999999,5718.8438,3423.7590770060688,9552.418948955856
2024-12-23 18:00:00+00:00,4592.0,5190.381,3107.3782261418382,8669.704258201562
2024-12-23 19:00:00+00:00,4269.0,4081.3208,2443.4064050452293,6817.197448361912
2024-12-23 20:00:00+00:00,4393.500000000002,3740.473,2239.3470704533006,6247.86408972846
2024-12-23 21:00:00+00:00,3804.9999999999986,3010.639,1802.4096743393732,5028.792020618941
2024-12-23 22:00:00+00:00,2789.749999999999,2455.9739,1470.3433081142646,4102.3141412795185
2024-12-23 23:00:00+00:00,1963.9999999999986,1610.4768,964.1606664714885,2690.0451851705598
2024-12-24 00:00:00+00:00,1185.5000000000002,2012.1932,1204.6603343919735,3361.0484693928424
2024-12-24 01:00:00+00:00,711.0000000000001,1477.4409,884.5148896806602,2467.8304176277197
2024-12-24 02:00:00+00:00,482.25,907.3257,543.1980171198203,1515.5432713331015
2024-12-24 03:00:00+00:00,411.49999999999983,980.5702,587.0480424300523,1637.8865213292906
2024-12-24 04:00:00+00:00,541.2499999999998,863.50195,516.9614252132833,1442.3421750974665
