date,solar_ampr_actual,solar_ampr_fitted,solar_ampr_lower,solar_ampr_upper
2025-04-18 00:00:00+00:00,,2.5506046,-178.21208263210133,183.31330557271872
2025-04-18 01:00:00+00:00,,0.62616605,-180.13652195444274,181.38886625037753
2025-04-18 02:00:00+00:00,,1.344672,-179.41807522356726,182.10731298125302
2025-04-18 03:00:00+00:00,,0.20282622,-180.55984021663198,180.9655479881883
2025-04-18 04:00:00+00:00,,55.646187,-125.11656021170302,236.40882799311726
2025-04-18 05:00:00+00:00,,2786.0137,2605.251064971911,2966.7764531767316
2025-04-18 06:00:00+00:00,,1234.0813,1053.3185929553345,1414.8439811601545
2025-04-18 07:00:00+00:00,,2365.8723,2185.1096139229853,2546.6350021278054
2025-04-18 08:00:00+00:00,,2809.1182,2628.3554837785723,2989.8808719833924
2025-04-18 09:00:00+00:00,,3568.7405,3387.977811400076,3749.503199604896
2025-04-18 10:00:00+00:00,,4751.3843,4570.621680322363,4932.147068527183
2025-04-18 11:00:00+00:00,,5265.6597,5084.896837979594,5446.422226184414
2025-04-18 12:00:00+00:00,,4361.942,4181.178964433609,4542.704352638429
2025-04-18 13:00:00+00:00,,4733.518,4552.755526431582,4914.280914636403
2025-04-18 14:00:00+00:00,,3687.3484,3506.5858822945756,3868.1112704993957
2025-04-18 15:00:00+00:00,,1986.0869,1805.3241610568411,2166.849549261661
2025-04-18 16:00:00+00:00,,1416.2239,1235.461132506674,1596.9865207114942
2025-04-18 17:00:00+00:00,,390.35004,209.5873887297912,571.1127769346112
2025-04-18 18:00:00+00:00,,24.07453,-156.68814047204683,204.83724773277345
2025-04-18 19:00:00+00:00,,-0.075372025,-180.8381155758202,180.68727262899984
2025-04-18 20:00:00+00:00,,2.3070743,-178.45559015909748,183.0697980457228
2025-04-18 21:00:00+00:00,,8.390571,-172.3721484369837,189.15323976783634
2025-04-18 22:00:00+00:00,,7.659125,-173.10359992951885,188.4217882753012
2025-04-18 23:00:00+00:00,,4.0458436,-176.71680044453137,184.8085877602889
2025-04-19 00:00:00+00:00,,-3.8450253,-184.6077713356981,176.91761686912196
2025-04-19 01:00:00+00:00,,-1.5907528,-182.35343571247836,179.17195249234192
2025-04-19 02:00:00+00:00,,3.5297306,-177.23300986143295,184.29237834338733
2025-04-19 03:00:00+00:00,,6.160712,-174.60193425502962,186.92345394979066
2025-04-19 04:00:00+00:00,,58.263374,-122.49928557685689,239.02610262796316
2025-04-19 05:00:00+00:00,,473.42578,292.66306687783594,654.188455082656
2025-04-19 06:00:00+00:00,,2366.0593,2185.296656898081,2546.822045102901
2025-04-19 07:00:00+00:00,,3291.057,3110.2943015688775,3471.8196897736975
2025-04-19 08:00:00+00:00,,5703.366,5522.6034092272075,5884.128797432028
2025-04-19 09:00:00+00:00,,6665.0796,6484.316946306319,6845.8423345111405
2025-04-19 10:00:00+00:00,,7924.9185,7744.155620722635,8105.681008927455
2025-04-19 11:00:00+00:00,,7072.657,6891.8941388213225,7253.419527026144
2025-04-19 12:00:00+00:00,,7082.178,6901.415216776042,7262.940604980864
2025-04-19 13:00:00+00:00,,6888.7773,6708.0142402450765,7069.539628449898
2025-04-19 14:00:00+00:00,,5656.142,5475.37940399453,5836.90479219935
2025-04-19 15:00:00+00:00,,4124.4536,3943.6907842629516,4305.216172467772
2025-04-19 16:00:00+00:00,,1998.0132,1817.250423234951,2178.775811439771
2025-04-19 17:00:00+00:00,,508.62738,327.86470076268984,689.39008896751
2025-04-19 18:00:00+00:00,,16.294012,-164.46870359075547,197.05668461406458
2025-04-19 19:00:00+00:00,,48.86445,-131.8982780139545,229.62711019086578
2025-04-19 20:00:00+00:00,,-0.61150485,-181.3742302401604,180.1511579646599
2025-04-19 21:00:00+00:00,,-1.8258603,-182.5885830355503,178.93680516926997
2025-04-19 22:00:00+00:00,,-2.2236874,-182.98642258101836,178.5389656238017
2025-04-19 23:00:00+00:00,,3.5260684,-177.2365928059719,184.28879539884838
2025-04-20 00:00:00+00:00,,0.17511626,-180.58757486139598,180.93781334342407
2025-04-20 01:00:00+00:00,,-2.8137753,-183.57641411509167,177.9489740897286
2025-04-20 02:00:00+00:00,,-0.00750093,-180.7701723312307,180.75521587358958
2025-04-20 03:00:00+00:00,,-2.2617733,-183.02450795445043,178.50088025036962
2025-04-20 04:00:00+00:00,,60.371162,-120.39158527643303,241.133802928387
2025-04-20 05:00:00+00:00,,524.2519,343.4891920377861,705.0145802426063
2025-04-20 06:00:00+00:00,,2184.5415,2003.7787813336963,2365.3041695385164
2025-04-20 07:00:00+00:00,,4309.6353,4128.872486021667,4490.397874226487
2025-04-20 08:00:00+00:00,,5889.0586,5708.2957469335415,6069.821135138362
2025-04-20 09:00:00+00:00,,6131.586,5950.822874142395,6312.348262347217
2025-04-20 10:00:00+00:00,,6649.091,6468.327989950625,6829.853378155447
