method,model_label,horizon,mse,rmse,mae,mape,smape,bias,variance,std,r2,prediction_interval_coverage,prediction_interval_width
trained,XGBoost,2024-12-05T00:00:00+00:00,23101.944469648704,151.99323823660282,112.36295458816346,30.224059228305904,60.50108752908399,-73.53111507211413,17695.119585900215,133.02300397262204,0.8751019332460831,0.8630952380952381,828.2094228463372
trained,XGBoost,2024-12-12T00:00:00+00:00,31660.62449782895,177.93432636180393,131.7653134550367,85.58263592012577,95.31642637618025,22.350261495226906,31161.09030892393,176.52504159162214,0.8196176625814442,0.7142857142857143,833.2879824180387
trained,XGBoost,2024-12-19T00:00:00+00:00,17562.29092273438,132.5227939742231,97.57449886912387,39.65818656151807,51.4654810073875,-43.95976785251074,15629.829733087745,125.01931743969708,0.9151088872791323,0.9047619047619048,1029.9314260178749
trained,XGBoost,2024-12-26T00:00:00+00:00,31404.031283848864,177.21182602707097,126.59076439482826,169.97534791607768,127.86390916468977,-39.26854899667557,29862.012343544553,172.80628560195532,0.8153379882563284,0.6071428571428571,524.8988684422649
trained,XGBoost,2025-01-02T00:00:00+00:00,60705.54889743837,246.3849607777195,193.5131221158164,46.82210545339336,65.65255341370158,-86.50376518567401,53222.647506140136,230.7003413654608,0.7168296574502611,0.9047619047619048,1068.8097411279246
trained,ElasticNet,2024-12-05T00:00:00+00:00,63936.72903673213,252.85713167069687,206.41814733655073,84.58222404748481,97.82961157248408,121.77472908440552,49107.64439315178,221.60244672194344,0.6543332591874117,0.7261904761904762,1076.308100171544
trained,ElasticNet,2024-12-12T00:00:00+00:00,34918.46362000846,186.86482713450505,131.34324167672847,122.93935359547635,109.96007384294784,-54.603530794477635,31936.918044784983,178.70903179410095,0.8010565430484845,0.6726190476190477,692.5351304780016
trained,ElasticNet,2024-12-19T00:00:00+00:00,55745.7728683307,236.10542744361194,160.36435985974134,46.88298374623099,62.72378961061988,64.87996303135012,51536.36326538134,227.01621806686265,0.7305408099036009,0.875,1119.475839805074
trained,ElasticNet,2024-12-26T00:00:00+00:00,47950.9240947384,218.9769944417413,160.48059404958371,128.40709335621918,148.29330727706366,-122.51315239056964,32941.45158606345,181.4978004992442,0.7180389349294631,0.44642857142857145,387.26664480079666
trained,ElasticNet,2025-01-02T00:00:00+00:00,127791.68043546032,357.4796224058937,250.97454509199486,70.99881956867644,71.23699851351994,148.986852117332,105594.59833162859,324.953224836481,0.4038961086563363,0.8630952380952381,1351.1740708100028
trained,"ensemble[XGBoost](XGBoost,ElasticNet)",2024-12-05T00:00:00+00:00,38859.02903052513,197.12693633931698,163.47632196971352,67.23854924502837,82.02063101545455,5.837463583265027,38824.95304943918,197.04048581304093,0.7899130262293145,0.8273809523809523,968.8327754120976
trained,"ensemble[XGBoost](XGBoost,ElasticNet)",2024-12-12T00:00:00+00:00,39920.222706817935,199.80045722374595,151.30876744928815,120.86587520043362,110.33607626240887,-45.52660030978067,37847.55137105141,194.5444714481792,0.7725596637356629,0.6726190476190477,729.0964224794203
trained,"ensemble[XGBoost](XGBoost,ElasticNet)",2024-12-19T00:00:00+00:00,24097.02594345774,155.23216787591977,117.06019499188378,61.00360802740082,56.17115958650528,-5.423928555988141,24067.606942477276,155.1373808676596,0.8835218392290903,0.9166666666666666,1064.4959125199446
trained,"ensemble[XGBoost](XGBoost,ElasticNet)",2024-12-26T00:00:00+00:00,33392.41863823436,182.7359259648588,132.77456067005792,175.19621972344507,136.82697225112815,-66.9396189876965,28911.506048016385,170.03383795002802,0.803645871226266,0.5773809523809523,495.23774944022233
