number,value,params_bagging_temperature,params_border_count,params_colsample_bylevel,params_depth,params_grow_policy,params_iterations,params_l2_leaf_reg,params_leaf_estimation_iterations,params_learning_rate,params_random_strength,state
0,2.3037775104868126,0.6890158349289404,165,0.911759989966809,8,Lossguide,786,2.962049921785303,4,0.07209833710553962,0.20175252811659666,COMPLETE
1,2.236543758317224,0.4739051424200228,88,0.8462794604796341,12,Depthwise,583,1.058257812000686e-08,4,0.012306928757458821,3.455254980989834e-07,COMPLETE
2,2.544754947684298,0.030839376798490803,115,0.8721118857920003,4,Lossguide,860,0.0005726068721880804,6,0.13624227314580842,0.019186859726992907,COMPLETE
3,2.3357831875965567,0.41555769443723944,106,0.6815192388129789,12,Depthwise,655,0.0006298295892473677,9,0.0483213193045963,0.07356510212188133,COMPLETE
4,1.9973045282918238,0.08619709797570396,34,0.5890488492231805,4,SymmetricTree,423,1.805735230035692e-06,7,0.01936315196044182,5.412772685849329e-07,COMPLETE
5,2.197001264428317,0.8521499043865778,155,0.7510586540176651,7,Depthwise,409,1.5731716239256841e-07,8,0.019808588850131394,0.0016150493054436254,COMPLETE
6,2.165773827729273,0.1827683402210124,121,0.7175323058497518,4,Depthwise,463,4.0807993834836604e-07,9,0.011088326467181829,2.5642695514130477e-05,COMPLETE
7,2.1605121925367707,0.8388095539826635,191,0.5165337423195361,8,SymmetricTree,395,0.1624534008493603,4,0.017684265423722346,2.5497195048132517e-08,COMPLETE
8,2.2713763359234895,0.8693925416084302,194,0.8122895310642426,4,Lossguide,462,1.526431434900223e-06,6,0.08562559279026463,3.927220560057285e-05,COMPLETE
9,2.312363080851619,0.2462861761791585,54,0.9152136574915898,6,Lossguide,622,3.904278762082449e-05,3,0.0360347505305407,2.6995620458720634e-06,COMPLETE
10,2.615082658550313,0.020349821267504842,253,0.5433053367833878,10,SymmetricTree,1000,0.00945737691256045,1,0.27466440997615593,2.0153357699793964e-08,COMPLETE
11,2.1080471748421314,0.6138388940942667,36,0.5343443407955497,10,SymmetricTree,362,1.3717364690355816,7,0.026754973610600724,1.0215861353622967e-08,COMPLETE
12,2.1205696029450833,0.6319280775304386,32,0.6081303191203491,10,SymmetricTree,304,1.3975361934079093e-05,7,0.025740344142557575,3.4984052015460447e-07,COMPLETE
13,2.28324163063259,0.28956879704598343,64,0.6142819055175353,10,SymmetricTree,310,6.851141048766025,10,0.033804892524230294,3.526711612772108e-07,COMPLETE
14,2.1120325099651396,0.6304859630064693,38,0.5838663562668581,6,SymmetricTree,537,0.027977235020329498,7,0.0187961171335283,1.2706331022398401e-08,COMPLETE
15,2.3089993153230046,0.36790537755046226,74,0.6590704961399194,9,SymmetricTree,740,2.5773436292646862e-05,8,0.03267881851464027,5.543228524980076e-06,COMPLETE
16,2.3118681048192755,0.5634659163665902,89,0.505106136128489,11,SymmetricTree,497,0.004124560231987266,5,0.055909296915442906,0.000650855246681007,COMPLETE
17,2.12712876469497,0.9991945932546867,49,0.9859894932527256,6,SymmetricTree,385,0.481795360523679,7,0.014775841122109225,1.1387901896389464e-07,COMPLETE
18,2.1787183371362215,0.14957115262827403,133,0.5680198286650121,9,SymmetricTree,348,2.0255258851004994e-08,2,0.027211868446195733,4.940145635206136e-06,COMPLETE
19,2.0618293600699187,0.7290488981835233,83,0.6512841549759759,5,SymmetricTree,554,2.799599496826727e-06,5,0.010041665213167593,1.0387792037730944e-07,COMPLETE
