Parameter,Value
compute_heating_degree_hours,False
compute_cooling_degree_hours,True
compute_dew_point_spread,False
compute_temp_gradient,True
compute_wind_chill,False
compute_humidex,False
compute_wind_components,False
compute_wind_power_density,False
compute_pressure_trend,False
compute_wind_speed_gradient,True
compute_air_density,False
compute_rain_indicator,False
compute_cloud_cover_fraction,True
compute_effective_solar,False
temp_lags_option,small
precip_lags_option,medium
cloud_lags_option,medium
rolling_temp_option,short
drop_basic_meteo_features,True
drop_wind_meteo_features,False
drop_rad_meteo_features,False
spatial_agg_method,mean
n_estimators,873
learning_rate,0.010645535808268155
max_depth,3
min_child_weight,7
subsample,0.8131547895573116
colsample_bytree,0.8191540822562257
reg_alpha,0.02862392350715799
reg_lambda,1.608820863486719e-05
use_base_models_pred_intervals,False
cv_folds_base,35
