number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,params_use_base_models_pred_intervals,state
0,1985.3790656242552,medium,0.9103064803274407,False,True,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,0.1018150628190469,5,2,923,medium,0.9289637179117761,0.5840699836143484,short,idw,0.5957245324303968,medium,False,COMPLETE
1,2477.913691577339,small,0.8823985021153234,True,True,False,True,True,True,True,False,True,False,False,True,False,True,False,True,False,0.05100081668774083,4,4,853,none,6.798249875653719e-07,0.001528188532064857,short,energy,0.947193233249823,none,False,COMPLETE
2,2141.0896173357132,small,0.9962520730305661,False,True,True,True,True,True,False,True,False,False,False,True,True,False,True,False,True,0.05045642035841286,9,2,644,small,0.001334789029858698,0.5162924308992557,short,distance_energy,0.9092394173185375,none,True,COMPLETE
3,2299.851967682969,medium,0.9917347423157169,False,True,False,True,True,True,False,True,False,False,False,False,True,False,False,True,False,0.08579039611304999,9,2,368,small,0.0019014484501361385,0.19448582035026118,none,energy,0.6605572096204084,medium,False,COMPLETE
4,2240.751222491004,medium,0.7588105035146758,True,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,0.016936838976464714,9,9,696,small,0.00467618602609887,0.0003413481055908959,long,distance_population,0.670238567462697,small,False,COMPLETE
5,2237.2356596222394,small,0.787599162067506,False,False,True,False,False,True,True,True,True,True,False,False,True,True,True,False,False,0.045606468430508466,9,4,520,small,3.036609495334469e-05,4.304787562838247e-06,long,energy,0.9080080484163481,medium,True,COMPLETE
6,2251.206863695916,medium,0.6108981971771964,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,True,False,0.027824068685561483,4,9,769,small,5.6069304005818945e-06,0.044824491620670974,long,population,0.570994447935804,medium,False,COMPLETE
7,2033.8036783073342,small,0.9318771054777669,False,True,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,0.026091253063832705,7,9,637,medium,0.27300216112229897,0.028485669155535444,none,distance_energy,0.7332044281733154,small,True,COMPLETE
8,2203.565563380051,small,0.8425331407808359,False,True,False,False,False,False,True,True,False,False,True,True,False,False,False,True,True,0.19266261652307287,10,4,473,small,1.5865859952031057e-07,0.0014645562412971725,long,idw,0.9980771746941476,small,False,COMPLETE
9,2255.711841509969,none,0.7197597934433777,False,True,False,True,True,False,True,True,True,True,False,False,False,False,True,True,True,0.037545276136844295,6,6,408,none,1.709351641030118e-06,0.031620391731720945,none,distance_population,0.5847644136563845,small,True,COMPLETE
