date,wind_onshore_50hz_actual,wind_onshore_50hz_fitted,wind_onshore_50hz_lower,wind_onshore_50hz_upper
2025-01-07 00:00:00+00:00,12281.0,12225.579586351061,10885.878418921078,13565.280753781044
2025-01-07 01:00:00+00:00,12386.5,11652.900405117241,10313.199237687259,12992.601572547224
2025-01-07 02:00:00+00:00,12411.25,12216.925627701003,10877.22446027102,13556.626795130987
2025-01-07 03:00:00+00:00,12403.75,11524.518365041755,10184.817197611772,12864.219532471738
2025-01-07 04:00:00+00:00,12452.25,11843.605675428698,10503.904507998715,13183.306842858681
2025-01-07 05:00:00+00:00,13145.5,12278.391500188063,10938.69033275808,13618.092667618046
2025-01-07 06:00:00+00:00,13190.25,11718.045302899369,10378.344135469386,13057.746470329354
2025-01-07 07:00:00+00:00,13096.25,12251.877207796017,10912.176040366034,13591.578375226001
2025-01-07 08:00:00+00:00,12090.0,11954.598341505798,10614.897174075815,13294.299508935781
2025-01-07 09:00:00+00:00,11671.75,11731.26397302834,10391.562805598358,13070.965140458326
2025-01-07 10:00:00+00:00,11558.75,10924.788109452324,9585.08694202234,12264.489276882307
2025-01-07 11:00:00+00:00,11434.5,11355.839449695712,10016.138282265729,12695.540617125695
2025-01-07 12:00:00+00:00,10602.75,10102.101150749922,8762.39998331994,11441.802318179904
2025-01-07 13:00:00+00:00,9616.0,9611.104324014339,8271.403156584356,10950.805491444322
2025-01-07 14:00:00+00:00,8944.75,7972.160243808987,6632.459076379004,9311.86141123897
2025-01-07 15:00:00+00:00,9416.5,8525.766554795431,7186.06538736545,9865.467722225414
2025-01-07 16:00:00+00:00,10672.25,9000.315329586772,7660.6141621567895,10340.016497016753
2025-01-07 17:00:00+00:00,10885.75,9170.12752677304,7830.426359343057,10509.828694203023
2025-01-07 18:00:00+00:00,10764.0,9455.655971013308,8115.954803583325,10795.35713844329
2025-01-07 19:00:00+00:00,10799.5,9588.68351607646,8248.982348646477,10928.384683506443
2025-01-07 20:00:00+00:00,11116.0,10062.67596705319,8722.974799623209,11402.377134483173
2025-01-07 21:00:00+00:00,10790.5,10359.210348956298,9019.509181526315,11698.91151638628
2025-01-07 22:00:00+00:00,10551.75,10111.658109245076,8771.956941815093,11451.359276675057
2025-01-07 23:00:00+00:00,10156.75,10050.83036058464,8711.129193154657,11390.531528014622
2025-01-08 00:00:00+00:00,9298.5,9379.99249869772,8040.291331267737,10719.693666127703
2025-01-08 01:00:00+00:00,8697.0,7748.095194227002,6408.394026797019,9087.796361656985
2025-01-08 02:00:00+00:00,8827.75,8157.267236284509,6817.566068854527,9496.96840371449
2025-01-08 03:00:00+00:00,9083.0,8775.040717114367,7435.339549684384,10114.74188454435
2025-01-08 04:00:00+00:00,9421.0,8642.366130066217,7302.664962636235,9982.0672974962
2025-01-08 05:00:00+00:00,9875.25,9646.450544113235,8306.749376683252,10986.151711543218
2025-01-08 06:00:00+00:00,10084.25,9235.385396925732,7895.68422949575,10575.086564355715
2025-01-08 07:00:00+00:00,10240.5,10427.121737948059,9087.420570518076,11766.822905378041
2025-01-08 08:00:00+00:00,10117.25,10677.629282866192,9337.928115436209,12017.330450296175
2025-01-08 09:00:00+00:00,9832.0,9980.354856071888,8640.653688641905,11320.056023501871
2025-01-08 10:00:00+00:00,9807.25,9410.716231764143,8071.01506433416,10750.417399194126
2025-01-08 11:00:00+00:00,9335.0,10301.441508571486,8961.740341141503,11641.14267600147
2025-01-08 12:00:00+00:00,8853.0,9278.724844789234,7939.023677359252,10618.426012219217
2025-01-08 13:00:00+00:00,7886.5,7916.762969980999,6577.061802551016,9256.464137410981
2025-01-08 14:00:00+00:00,7052.5,7795.80981232024,6456.108644890257,9135.510979750223
2025-01-08 15:00:00+00:00,6952.75,8429.342836851753,7089.64166942177,9769.044004281735
2025-01-08 16:00:00+00:00,7253.0,8592.14842681403,7252.447259384047,9931.849594244013
2025-01-08 17:00:00+00:00,7238.75,8629.025175223456,7289.324007793473,9968.72634265344
2025-01-08 18:00:00+00:00,6866.75,8174.2237236121655,6834.522556182183,9513.924891042148
2025-01-08 19:00:00+00:00,6037.5,6612.790854262965,5273.089686832983,7952.492021692948
2025-01-08 20:00:00+00:00,5187.75,5618.334241960465,4278.633074530482,6958.035409390448
2025-01-08 21:00:00+00:00,4634.5,5237.927660696841,3898.226493266858,6577.628828126824
2025-01-08 22:00:00+00:00,4421.25,4523.529398193346,3183.8282307633635,5863.230565623329
2025-01-08 23:00:00+00:00,3734.25,3814.3141030868846,2474.6129356569018,5154.0152705168675
