number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_use_base_models_pred_intervals,params_vapor_pressure,state
0,118.99323983947828,0.8460656222516874,False,False,True,True,True,False,False,True,False,True,large,0.040333744709919066,16,27,0.17907464067036793,315,66,small,1.1014286787155095e-08,0.00011297351971759131,mean,0.8314155623675706,6,False,True,COMPLETE
1,117.52882481992098,0.890420712192876,False,True,False,False,True,False,False,True,True,True,none,0.015197614142529717,5,25,0.060244252550949784,635,21,small,1.104012305141563e-06,6.41666189398216e-08,mean,0.953025951522201,2,False,False,COMPLETE
2,115.97603749286729,0.6646493130475869,True,True,False,True,False,False,True,True,True,True,small,0.02543127643588436,6,59,0.152640596654529,804,19,large,3.572942923821235e-05,0.000573263284832487,None,0.9741362231507229,6,False,False,COMPLETE
3,123.41542588496081,0.7112046611970348,True,True,True,False,True,False,True,True,False,False,large,0.03010688779968006,10,58,0.4229073071062207,646,97,small,4.3976090591795235e-06,0.0035036720567031203,distance_capacity,0.6377960763341206,0,True,True,COMPLETE
4,125.13053257397353,0.987660574816153,False,False,False,False,True,True,False,False,False,True,small,0.08868891392059046,14,22,0.42054916558514566,790,64,small,0.02634855408171614,0.9819416066173006,idw,0.661118334433669,0,False,True,COMPLETE
5,128.89945378412122,0.5772072997124631,True,False,False,True,False,True,True,False,False,True,small,0.08789592887688999,7,50,0.22748628951046018,503,104,large,0.0007986417128260188,1.9562283602723143e-06,max,0.9013480138507115,0,False,True,COMPLETE
6,123.10484761771102,0.5934305207091066,False,True,False,True,True,False,True,True,False,True,none,0.03406440409528032,12,40,0.13482304246490656,847,64,none,2.6666727296724267e-06,0.8656011042583939,None,0.79524155821118,6,False,False,COMPLETE
7,123.51315923077148,0.6218960461224785,False,False,True,False,True,False,True,False,True,False,none,0.10872696075578232,4,20,0.07612044198941814,473,111,none,8.393012907394826e-06,4.1039999317693026e-05,distance_capacity,0.5924070656948213,6,False,False,COMPLETE
8,118.8598838619658,0.5539682650996296,True,True,False,False,True,True,False,False,False,False,large,0.011811850885993305,4,18,0.00621377395666689,575,68,small,0.0035918581893905088,0.00037967163983009883,mean,0.588675894011536,2,True,True,COMPLETE
9,123.30031907331613,0.5259420728279507,False,True,True,True,True,False,True,False,True,True,none,0.06325225474679938,13,93,0.44431636163357047,339,85,small,0.2778476689507661,4.970443791403958e-07,distance_capacity,0.6262772041018336,2,False,True,COMPLETE
10,122.77291906521971,0.7128663381996851,True,True,False,True,False,True,True,True,True,False,small,0.1751269529732206,8,75,0.3264737145241109,928,10,large,1.7983973001626878e-08,0.009793690919498842,None,0.9685169319516663,6,True,False,COMPLETE
11,125.75240098562796,0.8717115948845395,True,True,False,False,False,False,False,True,True,True,none,0.012597584809446087,6,70,0.07781162191971953,740,10,large,2.9773299210158996e-07,1.0903059006493006e-08,distance_n_turbines,0.9993504596640543,2,False,False,COMPLETE
12,116.39361508450104,0.8102306987269715,True,True,False,False,False,False,False,True,True,True,small,0.018959365218673654,3,7,0.28056229403884664,982,37,large,9.029651478078837e-05,2.745932837332371e-08,capacity,0.8948570498291076,2,False,False,COMPLETE
13,115.92317526427712,0.7984413600348083,True,True,False,True,False,False,False,True,True,True,small,0.020754316591383704,3,7,0.29068237462793306,979,38,large,7.26553476502181e-05,7.828815630165296e-06,capacity,0.8624891239287826,2,False,False,COMPLETE
14,116.99736557658446,0.6561625228430477,True,True,False,True,False,False,False,True,True,True,small,0.023983839935102207,9,41,0.3593116288698167,866,146,large,0.00011791026804443973,6.9273599835054366e-06,capacity,0.740312342739474,6,True,False,COMPLETE
15,114.96279006363052,0.7757469197995827,True,True,False,True,False,False,True,True,True,True,small,0.04849437109789365,3,75,0.22151796864798762,998,38,large,0.00017490696074873226,0.002823162227197674,capacity,0.877661370115274,2,False,False,COMPLETE
16,113.81767300185464,0.7740261116600465,True,True,False,True,False,False,False,True,True,True,small,0.052866197953200106,3,98,0.239967160657091,999,43,large,0.0012999852718180577,0.043364454193652424,capacity,0.7455090990745818,2,False,False,COMPLETE
17,117.32281189376181,0.7613137953080595,True,True,False,True,False,False,True,True,True,True,small,0.27649300321230746,10,100,0.2190670492891902,933,41,large,0.002612405133181418,0.07961758807354631,capacity,0.5032562917065325,2,False,False,COMPLETE
18,118.11124494512171,0.911260007567559,True,False,True,True,False,True,False,True,True,False,small,0.04986793221174444,5,84,0.33699065639857334,998,47,none,0.042758202596971176,0.0387046436136469,capacity,0.7392975141039672,2,True,False,COMPLETE
19,124.3319794071889,0.9637118228614314,True,True,False,True,False,False,True,True,True,True,small,0.06044478218370943,3,87,0.19303174634174114,726,50,large,0.0008498468338018628,0.0036760221086371164,distance_n_turbines,0.7881715224106095,2,False,False,COMPLETE
