Parameter,Value
compute_air_density,True
compute_wind_power_density,False
encode_wind_direction,True
compute_wind_shear,False
compute_wind_ramp,True
compute_air_density_moiust_air_correction,True
dew_point_temperature,False
vapor_pressure,False
gust_factor,True
turbulence_window,2
lags_choice,small
precip_lags_choice,large
drop_raw_main_features,False
drop_raw_wind_features,True
spatial_agg_method,capacity
n_estimators,999
learning_rate,0.052866197953200106
num_leaves,43
max_depth,3
min_child_samples,98
subsample,0.7455090990745818
colsample_bytree,0.7740261116600465
reg_alpha,0.0012999852718180577
reg_lambda,0.043364454193652424
min_split_gain,0.239967160657091
use_base_models_pred_intervals,False
cv_folds_base,40
