date,solar_tran_actual,solar_tran_fitted,solar_tran_lower,solar_tran_upper
2025-06-01 18:00:00+00:00,145.5,175.5945364955487,-79.61379121823802,430.8028642093355
2025-06-01 19:00:00+00:00,2.75,-17.233813778004446,-272.44214149179106,237.97451393578228
2025-06-01 20:00:00+00:00,0.0,1.1131052305580624,-254.09522248322855,256.3214329443448
2025-06-01 21:00:00+00:00,0.0,16.42829537052853,-238.7800323432582,271.63662308431526
2025-06-01 22:00:00+00:00,0.0,1.3746394845601344,-253.83368822922648,256.58296719834686
2025-06-01 23:00:00+00:00,0.0,1.3746394845601344,-253.83368822922648,256.58296719834686
2025-06-02 00:00:00+00:00,0.0,2.4157114797988015,-252.79261623398793,257.62403919358553
2025-06-02 01:00:00+00:00,0.0,2.3764437183812106,-252.83188399540563,257.58477143216794
2025-06-02 02:00:00+00:00,0.0,1.3940013251143455,-253.8143263886725,256.6023290389011
2025-06-02 03:00:00+00:00,17.75,6.969372565496769,-248.23895514828996,262.1777002792835
2025-06-02 04:00:00+00:00,295.25,246.11355330075992,-9.094774413026926,501.3218810145466
2025-06-02 05:00:00+00:00,578.75,932.8894832925865,677.6811555787998,1188.0978110063734
2025-06-02 06:00:00+00:00,974.5,1340.682229087859,1085.473901374072,1595.8905568016457
2025-06-02 07:00:00+00:00,1521.25,1901.8410339632205,1646.6327062494338,2157.0493616770073
2025-06-02 08:00:00+00:00,2076.75,2152.333359673925,1897.125031960138,2407.5416873877116
2025-06-02 09:00:00+00:00,3072.75,2913.1803146419797,2657.9719869281926,3168.3886423557665
2025-06-02 10:00:00+00:00,2941.75,3534.3142409975026,3279.105913283716,3789.5225687112898
2025-06-02 11:00:00+00:00,2227.25,3465.5094907831885,3210.301163069402,3720.7178184969753
2025-06-02 12:00:00+00:00,2317.75,3168.541100995712,2913.3327732819253,3423.7494287094987
2025-06-02 13:00:00+00:00,1726.0,3038.0826653235745,2782.8743376097877,3293.290993037361
2025-06-02 14:00:00+00:00,1239.5,2930.940680343246,2675.7323526294595,3186.149008057033
2025-06-02 15:00:00+00:00,1174.0,1034.0280070397168,778.8196793259301,1289.2363347535036
2025-06-02 16:00:00+00:00,888.5,955.1199349316436,699.9116072178568,1210.3282626454304
2025-06-02 17:00:00+00:00,460.75,582.6696930165587,327.4613653027719,837.8780207303454
2025-06-02 18:00:00+00:00,146.4999999999999,117.05820896669582,-138.15011874709103,372.26653668048255
2025-06-02 19:00:00+00:00,2.75,-3.8508109426041983,-259.0591386563908,251.35751677118253
2025-06-02 20:00:00+00:00,0.0,-0.49172280799825785,-255.700050521785,254.71660490578847
2025-06-02 21:00:00+00:00,0.0,1.3746394845601344,-253.83368822922648,256.58296719834686
2025-06-02 22:00:00+00:00,0.0,0.8305985605340993,-254.37772915325263,256.03892627432083
