Parameter,Value
compute_cloud_cover_fraction,False
compute_clear_sky_fraction,False
use_solar_geometry,False
compute_air_density,False
compute_air_density_moist,False
compute_direct_ratio,False
compute_diffuse_ratio,False
compute_dni_ratio,False
compute_global_tilted_ratio,True
dew_point_temperature,False
vapor_pressure,False
precip_lags_option,small
cloud_lags_option,none
shortwave_lags_option,none
drop_raw_solar_features,True
drop_raw_features,False
spatial_agg_method,n_panels
lags_target,
n_estimators,825
learning_rate,0.056327895001492864
max_depth,6
min_child_weight,4
subsample,0.683808452753038
colsample_bytree,0.8533132044781059
reg_alpha,1.183679209482063e-07
reg_lambda,0.06519661403761438
