Parameter,Value
compute_air_density,True
compute_wind_power_density,True
encode_wind_direction,False
compute_wind_shear,False
compute_wind_ramp,True
compute_air_density_moiust_air_correction,False
dew_point_temperature,False
vapor_pressure,False
gust_factor,False
turbulence_window,2
lags_choice,large
precip_lags_choice,small
drop_raw_main_features,False
drop_raw_wind_features,True
spatial_agg_method,distance_capacity
lags_target,12
l1_ratio,0.5926028631755708
alpha,0.07278131304797658
