number,value,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_use_base_models_pred_intervals,state
0,679.7360552574957,0.7363048428217911,0.09339966397499787,11,89,0.12808673142981702,342,43,1.1745708129436303e-05,5.226001471414359e-08,0.662820762816774,False,COMPLETE
1,673.472702078586,0.6978706008860618,0.08806051524426038,9,6,0.44841764037519766,802,72,0.011829208644770802,0.07825463235130507,0.7560833755972931,False,COMPLETE
2,682.8959167767451,0.7087767608109021,0.045991426075096306,14,15,0.31232985405770175,840,104,0.01549278783081667,4.409955196011998e-05,0.6845645528266227,False,COMPLETE
3,656.6154983347915,0.925648165225105,0.11850335924357658,9,62,0.17689635046867525,546,89,4.2985279018221555e-05,0.0012257088268529633,0.8385957632966898,True,COMPLETE
4,671.3414124696797,0.6048717274503117,0.055176425827117334,13,70,0.334748949005926,408,49,8.210974951080426e-07,0.0017808036681673145,0.7305963273890372,True,COMPLETE
5,669.3696049978483,0.6313247350828343,0.01742678777550419,11,38,0.19028118618265427,857,128,1.969793868457063e-06,2.335395326480573e-08,0.6402167789677768,False,COMPLETE
6,681.9773998274777,0.8052422519858926,0.047707765827215934,11,9,0.48394845003188586,376,69,0.15264707233620659,3.213071129017272e-07,0.8006151579258334,True,COMPLETE
7,680.8494336578339,0.6106607075893751,0.05393366775491754,10,20,0.007253144772072007,910,81,0.0007053585605290203,0.004864919314229945,0.7069656963721265,False,COMPLETE
8,662.1903238634195,0.8284675052523629,0.09170973969027049,7,21,0.4072155052621991,300,131,0.0011044275773800128,0.03148440578722215,0.6777005468112283,False,COMPLETE
9,663.716975582164,0.9349919645986331,0.08705916401817648,11,72,0.38693520999365727,557,138,4.910173654767522e-08,1.3836936188481035e-08,0.998474863259034,True,COMPLETE
10,736.1854906743598,0.98165856853196,0.2655035999201183,3,53,0.06676941819311341,641,11,3.0055194098434427e-05,2.1246095110369873e-05,0.8801548377608653,True,COMPLETE
11,666.491393978397,0.8579988036936819,0.2246160702473513,6,40,0.22993328847231237,526,111,0.0008078077059171295,0.8199022175760073,0.5354781712315295,True,COMPLETE
12,664.3271944583064,0.879798631999624,0.1529516389561162,7,56,0.16359783312963797,478,102,0.0003606038753269136,0.0016806990792669735,0.8682580624069139,False,COMPLETE
13,667.2269613010867,0.5102579601268216,0.022228743782332725,6,34,0.2771174569375643,730,139,0.008140430649895771,0.029921168598761833,0.5107944639817223,True,COMPLETE
14,680.2811257251616,0.8486237996001815,0.14617338046235628,8,99,0.3864151626502789,645,118,0.44618461957044725,0.000272471320634165,0.8533509728576097,False,COMPLETE
15,666.7125384939478,0.9994851160875244,0.031600276069440096,4,69,0.1088561469775321,439,88,8.18874061111729e-05,4.255158721682091e-06,0.6097725259999941,True,COMPLETE
16,667.1557510802693,0.7893109420903631,0.010369988038283368,16,28,0.23618625441055202,991,148,1.797130442147391e-08,0.9548467767735815,0.9497838315172746,False,COMPLETE
17,675.7021613484354,0.9493423714192744,0.1356501929722628,5,48,0.4078218657481473,574,95,1.908824955085206e-06,0.025310279823908842,0.782654355293653,True,COMPLETE
18,660.5698418081809,0.8932988955548042,0.18246385640190677,8,59,0.3436184324148604,311,58,0.0024164340625776465,0.0002443845055625849,0.5820093166479028,False,COMPLETE
19,681.0333815259257,0.8998015998208712,0.194324819245524,9,80,0.330960451684147,726,55,0.04226755604802184,0.0003027218966773133,0.590765749251603,True,COMPLETE
