number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_use_base_models_pred_intervals,params_vapor_pressure,state
0,1837.9022304801522,0.709427906281595,True,True,False,True,True,True,True,True,True,True,small,0.15275770866223026,5,2,759,none,0.03437015953411612,0.011975876207844207,idw,0.8807094571927399,2,False,True,COMPLETE
1,1748.7678592355824,0.9666178760883788,True,True,False,False,True,False,True,True,True,False,none,0.06750971977393792,10,3,831,none,1.1965330980299253e-07,5.547887312292478e-06,distance_capacity,0.9589779639117781,0,True,True,COMPLETE
2,1730.0843390634739,0.7577724363881977,False,True,True,True,False,False,True,True,False,False,none,0.011107321468521414,10,10,890,none,6.508004385875364e-05,1.1984080815960168e-08,capacity,0.7296360597029989,6,False,False,COMPLETE
3,1600.7647278198358,0.9409037923359426,True,False,True,False,False,True,True,True,True,False,small,0.1671216889842312,7,9,978,none,4.2251973903203886e-08,4.477019627509397e-08,mean,0.922086362582029,6,True,False,COMPLETE
4,1496.8712144385636,0.7758529788318542,True,False,True,True,True,True,True,False,False,False,none,0.01681586563631036,4,1,519,none,0.21584402976951872,1.3548040883716982e-07,mean,0.5696109857620356,0,True,True,COMPLETE
5,1618.0245930353324,0.5418597693566958,True,True,False,True,True,True,False,True,False,True,small,0.21708148564060376,8,2,489,small,0.0003252992649114768,9.563199991247744e-08,max,0.9997747824555306,0,False,False,COMPLETE
6,1689.4289508486565,0.7611190066266118,False,True,True,True,False,False,False,False,True,True,large,0.06086631908075823,7,8,993,none,0.4360331807872742,0.002486357775924113,distance_n_turbines,0.8150049762619809,0,True,False,COMPLETE
7,2088.8625050417536,0.8049468328176769,True,True,False,True,False,True,True,True,False,False,large,0.1594494963500334,3,5,506,small,0.2662989033551436,1.4012663777364341e-08,capacity,0.8248033821579908,0,True,False,COMPLETE
8,1771.3932288969443,0.7125118536357775,False,True,False,True,True,True,True,True,True,False,none,0.015627465779758487,3,10,732,none,0.00017914675916844673,0.00011069627356363515,distance_capacity,0.5291482533740482,6,True,False,COMPLETE
9,1381.8371294596263,0.5894469648532414,True,True,True,False,True,True,False,True,False,True,small,0.0136191577876108,6,5,668,large,3.463081909904635e-07,0.0004601425586329593,None,0.8659503253890869,6,True,False,COMPLETE
10,1286.7638889262314,0.5019414378633288,False,False,True,False,True,False,False,False,False,True,small,0.031380794141949754,5,6,313,large,2.0180153227904455e-06,0.285895952865946,None,0.6954194222632433,2,False,True,COMPLETE
11,1284.885483639492,0.5093116144100375,False,False,True,False,True,False,False,False,False,True,small,0.028719583827630076,5,6,323,large,9.867829176273482e-07,0.6718224372738414,None,0.6778618884723656,2,False,True,COMPLETE
12,1293.9339197159832,0.5008768628860197,False,False,True,False,True,False,False,False,False,True,small,0.031485470699935604,5,6,306,large,4.161325327263795e-06,0.6987777692948806,None,0.6615309815113587,2,False,True,COMPLETE
13,1320.5977106307655,0.6151247991164173,False,False,True,False,True,False,False,False,False,True,small,0.03506236342901266,5,7,313,large,3.495282714005355e-06,0.4202426737138394,None,0.6801819884755974,2,False,True,COMPLETE
14,1333.4339462202452,0.6339168893116843,False,False,True,False,True,False,False,False,False,True,small,0.02965284290746634,6,4,395,large,2.2556833370476412e-06,0.02979700699679367,None,0.6051049883390212,2,False,True,COMPLETE
15,1467.7872772600806,0.5088914491272917,False,False,True,False,True,False,False,False,False,True,small,0.09036232496323325,4,7,412,large,1.688935576409269e-08,0.08433336197604567,None,0.7506124359785813,2,False,True,COMPLETE
16,1559.6565349050088,0.8627604362180155,False,False,True,False,True,False,False,False,False,True,large,0.0225345461956928,8,6,576,large,2.719993917280142e-05,2.0912676958203535e-06,idw,0.6398918813890866,2,False,True,COMPLETE
17,1587.5426998047617,0.6650532312235329,False,False,True,False,True,False,False,False,False,True,small,0.04293130572623861,4,8,413,large,0.001988543329628423,0.004100733986306174,distance_n_turbines,0.7379684240334514,2,False,True,COMPLETE
18,1426.7080932825027,0.5680500571670901,False,False,True,False,False,False,False,False,False,True,small,0.023067859785925317,6,7,364,large,3.8161731224139204e-07,0.13380130972875018,max,0.5132252712188403,2,False,True,COMPLETE
19,1390.7130426719732,0.5520623907964191,False,False,True,False,True,False,False,False,False,True,large,0.09856828377578421,8,4,593,small,0.0022469160988352805,0.7940951293246568,None,0.6990154497396452,2,False,True,COMPLETE
