Parameter,Value
compute_air_density,True
compute_wind_power_density,True
encode_wind_direction,True
compute_wind_shear,True
compute_wind_ramp,False
compute_air_density_moiust_air_correction,True
dew_point_temperature,False
vapor_pressure,True
gust_factor,False
turbulence_window,0
lags_choice,none
precip_lags_choice,large
drop_raw_main_features,True
drop_raw_wind_features,False
spatial_agg_method,None
n_estimators,963
learning_rate,0.039695020049322446
max_depth,6
min_child_weight,3
subsample,0.5895977338342917
colsample_bytree,0.6159565071281865
reg_alpha,3.219891567898297e-07
reg_lambda,0.001184387504029448
use_base_models_pred_intervals,False
cv_folds_base,40
