number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_base_models_pred_intervals,params_use_solar_geometry,params_vapor_pressure,state
0,592.644389910769,large,0.5437293996744974,True,True,True,False,False,True,False,False,True,True,True,0.026766108682555974,10,75,0.15041255904594236,473,75,none,0.0021440130501911405,0.009049468494142099,none,None,0.6241110978282324,True,False,False,COMPLETE
1,594.3442150362588,small,0.629769211220087,True,True,True,True,True,True,False,True,True,False,True,0.013802482745811749,8,97,0.4820358153837257,725,63,none,1.182656958413376e-08,0.0027746936201363172,medium,distance_capacity,0.8806124734045968,False,False,False,COMPLETE
2,601.9352497481933,medium,0.8298490486966468,True,False,False,False,True,False,True,True,True,True,False,0.04006540377571302,11,69,0.23359328260000212,586,94,none,2.473773627285017e-06,0.0009678209930181437,none,capacity,0.6731924083468033,False,False,True,COMPLETE
3,605.3669610499506,small,0.8314622845107871,True,True,True,False,False,True,True,False,True,True,True,0.19199578870189019,8,54,0.17815838180789045,771,73,small,9.070682550233876e-08,0.00012717423885814862,none,mean,0.6535506656653105,False,False,True,COMPLETE
4,593.0993365059173,medium,0.7196250676115312,True,True,False,False,True,True,True,True,True,False,True,0.016639808803605903,4,5,0.40570595181334285,661,100,small,1.3417618458918932e-05,0.0005674412542114008,medium,mean,0.6891528625843759,True,True,True,COMPLETE
5,598.4137271606173,small,0.8813127571549989,False,False,True,True,True,False,True,True,True,True,False,0.12010103418141647,11,38,0.21784654712454232,883,78,large,2.6172789531753227e-08,8.915764188802643e-06,large,distance_capacity,0.6864034897525095,False,False,True,COMPLETE
6,604.2723184358521,large,0.8461051432410607,False,False,False,True,False,True,True,True,False,False,False,0.13871567074842148,7,59,0.42308376206342546,542,47,none,3.9985970374214824e-05,3.3594337451774766e-05,large,capacity,0.8617368413641469,True,True,True,COMPLETE
7,591.9819925752084,large,0.8490035414572196,True,False,False,True,False,True,True,False,True,False,True,0.015275601607831453,10,30,0.4540653386012246,309,46,large,0.0003589903437673859,0.2374348223402846,large,max,0.5301133929236967,False,False,True,COMPLETE
8,538.8470130018636,none,0.6720300417892343,True,True,True,True,True,False,True,True,False,False,True,0.027962942844265162,16,21,0.017815751033250782,907,141,large,2.1580478604189775e-07,1.2897729139486918e-07,small,mean,0.6763249729072501,False,True,False,COMPLETE
9,597.4072073338912,medium,0.6168998769497887,False,True,True,True,True,False,True,True,False,False,True,0.1832243118490482,12,64,0.1938965102968493,515,30,none,0.6497464017075362,0.0851510135263595,medium,capacity,0.8861815874412062,False,False,False,COMPLETE
10,565.7276941342236,none,0.9532539730439429,False,True,True,True,True,False,False,False,False,False,False,0.06922784180673343,16,8,0.03705926752323199,957,134,large,6.39725655744617e-07,1.9666821647383866e-08,small,distance_n_panels,0.8022182653844256,True,True,False,COMPLETE
11,575.9577450303691,none,0.9345202714829647,False,True,True,True,True,False,False,False,False,False,False,0.06942329569106867,16,7,0.0017168607789484688,994,149,large,9.008425384494927e-07,1.0016367495329612e-08,small,distance_n_panels,0.7888833652282401,True,True,False,COMPLETE
12,565.2920975572821,none,0.9792310473365056,False,True,True,True,True,False,False,False,False,False,False,0.072364322441777,16,24,0.014187489187975168,992,148,large,2.812470683083358e-07,1.1066299721364218e-08,small,n_panels,0.9932292103340065,True,True,False,COMPLETE
13,591.241580774962,none,0.7348963046007281,False,True,True,True,True,False,False,False,False,False,False,0.034336333550822065,14,27,0.10727337077135365,851,123,large,0.00858388277275253,3.5983568117338873e-07,small,n_panels,0.994323968826449,True,True,False,COMPLETE
14,583.0463158352833,none,0.994927036651785,True,True,True,True,True,False,False,True,False,False,True,0.05310699894940815,14,24,0.3227311156888423,875,117,large,1.5643004190434287e-07,7.546810843303891e-07,small,idw,0.9869804180328337,False,True,False,COMPLETE
15,581.6354033622106,none,0.6706025936427809,False,True,True,True,True,False,False,False,False,False,False,0.025077428058825155,14,42,0.09323158072826654,992,144,large,4.113865421675889e-06,1.714914581718686e-07,small,n_panels,0.581386064113423,True,True,False,COMPLETE
16,547.984681573953,none,0.5008183482052617,True,True,True,True,True,False,True,False,False,False,False,0.09359153104725064,16,15,0.06350041895136495,744,110,large,3.1529052774649667e-07,2.5024161935161316e-06,small,mean,0.7412515810539153,True,True,False,COMPLETE
17,567.2930103138702,none,0.5515336296635787,True,True,True,True,True,False,True,True,False,False,True,0.28759305637161425,13,17,0.07324038291734769,780,108,small,0.00012927211071946145,4.426850696164045e-06,small,mean,0.7393822685986353,False,True,False,COMPLETE
18,587.4312479038412,none,0.5047725054489594,True,False,False,False,False,False,True,False,False,True,True,0.09405890415843512,3,40,0.31553037768745257,683,124,large,5.72355328280738e-06,2.2153373971865935e-06,small,mean,0.7628334050119666,False,True,False,COMPLETE
19,573.6141808382375,none,0.5917904213295357,True,True,True,True,True,False,True,True,False,False,False,0.023757123306701104,6,17,0.13453895921464815,795,96,large,3.201484135732219e-08,8.34983969794319e-08,small,mean,0.5002534494424843,True,True,False,COMPLETE
