Parameter,Value
compute_cloud_cover_fraction,True
compute_clear_sky_fraction,True
use_solar_geometry,True
compute_air_density,True
compute_air_density_moist,False
compute_direct_ratio,False
compute_diffuse_ratio,True
compute_dni_ratio,True
compute_global_tilted_ratio,True
dew_point_temperature,False
vapor_pressure,True
precip_lags_option,none
cloud_lags_option,large
shortwave_lags_option,small
drop_raw_solar_features,True
drop_raw_features,True
spatial_agg_method,n_panels
n_estimators,300
learning_rate,0.01075369839869692
num_leaves,103
max_depth,3
min_child_samples,55
subsample,0.66724605711889
colsample_bytree,0.8244105233737677
reg_alpha,0.010694658647421354
reg_lambda,1.8179888963408877e-06
min_split_gain,0.4348821064832185
use_base_models_pred_intervals,False
cv_folds_base,40
