number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_base_models_pred_intervals,params_use_solar_geometry,params_vapor_pressure,state
0,388.01067029707065,small,0.5415808879145758,True,True,False,True,False,True,False,True,True,True,False,0.05952394301577781,5,16,0.22536810985930134,847,77,none,0.2739555218843326,0.5517240608581497,small,max,0.9022437096460814,False,False,False,COMPLETE
1,394.8986698148678,small,0.6479236827063019,False,True,False,False,False,True,False,False,False,True,False,0.0842838986124549,5,16,0.22597848891147115,616,133,small,7.5476458546702835e-06,0.005059414973599996,none,None,0.555928239047405,True,False,True,COMPLETE
2,375.50080890537816,none,0.8983978792330196,False,True,True,False,True,False,False,False,False,False,False,0.03315058233994175,13,34,0.11576441582476849,855,125,none,0.9537776160902025,0.0012665232217286388,medium,capacity,0.854138527788069,False,True,False,COMPLETE
3,371.107891763036,large,0.85004271208663,True,False,False,True,True,True,False,False,False,True,True,0.015459312463599727,3,52,0.3618352177453501,388,28,none,3.875269165663248e-06,1.17846629635288e-06,large,None,0.6741347897808747,True,True,True,COMPLETE
4,380.17611714861397,small,0.9774600449440455,True,False,False,False,True,True,False,False,False,False,False,0.17276533556004392,10,77,0.05154874808543791,479,51,large,4.448945709247979e-08,0.0005198398274841568,large,distance_capacity,0.5147059807712899,False,False,True,COMPLETE
5,390.64216920909763,small,0.9490280048948047,False,False,True,True,False,False,False,False,True,True,False,0.1866801628730787,5,27,0.07292572384735674,836,29,none,4.255064744431866e-05,0.014983849276696484,medium,distance_n_panels,0.9569202661853158,True,True,False,COMPLETE
6,374.6877099056483,medium,0.6810118093473354,True,True,False,False,True,True,False,False,True,False,False,0.03999766805817208,5,72,0.2446441453130026,558,133,small,3.126644281090201e-05,0.2444347345009264,none,idw,0.7582285688810224,False,False,False,COMPLETE
7,378.44524822685776,large,0.9437706619771236,False,False,True,False,True,True,True,True,True,False,True,0.20328760326694972,16,27,0.18307752158401186,431,81,large,0.0006204456557372878,0.013462832829251295,medium,distance_n_panels,0.5039071126213479,True,False,False,COMPLETE
8,371.7475183581536,large,0.7025319445765467,True,False,False,False,True,False,False,True,False,True,True,0.04836658746354476,11,98,0.07591345553963863,702,65,none,9.470155919282468e-08,0.019306988303317948,large,capacity,0.8929463743912187,False,True,True,COMPLETE
9,385.9390032852761,small,0.6907511197089247,True,True,False,False,False,True,False,False,True,True,True,0.29100657896589,14,36,0.0825197001125691,407,15,small,1.5012043096010341e-05,1.1659418639730106e-07,large,capacity,0.5560780340148015,False,False,True,COMPLETE
10,362.14074675961365,large,0.8260071722527438,True,False,True,True,True,False,True,True,False,True,True,0.010110388603991508,3,56,0.4517906997681254,342,105,none,0.007145304215321883,2.812912475746232e-06,small,n_panels,0.677812432467809,True,True,True,COMPLETE
11,361.1034342402067,large,0.8244105233737677,True,False,True,True,True,False,True,True,False,True,True,0.01075369839869692,3,55,0.4348821064832185,300,103,none,0.010694658647421354,1.8179888963408877e-06,small,n_panels,0.66724605711889,True,True,True,COMPLETE
12,374.283172402769,large,0.8054898047206601,True,False,True,True,True,False,True,True,False,True,True,0.01117071060798138,8,59,0.47915185798275045,332,102,none,0.0074658119822504495,9.168575066703391e-06,small,n_panels,0.6740112851225293,True,True,True,COMPLETE
13,365.6078246652899,large,0.7962147119647467,True,False,True,True,True,False,True,True,False,True,True,0.02122535810097909,3,53,0.48453020962398424,302,107,none,0.013380397925395008,1.0143846645260897e-08,small,n_panels,0.6572338099311403,True,True,True,COMPLETE
14,366.1756330724086,none,0.7655623023059217,True,False,True,True,True,False,True,True,False,True,True,0.010888465134825614,8,66,0.37331515207149507,521,104,large,0.02145762593161296,5.841509218639752e-05,small,n_panels,0.7700104699950765,True,True,True,COMPLETE
15,376.33606837108505,medium,0.8760795088933506,True,False,True,True,True,False,True,True,False,True,True,0.023691093912364698,7,89,0.3804860659586563,732,92,none,0.0007982939826012197,1.3898545139045512e-06,small,mean,0.6410443533304603,True,True,True,COMPLETE
16,367.2102521629963,large,0.5989363799748175,True,False,True,True,True,False,True,True,False,True,True,0.0174243992157837,3,43,0.42460873116779485,941,149,none,0.0750280971507318,1.960303426810078e-05,small,n_panels,0.7992920973147883,True,True,True,COMPLETE
17,374.47408084790254,large,0.8371290428180446,True,False,True,True,True,False,True,True,False,True,True,0.02843888386034564,7,80,0.3176579453418049,340,118,none,0.0010722021481532787,6.176812612576572e-07,small,n_panels,0.6044405937381077,True,True,True,COMPLETE
18,375.1256100353446,large,0.7678022014394809,False,False,True,True,False,False,True,True,False,False,True,0.010188000882082169,4,64,0.31156148545787743,474,58,large,0.003522120116504627,4.229170550808592e-08,small,max,0.6028649962384589,True,True,True,COMPLETE
19,370.1359132414082,none,0.895632299930533,True,False,True,True,True,False,True,True,False,True,True,0.014565962453352704,7,45,0.41822997934532735,594,84,small,0.00021024953097747518,8.221672733537247e-06,none,distance_capacity,0.7126722160836007,True,True,True,COMPLETE
