date,wind_onshore_rte_actual,wind_onshore_rte_fitted,wind_onshore_rte_lower,wind_onshore_rte_upper
2025-01-25 00:00:00+00:00,12640.5,14854.002,14496.204289452045,15211.799278645132
2025-01-25 01:00:00+00:00,13230.0,14774.433,14416.635642117684,15132.230631310771
2025-01-25 02:00:00+00:00,13191.75,15380.489,15022.692143633867,15738.287132826952
2025-01-25 03:00:00+00:00,12474.75,15878.963,15521.165798173752,16236.760787366837
2025-01-25 04:00:00+00:00,11389.25,15792.946,15435.148878608696,16150.743867801782
2025-01-25 05:00:00+00:00,10317.5,15788.915,15431.117386374797,16146.712375567884
2025-01-25 06:00:00+00:00,9629.75,15621.636,15263.838663248594,15979.433652441681
2025-01-25 07:00:00+00:00,8930.0,14593.269,14235.471451424182,14951.06644061727
2025-01-25 08:00:00+00:00,8107.0,14337.369,13979.572173389914,14695.167162582999
2025-01-25 09:00:00+00:00,7458.25,12584.875,12227.077916070148,12942.672905263234
2025-01-25 10:00:00+00:00,6136.5,5876.463,5518.665363887735,6234.260353080823
2025-01-25 11:00:00+00:00,5127.25,3973.3862,3615.588723914714,4331.183713107802
2025-01-25 12:00:00+00:00,4530.0,3555.0864,3197.288903275675,3912.883892468763
2025-01-25 13:00:00+00:00,4138.0,2021.9917,1664.19411186861,2379.7891010616977
2025-01-25 14:00:00+00:00,3997.5,1672.9133,1315.115933941432,2030.7109231345198
2025-01-25 15:00:00+00:00,4603.0,1719.998,1362.2006166598408,2077.7956058529285
2025-01-25 16:00:00+00:00,5845.25,1752.448,1394.6504272915204,2110.245416484608
2025-01-25 17:00:00+00:00,6895.75,3792.3286,3434.531181791457,4150.126170984545
2025-01-25 18:00:00+00:00,7871.75,4362.859,4005.06120465077,4720.656193843858
2025-01-25 19:00:00+00:00,8214.25,5826.2456,5468.447989592516,6184.042978785604
2025-01-25 20:00:00+00:00,8567.75,4391.2207,4033.4231689745016,4749.01815816759
2025-01-25 21:00:00+00:00,9093.0,9002.8545,8645.056962863866,9360.651952056953
2025-01-25 22:00:00+00:00,9099.25,8791.267,8433.468843676772,9149.063832869859
2025-01-25 23:00:00+00:00,9701.75,8287.802,7930.004520815639,8645.599510008728
2025-01-26 00:00:00+00:00,9865.25,10378.824,10021.026239450017,10736.621228643104
2025-01-26 01:00:00+00:00,9329.5,8267.085,7909.287154652362,8624.88214384545
2025-01-26 02:00:00+00:00,9091.5,7725.725,7367.92755397676,8083.522543169847
2025-01-26 03:00:00+00:00,8900.5,9478.531,9120.733383772405,9836.328372965494
2025-01-26 04:00:00+00:00,8590.0,4722.3213,4364.523901496077,5080.118890689165
2025-01-26 05:00:00+00:00,8248.25,4144.258,3786.460556360553,4502.0555455536405
2025-01-26 06:00:00+00:00,8853.75,3832.9333,3475.1359723001833,4190.730961493271
2025-01-26 07:00:00+00:00,9820.25,5074.956,4717.158335492119,5432.753324685206
2025-01-26 08:00:00+00:00,11229.5,6063.632,5705.834596235386,6421.429585428474
2025-01-26 09:00:00+00:00,12851.25,7793.809,7436.011648664053,8151.60663785714
2025-01-26 10:00:00+00:00,14064.75,8255.579,7897.781668918158,8613.376658111247
2025-01-26 11:00:00+00:00,14624.25,9202.993,8845.195785129592,9560.790774322679
2025-01-26 12:00:00+00:00,14369.5,8993.688,8635.891355574775,9351.486344767862
2025-01-26 13:00:00+00:00,14312.5,9556.497,9198.699217677091,9914.294206870178
2025-01-26 14:00:00+00:00,15725.5,7961.874,7604.076794821671,8319.67178401476
2025-01-26 15:00:00+00:00,15743.333333333334,14802.826,14445.028840810905,15160.623830003991
2025-01-26 16:00:00+00:00,15761.166666666666,16590.543,16232.745330892154,16948.34032008524
2025-01-26 17:00:00+00:00,15779.0,15551.77,15193.972391627121,15909.567380820208
2025-01-26 18:00:00+00:00,15796.833333333334,15888.268,15530.470665579362,16246.065654772448
2025-01-26 19:00:00+00:00,15814.666666666666,15392.033,15034.235749621483,15749.83073881457
2025-01-26 20:00:00+00:00,15832.5,15434.924,15077.126984116056,15792.721973309142
2025-01-26 21:00:00+00:00,15850.333333333334,15059.492,14701.69493087917,15417.289920072255
2025-01-26 22:00:00+00:00,15868.166666666666,15593.089,15235.291220755433,15950.88620994852
2025-01-26 23:00:00+00:00,15886.0,15460.039,15102.242281712235,15817.83727090532
2025-01-27 00:00:00+00:00,15903.833333333334,14942.923,14585.125399421713,15300.7203886148
2025-01-27 01:00:00+00:00,15921.666666666666,15610.085,15252.288006115838,15967.882995308924
2025-01-27 02:00:00+00:00,15939.5,15716.846,15359.04851329016,16074.643502483246
2025-01-27 03:00:00+00:00,15957.333333333334,15525.752,15167.954547452999,15883.549536646085
2025-01-27 04:00:00+00:00,15975.166666666666,15254.171,14896.37352262697,15611.968511820056
2025-01-27 05:00:00+00:00,15993.0,14634.068,14276.27113999155,14991.866129184637
2025-01-27 06:00:00+00:00,15663.0,14828.476,14470.678262651452,15186.27325184454
