number,value,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,params_use_base_models_pred_intervals,state
0,294.5550462325146,0.9660952240039498,0.025020755755125735,4,8,380,0.0009440808341342795,2.6568884950853994e-06,0.8445466897755999,True,COMPLETE
1,451.82068600625854,0.9013636427314253,0.03787306100254893,4,2,710,1.326505598182571e-06,0.000698942866660623,0.9586202284219159,False,COMPLETE
2,270.3028360833968,0.6701339073931867,0.012403732836961954,8,3,712,1.4358634759021943e-08,0.08740384159284846,0.7071442580261893,True,COMPLETE
3,654.3192928242688,0.814596400718182,0.14713333171729617,6,6,592,0.01814881324261477,0.8137402456168351,0.8531943759840044,False,COMPLETE
4,281.2540253982718,0.5813711193334743,0.014915490147221025,7,9,705,0.010032059144433525,1.0771151952067403e-08,0.8246401889648278,True,COMPLETE
5,296.46136646951027,0.7632436338455828,0.08486710684476173,6,8,856,0.000562242510829718,5.964032738928746e-06,0.6897188511794659,True,COMPLETE
6,322.1928051956709,0.8273199075003579,0.21035781050092525,7,5,675,3.601439908496012e-07,0.028775491532034278,0.8882942644273242,True,COMPLETE
7,2324.9713102339388,0.7376889871104775,0.05186747479760454,9,10,924,2.2654247182313664e-07,0.21625683414877514,0.9062064523411092,False,COMPLETE
8,578.1846882880321,0.5264040255288243,0.06209919703957805,7,1,712,0.013620732674681361,0.008926920303164302,0.6191026960111257,False,COMPLETE
9,338.065512604456,0.5519313059428808,0.06449870359209613,9,1,722,5.554524392780275e-08,5.0956195166049376e-05,0.728648985606074,False,COMPLETE
10,280.33491744124814,0.6504132458986046,0.011561455512967672,10,4,455,1.4000489574740626e-05,0.0016012747285114616,0.5479130561201924,True,COMPLETE
11,286.82814785115664,0.6576143460768774,0.010022334862784962,10,4,446,1.55597223214616e-05,0.0035925270894243567,0.5149000788431661,True,COMPLETE
12,270.6220079921242,0.648311886836594,0.019241592435999186,10,3,531,0.7034172437337033,0.0001505778748108977,0.5032095224283852,True,COMPLETE
13,271.7913012856125,0.6576113808646671,0.021068798228558137,9,3,594,0.9928534905159121,1.4279576700465705e-07,0.6264010638594784,True,COMPLETE
14,271.43974887730496,0.715715331680947,0.021999740957645113,8,6,529,1.3864461244147965e-08,6.861184693365748e-05,0.7721845328021303,True,COMPLETE
15,270.88929488548223,0.6021322237573856,0.032993416591091465,8,3,304,0.4769119816716806,0.061248847310445095,0.6082604449379355,True,COMPLETE
16,274.5860419337591,0.6985253385708481,0.01607657017165658,10,3,822,1.2873035139303114e-05,3.977465597737501e-06,0.6789582244865492,True,COMPLETE
17,283.4938052293198,0.6158166168576876,0.016124338503392767,5,5,997,0.15164856571321664,0.000209113353517826,0.5017536236590443,True,COMPLETE
18,274.1982547824755,0.5026698481553138,0.028962835833423527,8,4,815,0.0003523438332358571,4.212665701392328e-07,0.9970946683327835,True,COMPLETE
19,333.3822056534005,0.7970133208025539,0.012784931845432354,3,2,591,2.9319827168372565e-06,0.01519932170816937,0.5696952564538132,True,COMPLETE
20,284.1577623229166,0.8669875255550904,0.042010065759766464,9,2,506,9.102917555784764e-05,0.7362155825232168,0.675568021275764,True,COMPLETE
21,276.42220779058334,0.5989869011816509,0.019043288999191436,8,3,337,0.9571647223216301,0.0621284813289906,0.5948537212183844,True,COMPLETE
22,268.51953008577067,0.6875275704705335,0.030739712948453787,8,3,332,0.12516420888326527,0.15357459461093045,0.6420295339091361,True,COMPLETE
23,294.1420233778986,0.6890454686707141,0.027417832912674477,9,1,424,0.07944035515415433,0.10213012759266078,0.7736442894365824,True,COMPLETE
24,309.66258868656735,0.7634854681019031,0.09726739764394168,10,5,521,0.004405317914893812,0.0005037002340205944,0.7213215581753469,True,COMPLETE
