date,wind_onshore_rte_actual,wind_onshore_rte_fitted,wind_onshore_rte_lower,wind_onshore_rte_upper
2025-03-22 00:00:00+00:00,,8373.778490070958,7127.705861235974,9619.851118905939
2025-03-22 01:00:00+00:00,,8595.74272791963,7349.670099084648,9841.815356754614
2025-03-22 02:00:00+00:00,,10332.035772810805,9085.963143975823,11578.108401645786
2025-03-22 03:00:00+00:00,,10119.71103259422,8873.638403759236,11365.783661429203
2025-03-22 04:00:00+00:00,,9683.782662129666,8437.710033294683,10929.855290964648
2025-03-22 05:00:00+00:00,,9891.641309796336,8645.568680961354,11137.713938631321
2025-03-22 06:00:00+00:00,,9630.37591422244,8384.30328538746,10876.448543057424
2025-03-22 07:00:00+00:00,,8027.424152284544,6781.351523449561,9273.496781119527
2025-03-22 08:00:00+00:00,,7338.864448096304,6092.791819261321,8584.937076931286
2025-03-22 09:00:00+00:00,,5927.840387573392,4681.76775873841,7173.913016408375
2025-03-22 10:00:00+00:00,,6413.343615838186,5167.270987003204,7659.41624467317
2025-03-22 11:00:00+00:00,,5527.64368422105,4281.571055386066,6773.716313056033
2025-03-22 12:00:00+00:00,,6692.455019557246,5446.382390722263,7938.527648392229
2025-03-22 13:00:00+00:00,,5976.756387777852,4730.68375894287,7222.829016612835
2025-03-22 14:00:00+00:00,,7572.968824438326,6326.896195603344,8819.041453273308
2025-03-22 15:00:00+00:00,,7331.73727149012,6085.664642655138,8577.809900325105
2025-03-22 16:00:00+00:00,,6439.1229040006765,5193.050275165694,7685.19553283566
2025-03-22 17:00:00+00:00,,8329.182990935467,7083.110362100483,9575.255619770449
2025-03-22 18:00:00+00:00,,11037.25310619168,9791.180477356696,12283.325735026661
2025-03-22 19:00:00+00:00,,8829.656730714849,7583.584101879866,10075.729359549832
2025-03-22 20:00:00+00:00,,5658.684402361829,4412.611773526846,6904.757031196812
2025-03-22 21:00:00+00:00,,4980.261491359933,3734.1888625249494,6226.334120194915
2025-03-22 22:00:00+00:00,,4247.161524089948,3001.088895254965,5493.234152924932
2025-03-22 23:00:00+00:00,,2598.454979053785,1352.3823502188015,3844.5276078887678
2025-03-23 00:00:00+00:00,,2971.6048423270386,1725.5322134920552,4217.677471162021
2025-03-23 01:00:00+00:00,,2410.9398654901356,1164.8672366551532,3657.0124943251185
2025-03-23 02:00:00+00:00,,3743.7938854472177,2497.721256612235,4989.866514282201
2025-03-23 03:00:00+00:00,,4335.768118642208,3089.6954898072245,5581.840747477191
2025-03-23 04:00:00+00:00,,4758.522221597091,3512.4495927621074,6004.594850432073
2025-03-23 05:00:00+00:00,,4877.471968879838,3631.3993400448544,6123.54459771482
2025-03-23 06:00:00+00:00,,3834.8814674669175,2588.8088386319346,5080.9540963019
2025-03-23 07:00:00+00:00,,4246.9919749689325,3000.9193461339496,5493.064603803916
2025-03-23 08:00:00+00:00,,3286.303208262175,2040.230579427192,4532.375837097158
2025-03-23 09:00:00+00:00,,4914.910533383741,3668.8379045487573,6160.983162218723
2025-03-23 10:00:00+00:00,,8645.793461973233,7399.720833138251,9891.866090808217
2025-03-23 11:00:00+00:00,,7308.379314928838,6062.306686093854,8554.45194376382
2025-03-23 12:00:00+00:00,,3881.2317263156656,2635.1590974806822,5127.304355150648
2025-03-23 13:00:00+00:00,,3526.549748780703,2280.47711994572,4772.622377615686
2025-03-23 14:00:00+00:00,,4464.149910927361,3218.0772820923776,5710.222539762343
2025-03-23 15:00:00+00:00,,3719.8894657881165,2473.8168369531336,4965.9620946231
2025-03-23 16:00:00+00:00,,2992.191331333477,1746.1187024984938,4238.2639601684605
2025-03-23 17:00:00+00:00,,2444.8881728316887,1198.8155439967054,3690.9608016666716
2025-03-23 18:00:00+00:00,,2229.8291850320893,983.7565561971064,3475.9018138670726
2025-03-23 19:00:00+00:00,,2017.960452063177,771.887823228195,3264.0330808981603
2025-03-23 20:00:00+00:00,,1514.3577187605265,268.2850899255427,2760.4303475955094
2025-03-23 21:00:00+00:00,,1372.5565220637118,126.48389322872845,2618.6291508986947
2025-03-23 22:00:00+00:00,,1488.3405867681709,242.26795793318797,2734.413215603154
2025-03-23 23:00:00+00:00,,1260.0110587895006,13.938429954517233,2506.083687624484
2025-03-24 00:00:00+00:00,,1485.4894014716274,239.41677263664405,2731.5620303066103
2025-03-24 01:00:00+00:00,,1514.390823948468,268.3181951134857,2760.463452783451
2025-03-24 02:00:00+00:00,,1271.3661030822946,25.29347424731168,2517.4387319172774
2025-03-24 03:00:00+00:00,,1727.785325069182,481.71269623419903,2973.857953904165
2025-03-24 04:00:00+00:00,,1585.5334724260465,339.46084359106317,2831.60610126103
2025-03-24 05:00:00+00:00,,1458.4573418861264,212.384713051144,2704.5299707211097
2025-03-24 06:00:00+00:00,,1319.1560425570042,73.08341372202085,2565.2286713919875
2025-03-24 07:00:00+00:00,,993.1613450742352,-252.9112837607472,2239.233973909218
2025-03-24 08:00:00+00:00,,943.7492218138345,-302.32340702114925,2189.8218506488174
2025-03-24 09:00:00+00:00,,717.1908860671401,-528.8817427678432,1963.2635149021226
2025-03-24 10:00:00+00:00,,951.9281407284275,-294.1444881065554,2198.000769563411
2025-03-24 11:00:00+00:00,,1021.4877355782019,-224.58489325678056,2267.5603644131847
2025-03-24 12:00:00+00:00,,1630.7031937968081,384.63056496182526,2876.775822631791
2025-03-24 13:00:00+00:00,,2878.7276717600685,1632.6550429250856,4124.800300595051
2025-03-24 14:00:00+00:00,,2874.3585623321374,1628.285933497154,4120.43119116712
