number,value,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.25162902426251327,0.5922910812838738,0.0827344177168422,15,69,0.06626478920698237,701,10,0.044403619610506775,0.043385589292276254,0.8589100240174925,COMPLETE
1,0.2510552610231752,0.9846418785452222,0.010278791936910578,9,81,0.2883486540870708,998,60,0.0025602269858551355,0.2829740150480225,0.8227880574693642,COMPLETE
2,0.2659255203234169,0.740699029799758,0.1526633591165359,10,87,0.051637701069062125,748,128,0.10161030602521265,0.4678556827578497,0.6236094531249019,COMPLETE
3,0.25125623922046103,0.7187845093476695,0.013745251024939372,10,54,0.3539162074593438,869,58,0.005938279159313006,4.064038730753581e-07,0.5413126718161752,COMPLETE
4,0.2530458923945702,0.8467872740068922,0.05093274937846749,4,31,0.2474371502427355,389,95,8.929365417441211e-07,1.2686674067758668e-07,0.961740381461371,COMPLETE
5,0.2523810000664787,0.6067737248631591,0.029674161130562236,15,33,0.1738665744426094,548,71,1.692455543215862e-07,0.17550819752310873,0.7577151693128131,COMPLETE
6,0.2663957090350265,0.5814747986472572,0.25378404214551153,10,18,0.11621838294773923,794,139,0.0015971062352673592,1.2231447874031342e-08,0.7153298771879606,COMPLETE
7,0.24958141897616776,0.5059732870546896,0.011905999334418084,3,18,0.43723048595159836,561,26,0.00019639510512257393,0.1455020666421551,0.9801482507758916,COMPLETE
8,0.2540727305859874,0.65617666271876,0.015250767653073257,10,7,0.4335870314231864,764,103,0.29882369392861863,0.00038658659181554537,0.5669565587214804,COMPLETE
9,0.25194534474377706,0.9939020901291507,0.031598274024501105,15,63,0.25921106957574885,332,86,6.52136751355323e-08,1.6287589787296982e-07,0.759357883623687,COMPLETE
10,0.24375648179661855,0.503151415784615,0.02324706589313148,3,40,0.49959840171652453,537,15,8.865749069706468e-06,0.0017511053451230508,0.9928212126381362,COMPLETE
11,0.24360042740206506,0.5030281782151149,0.02454986576839762,3,38,0.48120558602585023,529,12,1.384334011299856e-05,0.001864259610273125,0.9919847935778682,COMPLETE
12,0.25189663767100656,0.5274245897603306,0.025187686534365337,6,43,0.4927157763794167,471,35,7.167602783552701e-06,0.0009124949048655789,0.8998122615037429,COMPLETE
13,0.24605745399266382,0.8667906066786593,0.06551964006663505,6,43,0.4966153998371648,593,11,1.095714007443572e-05,0.003500052797621206,0.9931549769236672,COMPLETE
14,0.24982938179701325,0.5033410177832591,0.020628202537305813,5,46,0.37242284528876546,444,37,4.1602998484742884e-05,1.5326519920701813e-05,0.9117849609540447,COMPLETE
15,0.252177273430239,0.6782760721846337,0.04555869188905225,7,27,0.3897848523410282,636,38,1.442269736121768e-06,3.033432242684464e-05,0.9165525177144508,COMPLETE
16,0.25188354250768336,0.5701549723072297,0.01975665305853701,8,59,0.32598444431816237,461,52,1.589876734836302e-08,0.011376733102105996,0.8233997849586505,COMPLETE
17,0.24156231726803046,0.8175405861628819,0.037038356550937054,3,71,0.444190628615374,513,21,0.0001128516532503427,9.316246218747589e-05,0.6394354374890167,COMPLETE
18,0.24911300513314394,0.8044475587613469,0.0390078677675646,12,74,0.4283841092776203,335,27,0.0002202343085601922,2.7578417091564958e-06,0.6494414539254035,COMPLETE
19,0.25650445083626855,0.8933189417433429,0.09622040817501362,5,99,0.16551500356358784,644,115,0.0006426662231391701,0.0002480819713946825,0.6753500487285681,COMPLETE
