number,value,params_alpha,params_l1_ratio,state
0,0.5096317698955465,0.6448626380873175,0.7060759408414885,COMPLETE
1,0.46417628543189093,0.23558126006044436,0.7369648575113008,COMPLETE
2,0.46179949771154827,0.4266162753231316,0.2948004518440254,COMPLETE
3,0.4729806797062472,0.8994447115735748,0.22975802208037477,COMPLETE
4,0.4827957039349371,0.8181313819276714,0.35698445343771346,COMPLETE
5,0.43676444207753773,0.012389727327155826,0.7988065330692972,COMPLETE
6,0.46742582367486885,0.34914239608113984,0.5696336048400826,COMPLETE
7,0.4604999376839608,0.23334507127170334,0.49778016578855155,COMPLETE
8,0.5353471321284333,0.967962406276345,0.6719714741742356,COMPLETE
9,0.5180009263220751,0.9892369427915432,0.5064555130930253,COMPLETE
10,0.44795756564970834,0.047508213783401,0.9509621965380104,COMPLETE
11,0.439471103593196,0.01628918020219056,0.9770020022081578,COMPLETE
12,0.44811072794404283,0.04641129633072694,0.994724193861198,COMPLETE
13,0.4281747551799059,0.012078409002824697,0.02908789371912568,COMPLETE
14,0.4406023948353617,0.21116165668901304,0.02133091968801437,COMPLETE
15,0.44792949396758536,0.6151076574127866,0.02154002515082767,COMPLETE
16,0.45994439437630125,0.1366259730599467,0.8517930922130879,COMPLETE
17,0.45210651609530894,0.36728081155643705,0.1346000673680658,COMPLETE
18,0.45035390677013465,0.1283369010122961,0.39309612904503205,COMPLETE
19,0.5007439605774285,0.5098516919087387,0.8058938039391925,COMPLETE
20,0.4438390951085923,0.1323130976732183,0.161699116469676,COMPLETE
21,0.438522729345259,0.014562694393905895,0.8889891763283472,COMPLETE
22,0.4400370221624702,0.020128706965182014,0.8497316446976917,COMPLETE
23,0.45992465750934314,0.1687703149955259,0.6492895923157744,COMPLETE
24,0.47038744420083056,0.2915128230551349,0.8057607684629693,COMPLETE
25,0.45235595094643377,0.07162057216058251,0.9051014503904167,COMPLETE
26,0.45116030995803635,0.09504996481429993,0.6028914175356491,COMPLETE
27,0.4694766330685622,0.29584420291604674,0.7604909802286928,COMPLETE
28,0.45775177198503025,0.20003103962829816,0.4412248022999605,COMPLETE
29,0.5141791847266621,0.696697601363357,0.6961577869377719,COMPLETE
30,0.5056177971964673,0.4779345722045984,0.9132722045843864,COMPLETE
31,0.4405695354482704,0.020310913609257998,0.9671671996300409,COMPLETE
32,0.45623935444883035,0.09163182345444523,0.8813889640404892,COMPLETE
33,0.43910977468693385,0.01885460460382102,0.7460838106494879,COMPLETE
34,0.46037468424900974,0.16421306581671408,0.7379143324928207,COMPLETE
35,0.45254591572738806,0.08192674876208744,0.790960388521819,COMPLETE
36,0.4644130666476081,0.2690054370088202,0.6420792892944446,COMPLETE
37,0.4443220066972025,0.09840374872905573,0.27134871537130656,COMPLETE
38,0.4674720192408623,0.3547628974906535,0.5603961566136311,COMPLETE
39,0.529027015067788,0.8026659903240592,0.7352509463253213,COMPLETE
40,0.4522262821187938,0.18001647453031835,0.3296081455699368,COMPLETE
41,0.43862228703688455,0.014251848635228243,0.93495792778047,COMPLETE
42,0.4362029138079636,0.011237059281575977,0.8335858549874857,COMPLETE
43,0.4506409270273035,0.06234790260993896,0.9383597145372172,COMPLETE
44,0.4355390140134246,0.010242981172854743,0.8606890037932854,COMPLETE
45,0.466886760213074,0.2399070548641671,0.8622085086907574,COMPLETE
46,0.45895866519093287,0.11603090248111009,0.8216043892680875,COMPLETE
47,0.43630772742031154,0.06223020879354267,0.08323949080085008,COMPLETE
48,0.4372225626190076,0.06406668112336916,0.09956787654015732,COMPLETE
49,0.44273803133446255,0.1592585012887816,0.0905800475081603,COMPLETE
