Parameter,Value
compute_air_density,True
compute_wind_power_density,False
encode_wind_direction,False
compute_wind_shear,True
compute_wind_ramp,False
compute_air_density_moiust_air_correction,True
dew_point_temperature,False
vapor_pressure,True
gust_factor,False
turbulence_window,2
lags_choice,small
precip_lags_choice,large
drop_raw_main_features,False
drop_raw_wind_features,False
spatial_agg_method,None
lags_target,
n_estimators,320
learning_rate,0.08364448204863144
num_leaves,92
max_depth,10
min_child_samples,87
subsample,0.5017159802348328
colsample_bytree,0.8874146714518951
reg_alpha,0.0004844143851109234
reg_lambda,0.00043763295110292247
min_split_gain,0.3151617306976931
