number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_turbulence_intensity,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_features,params_encode_wind_direction,params_gust_factor,params_lags_option,params_lags_target,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_vapor_pressure,state
0,2446.9043696040276,0.5872781156382245,False,False,True,True,False,False,False,True,True,False,large,6.0,0.10155537472283051,7,2,817,none,0.0004898890110508986,0.0012452301649355558,None,0.7553894315700317,2.0,False,COMPLETE
1,1964.0794323704456,0.7311855631966351,False,False,False,True,False,True,False,False,True,False,large,12.0,0.049127386856834064,6,5,577,large,0.05429963700173148,3.492520663401905e-08,mean,0.6930499647767069,,False,COMPLETE
2,1502.662077469496,0.5448773422388273,True,False,False,True,True,True,True,True,True,False,small,6.0,0.08414068888110056,3,2,631,large,0.00011652366740930936,0.001094913434115479,max,0.5079235601830536,,True,COMPLETE
3,1631.1281253580353,0.6523367995795109,False,True,True,True,False,False,False,False,True,False,large,1.0,0.016406378856524795,7,8,529,none,6.350058513151769e-05,0.0001490686022323248,distance_capacity,0.7147257600520656,2.0,True,COMPLETE
4,1272.0907443316044,0.712195581863249,True,True,False,False,True,False,True,False,True,False,large,,0.17843946843269495,7,9,346,large,0.00016687957993894134,0.0004117331006987398,mean,0.7271696851126948,,False,COMPLETE
5,1551.1527637506877,0.5294165529603465,True,False,True,True,True,False,True,False,False,False,small,6.0,0.015831425535350975,6,6,871,small,5.426172500851116e-07,0.0003779299450697336,distance_n_turbines,0.9610398888608376,5.0,False,COMPLETE
6,1863.0601948280275,0.8784070585257409,False,False,False,False,True,True,True,False,False,False,none,6.0,0.24445514444026042,7,6,886,large,3.446224473875721e-06,1.464302027708967e-06,mean,0.5123333378843116,,False,COMPLETE
7,1265.7283650198954,0.7865029261105518,True,True,True,True,False,False,False,True,True,True,small,,0.18981482625375504,7,3,828,small,2.0172633406076726e-06,0.001507920560546771,None,0.616635086831158,2.0,False,COMPLETE
8,1774.8331708406513,0.6049337976479512,True,False,False,False,True,False,False,False,True,True,none,6.0,0.172953982537797,7,8,924,small,0.020476390061385793,8.367984965671767e-08,idw,0.7780945896665443,,True,COMPLETE
9,1786.4164066000078,0.971096839244767,False,True,False,False,True,True,False,True,True,True,large,12.0,0.018732543841213294,8,2,731,small,0.6349390066527477,1.620269620171508e-05,idw,0.5204531979522284,,True,COMPLETE
10,1186.9841432732683,0.8386462668606813,True,True,True,True,False,False,False,True,False,True,small,,0.036367522154241584,10,4,994,small,1.7801396273175397e-08,0.6030641243755006,None,0.6135884115464767,3.0,False,COMPLETE
11,1175.9508041274298,0.8469454996843991,True,True,True,True,False,False,False,True,False,True,small,,0.04014993807283991,10,4,985,small,1.2698484339466934e-08,0.5857800138896444,None,0.625178179894243,3.0,False,COMPLETE
12,1158.3478027448764,0.8355722195080957,True,True,True,True,False,False,False,True,False,True,small,,0.03686342178540609,10,4,950,small,1.7352603563377984e-08,0.374807870676858,capacity,0.6203267299681312,4.0,False,COMPLETE
13,1141.3475437276845,0.9260297013142358,True,True,True,True,False,False,False,True,False,True,small,,0.02933877556840112,10,4,985,small,1.0166504548201277e-08,0.7033298212741427,capacity,0.6216441982230386,4.0,False,COMPLETE
14,1171.6733352173533,0.9976387617588877,True,True,True,True,False,False,False,True,False,True,small,,0.02734129450651627,9,1,744,small,1.5233544214345105e-07,0.034650942074527964,capacity,0.8424965172202836,5.0,False,COMPLETE
15,1864.3932337985852,0.9097467228814954,True,True,True,True,False,False,False,True,False,True,small,1.0,0.07347218005864999,9,5,441,small,1.024502365273745e-07,0.03012070420409269,capacity,0.5902507350261093,4.0,False,COMPLETE
16,1262.857775354358,0.9317408677162988,True,True,True,True,False,False,False,True,False,True,small,,0.010485325279193283,4,7,747,none,8.77545814080552e-06,0.04159133459387527,capacity,0.666134609736004,6.0,False,COMPLETE
17,1175.2846408310859,0.7747708763729804,True,True,True,True,False,False,False,True,False,True,none,,0.02663971321879461,9,4,939,small,5.563433588010538e-08,0.1408434123850245,capacity,0.5727263878963937,4.0,False,COMPLETE
18,1155.6477361470224,0.8201660439208507,True,True,True,False,False,True,True,True,False,True,small,,0.05839663513709264,10,10,810,small,3.5297177077401016e-07,0.005554904678167656,capacity,0.8254764676610186,4.0,True,COMPLETE
19,1871.2146205076158,0.9394862531115483,True,True,True,False,False,True,True,True,False,True,small,1.0,0.11061058441095674,5,9,692,none,4.858069461382307e-07,0.006726007858636992,max,0.8587245367054053,5.0,True,COMPLETE
