date,load_tran_actual,load_tran_fitted,load_tran_lower,load_tran_upper
2025-12-10 00:00:00+00:00,,6095.9717,5984.381636183846,6207.561586878855
2025-12-10 01:00:00+00:00,,5813.9546,5702.36478750953,5925.5447382045395
2025-12-10 02:00:00+00:00,,5827.2744,5715.684321112363,5938.8642718073725
2025-12-10 03:00:00+00:00,,6026.4717,5914.881800673548,6138.061751368557
2025-12-10 04:00:00+00:00,,6869.231,6757.640796174669,6980.820746869678
2025-12-10 05:00:00+00:00,,7694.0264,7582.436297243014,7805.616247938024
2025-12-10 06:00:00+00:00,,8390.541,8278.95088818025,8502.130838875259
2025-12-10 07:00:00+00:00,,8744.463,8632.872655147348,8856.052605842358
2025-12-10 08:00:00+00:00,,8824.54,8712.950198448902,8936.130149143912
2025-12-10 09:00:00+00:00,,8871.552,8759.962176428868,8983.142127123878
2025-12-10 10:00:00+00:00,,8857.272,8745.6819947525,8968.86194544751
2025-12-10 11:00:00+00:00,,8856.825,8745.234873425452,8968.414824120462
2025-12-10 12:00:00+00:00,,8821.116,8709.526516862163,8932.706467557171
2025-12-10 13:00:00+00:00,,8734.773,8623.183836790198,8846.363787485207
2025-12-10 14:00:00+00:00,,8723.01,8611.419668510616,8834.599619205626
2025-12-10 15:00:00+00:00,,8707.231,8595.640925123147,8818.820875818155
2025-12-10 16:00:00+00:00,,8792.547,8680.956806617374,8904.136757312384
2025-12-10 17:00:00+00:00,,8672.08,8560.48964332613,8783.66959402114
2025-12-10 18:00:00+00:00,,8454.701,8343.111354091969,8566.291304786979
2025-12-10 19:00:00+00:00,,8065.954,7954.364256945215,8177.544207640224
2025-12-10 20:00:00+00:00,,7708.307,7596.716988749858,7819.896939444867
2025-12-10 21:00:00+00:00,,7224.3525,7112.76274656706,7335.9426972620695
2025-12-10 22:00:00+00:00,,6710.461,6598.870950838009,6822.050901533018
2025-12-10 23:00:00+00:00,,6156.306,6044.716334207118,6267.896284902127
2025-12-11 00:00:00+00:00,,5785.869,5674.279331244759,5897.459281939769
2025-12-11 01:00:00+00:00,,5646.7812,5535.191289608403,5758.371240303412
2025-12-11 02:00:00+00:00,,5731.8687,5620.2785971060985,5843.458547801108
2025-12-11 03:00:00+00:00,,5930.1343,5818.544361473236,6041.724312168245
2025-12-11 04:00:00+00:00,,6769.2466,6657.656624554568,6880.836575249577
2025-12-11 05:00:00+00:00,,7697.794,7586.204199372489,7809.384150067497
2025-12-11 06:00:00+00:00,,8388.699,8277.109720389586,8500.289671084594
2025-12-11 07:00:00+00:00,,8711.717,8600.126753533927,8823.306704228937
2025-12-11 08:00:00+00:00,,8750.057,8638.467024955444,8861.646975650452
2025-12-11 09:00:00+00:00,,8698.103,8586.512750345597,8809.692701040607
2025-12-11 10:00:00+00:00,,8676.063,8564.473288718502,8787.653239413512
2025-12-11 11:00:00+00:00,,8561.884,8450.293864682084,8673.473815377094
2025-12-11 12:00:00+00:00,,8471.003,8359.412673716868,8582.592624411876
2025-12-11 13:00:00+00:00,,8257.288,8145.69768639295,8368.87763708796
2025-12-11 14:00:00+00:00,,8159.518,8047.92817587272,8271.10812656773
2025-12-11 15:00:00+00:00,,8245.027,8133.437792947654,8356.617743642662
2025-12-11 16:00:00+00:00,,8401.796,8290.20607570175,8513.38602639676
2025-12-11 17:00:00+00:00,,8317.377,8205.786816070504,8428.966766765514
2025-12-11 18:00:00+00:00,,8131.0312,8019.441228108462,8242.62117880347
2025-12-11 19:00:00+00:00,,7778.506,7666.915886813866,7890.095837508876
2025-12-11 20:00:00+00:00,,7396.743,7285.15329723851,7508.333247933519
2025-12-11 21:00:00+00:00,,6946.337,6834.747047464778,7057.926998159787
2025-12-11 22:00:00+00:00,,6456.623,6345.033011416776,6568.212962111786
2025-12-11 23:00:00+00:00,,6031.5596,5919.969696390067,6143.149647085076
2025-12-12 00:00:00+00:00,,5684.366,5572.77599226517,5795.9559429601795
2025-12-12 01:00:00+00:00,,5555.8447,5444.254612093098,5667.4345627881075
2025-12-12 02:00:00+00:00,,5634.1606,5522.570691101662,5745.7506417966715
2025-12-12 03:00:00+00:00,,5936.311,5824.721042656141,6047.900993351151
2025-12-12 04:00:00+00:00,,6728.455,6616.864918263166,6840.044868958175
2025-12-12 05:00:00+00:00,,7496.9565,7385.3664252280005,7608.54637592301
2025-12-12 06:00:00+00:00,,8257.975,8146.38425810001,8369.56420879502
2025-12-12 07:00:00+00:00,,8680.645,8569.0546253717,8792.234576066709
2025-12-12 08:00:00+00:00,,8788.927,8677.336670354061,8900.516621049072
2025-12-12 09:00:00+00:00,,8722.17,8610.580317604386,8833.760268299397
2025-12-12 10:00:00+00:00,,8607.387,8495.796574510963,8718.976525205971
2025-12-12 11:00:00+00:00,,8470.109,8358.519110836738,8581.699061531748
2025-12-12 12:00:00+00:00,,8267.511,8155.920467201484,8379.100417896492
2025-12-12 13:00:00+00:00,,8020.414,7908.824329491622,8132.004280186631
2025-12-12 14:00:00+00:00,,7886.5547,7774.964939268906,7998.144889963915
2025-12-12 15:00:00+00:00,,7978.7656,7867.175428227347,8090.355378922355
2025-12-12 16:00:00+00:00,,8192.1875,8080.597942801795,8303.777893496805
2025-12-12 17:00:00+00:00,,8128.219,8016.629173148879,8239.809123843888
2025-12-12 18:00:00+00:00,,7833.429,7721.839329141509,7945.019279836517
2025-12-12 19:00:00+00:00,,7323.3325,7211.742467178603,7434.922417873612
2025-12-12 20:00:00+00:00,,6890.0464,6778.4561548299935,7001.636105525003
2025-12-12 21:00:00+00:00,,6390.986,6279.3958905722,6502.575841267209
2025-12-12 22:00:00+00:00,,5956.945,5845.354731718682,6068.534682413691
2025-12-12 23:00:00+00:00,,5504.421,5392.830816093051,5616.01076678806
2025-12-13 00:00:00+00:00,,5236.3613,5124.771383918212,5347.951334613223
2025-12-13 01:00:00+00:00,,5166.1504,5054.560249922792,5277.740200617801
2025-12-13 02:00:00+00:00,,5282.296,5170.706090103366,5393.886040798374
2025-12-13 03:00:00+00:00,,5538.027,5426.436886690454,5649.616837385463
2025-12-13 04:00:00+00:00,,5876.6514,5765.0612327248655,5988.241183419875
2025-12-13 05:00:00+00:00,,6103.5693,5991.979257387954,6215.159208082963
2025-12-13 06:00:00+00:00,,6479.246,6367.656085548542,6590.8360362435515
2025-12-13 07:00:00+00:00,,6905.2114,6793.621572155389,7016.801522850398
2025-12-13 08:00:00+00:00,,7254.802,7143.211904374051,7366.3918550690605
2025-12-13 09:00:00+00:00,,7540.2964,7428.706519151387,7651.886469846396
2025-12-13 10:00:00+00:00,,7481.822,7370.231852646375,7593.411803341383
2025-12-13 11:00:00+00:00,,7467.4785,7355.888367019294,7579.068317714304
2025-12-13 12:00:00+00:00,,7254.382,7142.791804062206,7365.971754757215
2025-12-13 13:00:00+00:00,,7126.3696,7014.77948961996,7237.9594403149695
2025-12-13 14:00:00+00:00,,7150.959,7039.369038313957,7262.548989008967
2025-12-13 15:00:00+00:00,,7250.7817,7139.191721130931,7362.37167182594
2025-12-13 16:00:00+00:00,,7390.7695,7279.179443613122,7502.359394308131
2025-12-13 17:00:00+00:00,,7437.1455,7325.555578018346,7548.735528713355
2025-12-13 18:00:00+00:00,,7139.677,7028.086872263126,7251.266822958135
2025-12-13 19:00:00+00:00,,6659.627,6548.036773782923,6771.216724477932
2025-12-13 20:00:00+00:00,,6347.9575,6236.367409284052,6459.547359979061
2025-12-13 21:00:00+00:00,,6019.6016,5908.011622586289,6131.191573281299
2025-12-13 22:00:00+00:00,,5664.7905,5553.20028641112,5776.38023710613
2025-12-13 23:00:00+00:00,,5278.7646,5167.1744943993035,5390.354445094313
2025-12-14 00:00:00+00:00,,5123.8335,5012.243470735559,5235.423421430568
2025-12-14 01:00:00+00:00,,5185.0825,5073.492634688457,5296.672585383466
2025-12-14 02:00:00+00:00,,5250.941,5139.351175970706,5362.531126665715
2025-12-14 03:00:00+00:00,,5532.441,5420.850759141715,5644.030709836724
2025-12-14 04:00:00+00:00,,5953.857,5842.266858471831,6065.4468091668405
2025-12-14 05:00:00+00:00,,6251.796,6140.20579786899,6363.385748563999
2025-12-14 06:00:00+00:00,,6786.238,6674.647723569935,6897.827674264944
2025-12-14 07:00:00+00:00,,7334.1035,7222.51374060707,7445.69369130208
2025-12-14 08:00:00+00:00,,7879.1167,7767.526682574277,7990.706633269287
2025-12-14 09:00:00+00:00,,7941.2246,7829.634570991476,8052.814521686485
2025-12-14 10:00:00+00:00,,7876.945,7765.354634804988,7988.534585499997
2025-12-14 11:00:00+00:00,,7861.443,7749.852899309228,7973.032850004237
2025-12-14 12:00:00+00:00,,7748.305,7636.715143906083,7859.895094601092
2025-12-14 13:00:00+00:00,,7569.9023,7458.312544809453,7681.492495504463
2025-12-14 14:00:00+00:00,,7478.2056,7366.615625083374,7589.795575778383
2025-12-14 15:00:00+00:00,,7586.4336,7474.84379797882,7698.023748673829
2025-12-14 16:00:00+00:00,,7855.8955,7744.305773791866,7967.485724486876
