number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_use_base_models_pred_intervals,params_vapor_pressure,state
0,815.210649813839,0.5368244705128724,True,True,True,False,False,False,True,False,False,False,none,0.018798564072784907,3,7,884,none,4.635039299466985e-06,3.7115367190868104e-05,idw,0.6747784642988998,0,False,False,COMPLETE
1,762.2018176246307,0.6380041138721184,True,False,True,False,False,False,False,False,True,False,large,0.010601369506160953,5,1,917,none,2.1020363123231504e-08,1.8787407865402574e-07,mean,0.8179897182599598,6,True,False,COMPLETE
2,860.7379681140374,0.5698545821172893,False,False,False,True,True,True,False,True,False,False,none,0.014877879998999177,7,8,888,large,0.041937426295013534,4.8548423142795595e-06,idw,0.7596242712318434,0,False,True,COMPLETE
3,864.8078431132873,0.895558072554042,False,False,False,True,True,False,True,False,False,True,large,0.050109429870633646,9,5,310,none,1.5626670277239596e-07,3.877248413110712e-08,distance_n_turbines,0.7992246537038201,6,False,True,COMPLETE
4,808.4437751583328,0.5716765886215607,True,False,True,False,True,False,True,False,False,False,small,0.01285876762830047,6,4,474,large,0.16886812192226613,1.6233074855618905e-06,capacity,0.7681100629364158,0,False,False,COMPLETE
5,927.3974791037172,0.9738795531491131,True,True,True,False,False,False,False,True,False,True,small,0.10974681120185342,4,2,885,large,1.963292264294058e-08,0.3155587405554754,distance_capacity,0.5079296365999535,6,False,False,COMPLETE
6,792.9015525319219,0.7814225468286711,True,False,False,True,False,True,False,False,True,False,none,0.026241909259589982,7,2,505,small,0.050042487016148926,1.1796602368646905e-08,None,0.7930628446847441,0,True,True,COMPLETE
7,790.9404708174461,0.5296969522656465,True,False,False,False,False,False,False,False,False,True,none,0.02293222461874303,7,2,766,small,0.012076258590588923,0.00018517126834069033,mean,0.8040805458242481,6,True,False,COMPLETE
8,789.6266392838512,0.9656404398651937,True,True,False,True,True,False,True,False,True,False,large,0.016817662292259665,4,7,422,small,2.767214847047859e-06,0.001046439079976552,distance_n_turbines,0.7446887015485226,2,True,True,COMPLETE
9,915.6810400741255,0.784129894468734,False,False,False,True,False,False,False,True,False,False,none,0.027443623109576088,9,9,745,small,0.7402088679582303,3.6828090395363965e-05,mean,0.9604874128719376,2,False,True,COMPLETE
10,957.7557658559402,0.6563241078606564,False,True,True,False,False,True,False,True,True,True,large,0.21323229266554802,5,1,976,none,0.00021446536143673818,2.2806441508180106e-07,max,0.9452602275088349,6,True,False,COMPLETE
11,767.9720445984891,0.6890909724476539,True,True,True,True,True,False,True,False,True,False,large,0.01003346110951155,3,6,596,none,3.3313810133941727e-06,0.003970679457052183,distance_n_turbines,0.6495638331136424,2,True,True,COMPLETE
12,824.9241152534447,0.6747428329012416,True,True,True,True,True,False,True,False,True,False,large,0.04889385393133863,3,4,626,none,6.918923843446513e-07,0.019047436069157445,distance_n_turbines,0.599642467181051,2,True,True,COMPLETE
13,805.7426446540488,0.6868189172043645,True,True,True,False,True,False,True,False,True,False,large,0.01059661413659719,5,10,672,none,0.0001065405585825257,0.006219915551711901,mean,0.8807197686615723,2,True,False,COMPLETE
14,800.0381200137207,0.724748567442388,True,False,True,False,False,True,True,False,True,False,large,0.010424870479059026,5,6,585,none,2.9022858504214082e-08,0.9224114377551097,distance_capacity,0.6596015268078115,6,True,True,COMPLETE
15,743.2664494474003,0.607455286203453,True,True,True,True,True,False,False,False,True,False,large,0.03584876339656968,3,4,737,none,1.5892758493660976e-05,0.01712333623700175,None,0.8787673869782028,2,True,False,COMPLETE
