Parameter,Value
compute_air_density,True
compute_wind_power_density,True
encode_wind_direction,True
compute_wind_shear,True
compute_wind_ramp,True
compute_air_density_moiust_air_correction,True
dew_point_temperature,False
vapor_pressure,False
gust_factor,False
turbulence_window,2
lags_choice,large
precip_lags_choice,none
drop_raw_main_features,False
drop_raw_wind_features,False
spatial_agg_method,mean
n_estimators,695
learning_rate,0.01813352580111501
max_depth,3
min_child_weight,5
subsample,0.630899495287999
colsample_bytree,0.7004689254130076
reg_alpha,4.4733146439946955e-08
reg_lambda,0.022796585291162984
use_base_models_pred_intervals,False
cv_folds_base,35
