number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_solar_geometry,params_vapor_pressure,state
0,346.28597631890125,small,0.925153969575576,True,True,False,True,True,True,False,True,True,True,False,1.0,0.048671941108549485,5,4,726,large,1.1161929425097366e-05,8.34919366449432e-07,large,capacity,0.8321851498262622,False,False,COMPLETE
1,405.7568486219945,large,0.7331821095512288,True,False,False,False,False,False,False,False,True,False,False,,0.24230951723987187,5,1,451,small,0.0008468366116085832,0.0016904694155125209,large,max,0.7919667053263247,False,True,COMPLETE
2,490.57128785899835,large,0.9174224196840717,False,False,True,True,False,False,False,False,False,False,False,12.0,0.20635666961509186,5,5,435,none,4.556020533970135e-05,0.0009936467930308755,small,None,0.5198643301722724,False,False,COMPLETE
3,361.0985932660865,none,0.5845373047111546,False,False,False,True,True,True,False,False,False,True,False,1.0,0.03788322637756098,7,1,401,none,6.599444367450603e-05,0.09772559680941524,none,None,0.8992971018509948,True,True,COMPLETE
4,412.4691237384555,small,0.8536222653282397,True,False,True,False,False,True,False,False,True,True,False,12.0,0.23025175481125082,8,5,687,small,0.08659625388898212,1.4613129156537347e-07,small,capacity,0.9389368955646438,False,False,COMPLETE
5,340.2492436840951,small,0.6171380795864674,True,True,False,True,False,False,False,True,False,True,False,,0.1702549115095011,6,10,982,large,0.011866566328508283,3.828754933096405e-08,medium,n_panels,0.5694161483562563,False,False,COMPLETE
6,390.0969669639663,large,0.5551390433529231,True,True,False,True,True,False,False,False,False,True,False,,0.12594778356289227,8,2,319,large,0.0006606407292101795,0.0487994354491482,medium,n_panels,0.5135606061762055,True,True,COMPLETE
7,370.8655744891742,medium,0.9934805962715183,True,False,False,True,False,False,True,True,False,True,True,1.0,0.15596694455116447,10,7,597,small,4.863380753009099e-05,1.2363742378774458e-05,none,distance_capacity,0.917605314246758,False,False,COMPLETE
8,540.2616752783996,large,0.7801598233498679,True,False,False,False,False,False,False,True,False,False,False,12.0,0.010762675141608152,4,8,340,large,0.0583983686535732,4.8363474852016694e-05,none,max,0.8907947447579626,True,True,COMPLETE
9,300.02639065753687,none,0.5410052841305217,False,False,False,False,True,True,False,False,True,False,True,12.0,0.11792436901786948,8,8,813,small,0.0007510094523590077,6.431171789040113e-07,small,None,0.6148690643645396,False,True,COMPLETE
10,325.41429446121236,none,0.5003115742998528,False,True,True,False,True,True,True,False,True,False,True,6.0,0.07876467600764081,9,10,902,small,8.34644232161658e-08,2.4030894239008697e-06,small,idw,0.6655238606093848,True,True,COMPLETE
