Parameter,Value
compute_heating_degree_hours,True
compute_cooling_degree_hours,False
compute_dew_point_spread,False
compute_temp_gradient,False
compute_wind_chill,False
compute_humidex,False
compute_wind_components,False
compute_wind_power_density,True
compute_pressure_trend,False
compute_wind_speed_gradient,False
compute_air_density,False
compute_rain_indicator,False
compute_cloud_cover_fraction,False
compute_effective_solar,True
temp_lags_option,small
precip_lags_option,none
cloud_lags_option,none
rolling_temp_option,short
drop_basic_meteo_features,True
drop_wind_meteo_features,True
drop_rad_meteo_features,False
spatial_agg_method,distance_energy
lags_target,6
n_estimators,533
learning_rate,0.09284946441858505
max_depth,3
min_child_weight,4
subsample,0.7751103869685111
colsample_bytree,0.5425068034608062
reg_alpha,0.00044934923677623706
reg_lambda,0.01082512664469864
