date,solar_50hz_actual,solar_50hz_fitted,solar_50hz_lower,solar_50hz_upper
2025-02-23 00:00:00+00:00,,23.802435,-459.99881706535666,507.603685257131
2025-02-23 01:00:00+00:00,,16.770208,-467.0310098927969,500.5714924296908
2025-02-23 02:00:00+00:00,,7.2675223,-476.5337154268111,491.0687868956768
2025-02-23 03:00:00+00:00,,6.490789,-477.310419614638,490.29208270784966
2025-02-23 04:00:00+00:00,,10.62409,-473.1771806851468,494.4253216373411
2025-02-23 05:00:00+00:00,,26.184149,-457.61713614743144,509.98536617505624
2025-02-23 06:00:00+00:00,,144.09149,-339.7098023938522,627.8926999286355
2025-02-23 07:00:00+00:00,,1031.3447,547.5434271589882,1515.1459294814758
2025-02-23 08:00:00+00:00,,1996.7261,1512.9248163855748,2480.5273187080625
2025-02-23 09:00:00+00:00,,3243.8381,2760.0368745385836,3727.6393768610715
2025-02-23 10:00:00+00:00,,5339.2964,4855.495146789335,5823.097649111823
2025-02-23 11:00:00+00:00,,5653.305,5169.504040405497,6137.106542727985
2025-02-23 12:00:00+00:00,,4448.78,3964.9785410803415,4932.581043402829
2025-02-23 13:00:00+00:00,,3300.1118,2816.310664721835,3783.913167044323
2025-02-23 14:00:00+00:00,,2238.9373,1755.1360956478743,2722.738597970362
2025-02-23 15:00:00+00:00,,948.8278,465.0265543802825,1432.6290567027702
2025-02-23 16:00:00+00:00,,147.49835,-336.3029355254191,631.2995667970688
2025-02-23 17:00:00+00:00,,7.4430594,-476.35817109695677,491.24433122553114
2025-02-23 18:00:00+00:00,,6.2069755,-477.59422216803455,490.00828015445313
2025-02-23 19:00:00+00:00,,-5.911921,-489.7131386703229,477.889363652165
2025-02-23 20:00:00+00:00,,-3.2814276,-487.08262278180905,480.51987954067863
2025-02-23 21:00:00+00:00,,0.5609796,-483.2402505638572,484.36225175863046
2025-02-23 22:00:00+00:00,,-43.988705,-527.7900106850168,439.8124916374711
2025-02-23 23:00:00+00:00,,-0.1697333,-483.97103772375453,483.63146459873315
2025-02-24 00:00:00+00:00,,-4.271296,-488.0724879416023,479.53001438088563
2025-02-24 01:00:00+00:00,,-12.639582,-496.440866281798,471.1616360406897
2025-02-24 02:00:00+00:00,,-13.9014225,-497.702701530098,469.89980079238967
2025-02-24 03:00:00+00:00,,-13.340754,-497.14198397749465,470.46051834499326
2025-02-24 04:00:00+00:00,,-12.363947,-496.1651875102659,471.43731481222176
2025-02-24 05:00:00+00:00,,-12.975397,-496.77659039754576,470.8259119249419
2025-02-24 06:00:00+00:00,,249.21051,-234.5907141266141,733.0117881958736
2025-02-24 07:00:00+00:00,,1274.1178,790.3164670409919,1757.9189693634798
2025-02-24 08:00:00+00:00,,3363.3743,2879.5729382540167,3847.175440576505
2025-02-24 09:00:00+00:00,,5782.789,5298.987939919933,6266.59044224242
2025-02-24 10:00:00+00:00,,7425.7666,6941.965249124815,7909.567751447303
2025-02-24 11:00:00+00:00,,7570.884,7087.082130609792,8054.684632932281
2025-02-24 12:00:00+00:00,,7010.7847,6526.983045051609,7494.585547374098
2025-02-24 13:00:00+00:00,,4510.4634,4026.662063569531,4994.264565892019
2025-02-24 14:00:00+00:00,,2962.5964,2478.7951667708776,3446.3976690933655
2025-02-24 15:00:00+00:00,,1211.7386,727.9373898806434,1695.5398922031313
2025-02-24 16:00:00+00:00,,262.1131,-221.6882058823096,745.9142964401783
2025-02-24 17:00:00+00:00,,-20.176569,-503.9777932085583,463.6247091139294
2025-02-24 18:00:00+00:00,,-20.077936,-503.87924820246303,463.72325412002465
2025-02-24 19:00:00+00:00,,-20.811579,-504.6128610256176,462.98964129687033
2025-02-24 20:00:00+00:00,,-17.045343,-500.84660511165725,466.75589721083065
2025-02-24 21:00:00+00:00,,-6.4408517,-490.2420675112828,477.3604348112051
2025-02-24 22:00:00+00:00,,-7.42364,-491.22486851293274,476.37763380955516
2025-02-24 23:00:00+00:00,,-3.3901923,-487.19141081721205,480.41109150527586
2025-02-25 00:00:00+00:00,,-4.2827706,-488.0839671985848,479.5185351239031
2025-02-25 01:00:00+00:00,,-0.4823554,-484.28362672158414,483.31887560090377
2025-02-25 02:00:00+00:00,,-0.47747257,-484.2786818108841,483.3238205116038
2025-02-25 03:00:00+00:00,,-4.3328195,-488.13412272140044,479.46837960108746
2025-02-25 04:00:00+00:00,,-3.4154608,-487.216665182573,480.38583713991466
2025-02-25 05:00:00+00:00,,-1.5238593,-485.3250602358214,482.2774420866665
2025-02-25 06:00:00+00:00,,194.22772,-289.57352940922533,678.0289729132624
2025-02-25 07:00:00+00:00,,625.5583,141.75699094848164,1109.3594932709693
2025-02-25 08:00:00+00:00,,1639.9014,1156.1000768210822,2123.70257914357
2025-02-25 09:00:00+00:00,,2081.5571,1597.7557694001007,2565.3582717225886
2025-02-25 10:00:00+00:00,,3506.3462,3022.5449647228147,3990.1474670453026
2025-02-25 11:00:00+00:00,,3259.4893,2775.687958414367,3743.290460736855
2025-02-25 12:00:00+00:00,,2944.8113,2461.010089022059,3428.6125913445467
2025-02-25 13:00:00+00:00,,2444.625,1960.8236739595711,2928.426176282059
2025-02-25 14:00:00+00:00,,1224.8131,741.0118220737543,1708.614324396242
2025-02-25 15:00:00+00:00,,580.2636,96.46231535113907,1064.0648176736267
2025-02-25 16:00:00+00:00,,30.44538,-453.3558593515979,514.24664297089
2025-02-25 17:00:00+00:00,,-27.007746,-510.8090107368296,456.79349158565856
2025-02-25 18:00:00+00:00,,-18.557795,-502.3590413700815,465.2434609524064
