date,solar_tenn_actual,solar_tenn_fitted,solar_tenn_lower,solar_tenn_upper
2025-03-04 00:00:00+00:00,,3.1365118,-197.71722865999027,203.99035078739234
2025-03-04 01:00:00+00:00,,2.7956915,-198.0579931348202,203.6495863125624
2025-03-04 02:00:00+00:00,,2.0078497,-198.8460255803834,202.86155386699966
2025-03-04 03:00:00+00:00,,8.114783,-192.73889090741977,208.9686885399633
2025-03-04 04:00:00+00:00,,22.001015,-178.85279694817336,222.85478249920925
2025-03-04 05:00:00+00:00,,28.526405,-172.32735578143274,229.38022366594987
2025-03-04 06:00:00+00:00,,481.5286,280.6747538285231,682.3823332759059
2025-03-04 07:00:00+00:00,,2340.206,2139.352320572639,2541.059900020022
2025-03-04 08:00:00+00:00,,4277.534,4076.680529413319,4478.388108860702
2025-03-04 09:00:00+00:00,,6854.114,6653.259814358056,7054.96739380544
2025-03-04 10:00:00+00:00,,10640.534,10439.680508871883,10841.388088319265
2025-03-04 11:00:00+00:00,,11531.051,11330.197344729233,11731.904924176617
2025-03-04 12:00:00+00:00,,12116.141,11915.286444607806,12316.99402405519
2025-03-04 13:00:00+00:00,,11021.382,10820.527667809052,11222.235247256434
2025-03-04 14:00:00+00:00,,5730.1646,5529.310671511154,5931.0182509585375
2025-03-04 15:00:00+00:00,,3246.968,3046.114165606814,3447.8217450541965
2025-03-04 16:00:00+00:00,,491.14236,290.2885628161521,691.9961422635349
2025-03-04 17:00:00+00:00,,88.48051,-112.37336151758655,289.33421792979607
2025-03-04 18:00:00+00:00,,16.582314,-184.27139586253588,217.43618358484673
2025-03-04 19:00:00+00:00,,14.343299,-186.51053843977706,215.19704100760555
2025-03-04 20:00:00+00:00,,15.7783575,-185.07554396866317,216.63203547871944
2025-03-04 21:00:00+00:00,,28.7808,-172.0730086168751,229.63457083050753
2025-03-04 22:00:00+00:00,,20.690224,-180.1635373407339,221.54404210664916
2025-03-04 23:00:00+00:00,,19.326698,-181.52706236064978,220.1805170867333
2025-03-05 00:00:00+00:00,,-2.2267694,-203.0804737837193,198.62710566366377
2025-03-05 01:00:00+00:00,,14.975379,-185.87852427330017,215.82905517408244
2025-03-05 02:00:00+00:00,,10.337928,-190.51586399074267,211.19171545663994
2025-03-05 03:00:00+00:00,,8.80326,-192.0505887091167,209.6569907382659
2025-03-05 04:00:00+00:00,,18.872108,-181.98157070062143,219.72600874676118
2025-03-05 05:00:00+00:00,,13.212195,-187.64167096315032,214.0659084842323
2025-03-05 06:00:00+00:00,,525.5284,324.6744776940418,726.3820571414246
2025-03-05 07:00:00+00:00,,2003.2855,1802.4316789450727,2204.1392583924558
2025-03-05 08:00:00+00:00,,5667.8516,5466.997718237176,5868.705297684559
2025-03-05 09:00:00+00:00,,9433.187,9232.332121923997,9634.039701371381
2025-03-05 10:00:00+00:00,,11354.775,11153.921913874288,11555.62949332167
2025-03-05 11:00:00+00:00,,11269.102,11068.24732534987,11469.954904797252
2025-03-05 12:00:00+00:00,,11671.279,11470.425079185787,11872.132658633169
2025-03-05 13:00:00+00:00,,11164.118,10963.264774107669,11364.972353555053
2025-03-05 14:00:00+00:00,,7049.8745,6849.020713757289,7250.728293204673
2025-03-05 15:00:00+00:00,,3783.1155,3582.2617560539393,3983.969335501322
2025-03-05 16:00:00+00:00,,977.606,776.7521556443837,1178.4597350917666
2025-03-05 17:00:00+00:00,,85.65678,-115.19710552080414,286.5104739265789
2025-03-05 18:00:00+00:00,,-10.057336,-210.91104989586756,190.7965295515155
2025-03-05 19:00:00+00:00,,1.734168,-199.1195246893799,202.58805475800318
2025-03-05 20:00:00+00:00,,-2.1811152,-203.03492952560282,198.6726499217798
2025-03-05 21:00:00+00:00,,-0.032677643,-200.88640834399848,200.82117110338413
2025-03-05 22:00:00+00:00,,-0.032677643,-200.88640834399848,200.82117110338413
2025-03-05 23:00:00+00:00,,7.4932013,-193.3606284207831,208.34695102659953
2025-03-06 00:00:00+00:00,,11.053504,-189.80023523757018,211.9073442098129
2025-03-06 01:00:00+00:00,,11.053504,-189.80023523757018,211.9073442098129
2025-03-06 02:00:00+00:00,,11.053504,-189.80023523757018,211.9073442098129
2025-03-06 03:00:00+00:00,,15.1533575,-185.70031776590122,216.00726168148185
2025-03-06 04:00:00+00:00,,20.519081,-180.33473703919208,221.372842408191
2025-03-06 05:00:00+00:00,,27.777138,-173.0766172175222,228.63096222986042
2025-03-06 06:00:00+00:00,,1190.1403,989.2865381872939,1390.9941176346767
2025-03-06 07:00:00+00:00,,2125.9707,1925.1168161965252,2326.824395643908
2025-03-06 08:00:00+00:00,,5234.5737,5033.719775796097,5435.427355243479
2025-03-06 09:00:00+00:00,,8135.5938,7934.7402399015755,8336.447819348958
2025-03-06 10:00:00+00:00,,11558.129,11357.275391441974,11758.982970889356
2025-03-06 11:00:00+00:00,,12117.112,11916.258989688815,12317.966569136199
2025-03-06 12:00:00+00:00,,11986.492,11785.638057410952,12187.345636858334
2025-03-06 13:00:00+00:00,,11608.933,11408.078493228892,11809.786072676274
2025-03-06 14:00:00+00:00,,7721.7344,7520.880734199247,7922.588313646629
2025-03-06 15:00:00+00:00,,3705.8022,3504.9485094189486,3906.6560888663316
2025-03-06 16:00:00+00:00,,1163.6787,962.8249738812126,1364.5325533285954
2025-03-06 17:00:00+00:00,,66.79618,-134.05756670755454,267.65001273982807
2025-03-06 18:00:00+00:00,,8.707557,-192.1461148710123,209.56146457637033
2025-03-06 19:00:00+00:00,,13.74076,-187.11312400870202,214.59445543868105
