number,value,params_alpha,params_cloud_lags_option,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_l1_ratio,params_lags_target,params_precip_lags_option,params_shortwave_lags_option,params_spatial_agg_method,params_use_solar_geometry,params_vapor_pressure,state
0,1851.8911451742288,0.2815731395261073,large,False,True,False,False,False,True,True,False,True,False,True,0.41636914195045566,6.0,small,large,distance_n_panels,False,False,COMPLETE
1,453461.0178015076,0.8872622190087909,small,False,True,True,False,False,True,False,False,False,False,False,0.8611392633239231,12.0,small,large,max,False,True,COMPLETE
2,20543.846832102452,0.4805556885987895,large,False,True,True,False,True,False,True,False,True,True,False,0.5223578847536877,,large,none,idw,True,False,COMPLETE
3,266623.19955627515,0.17123156187191566,medium,False,True,True,False,False,True,False,True,True,False,False,0.06264742544773265,6.0,small,none,n_panels,True,False,COMPLETE
4,4255.845540681898,0.5685413419419992,none,False,True,True,True,False,False,False,True,True,True,False,0.28372142935903016,,large,medium,max,False,False,COMPLETE
5,6752.19524482728,0.6863800884442842,large,True,False,True,True,False,True,False,True,True,False,False,0.03328856364342419,,none,medium,distance_n_panels,False,False,COMPLETE
6,1116.6880175956433,0.21346689572888616,none,False,False,False,True,True,True,False,False,False,False,True,0.7163088790810355,12.0,none,small,mean,True,True,COMPLETE
7,2772.431191524234,0.057788944063662265,small,True,True,True,False,False,True,True,True,True,True,True,0.09233599999455881,12.0,large,small,distance_capacity,False,False,COMPLETE
8,1143.2099124987562,0.19465574405162003,small,True,True,True,True,True,True,True,False,False,True,False,0.27623761144927794,1.0,large,large,idw,True,False,COMPLETE
9,2127.6809333138463,0.19673171337021736,none,True,True,False,False,True,True,True,True,False,False,True,0.5807418688295164,6.0,large,small,n_panels,False,False,COMPLETE
10,2102671.204420191,0.39529008577307867,none,False,False,False,True,True,False,False,False,False,False,True,0.9197369959207861,12.0,none,small,mean,True,True,COMPLETE
11,498.4320517168496,0.01165987059147744,small,True,False,False,True,True,True,True,False,False,True,True,0.7402508046454501,1.0,none,large,None,True,True,COMPLETE
12,538.805601899552,0.06139438259029145,medium,True,False,False,True,True,True,False,False,False,True,True,0.730923532016864,1.0,none,large,None,True,True,COMPLETE
13,522.6473847320443,0.012296220645482976,medium,True,False,False,True,True,True,True,False,False,True,True,0.7326468449010862,1.0,none,large,None,True,True,COMPLETE
14,435.2130039471417,0.03896649787522486,medium,True,False,False,True,True,False,True,False,False,True,True,0.7179165409523716,1.0,none,large,None,True,True,COMPLETE
15,579.0897439196614,0.35316088224326025,medium,True,False,False,True,True,False,True,False,False,True,True,0.6319277533932496,1.0,none,large,capacity,True,True,COMPLETE
16,421.98725603081925,0.10636374692265507,small,True,False,False,True,True,False,True,False,False,True,True,0.8657833663819658,1.0,none,large,None,True,True,COMPLETE
17,435.2130039471417,0.7497455357533132,medium,True,False,False,True,True,False,True,False,False,True,True,0.9861831412853554,1.0,none,large,None,True,True,COMPLETE
18,428.04611007705324,0.9989765202046786,small,True,False,False,True,True,False,True,False,False,True,True,0.8471221462711687,1.0,none,medium,None,True,True,COMPLETE
19,595.6137285640958,0.9914379315621439,small,True,False,False,True,True,False,True,False,False,True,True,0.9024856862760635,1.0,none,medium,capacity,True,True,COMPLETE
20,584.6711613604631,0.6070050677743543,small,True,False,False,True,True,False,True,False,False,True,True,0.8311003740169878,1.0,small,medium,distance_capacity,True,True,COMPLETE
21,428.04611007705324,0.7956170317106612,small,True,False,False,True,True,False,True,False,False,True,True,0.9950591991335908,1.0,none,medium,None,True,True,COMPLETE
22,428.04611007705324,0.8514180100432917,small,True,False,False,True,True,False,True,False,False,True,True,0.9808971299273866,1.0,none,medium,None,True,True,COMPLETE
23,428.04611007705324,0.9764705441048072,small,True,False,False,True,True,False,True,False,False,True,True,0.8226219298402648,1.0,none,medium,None,True,True,COMPLETE
24,428.04611007705324,0.8333282929494163,small,True,False,False,True,True,False,True,False,False,True,True,0.9581017115386422,1.0,none,medium,None,True,True,COMPLETE
25,428.04611007705324,0.7446868607879777,small,True,False,False,True,True,False,True,False,False,True,True,0.8212200800906074,1.0,none,medium,None,True,True,COMPLETE
26,1136.4760730677845,0.8883049176440998,small,True,False,False,True,True,False,True,True,False,True,True,0.6207433366967496,1.0,none,none,None,True,True,COMPLETE
27,494.0864343690568,0.9492566128727694,small,True,False,False,True,True,False,True,False,False,True,True,0.8857877648953918,6.0,none,medium,None,True,True,COMPLETE
28,2347.7896296494296,0.7623013728243748,small,True,False,False,True,True,False,True,False,False,True,True,0.42854669560654485,,small,medium,mean,True,True,COMPLETE
29,2281.6143194674473,0.661709315200506,large,True,False,False,False,False,False,True,False,True,True,True,0.7731240128614298,6.0,none,none,distance_n_panels,False,True,COMPLETE
