number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_base_models_pred_intervals,params_use_solar_geometry,params_vapor_pressure,state
0,302.67039650282663,large,0.7963630549533918,False,False,True,True,True,True,True,True,True,False,True,0.16432610113282933,8,8,940,large,9.832072969826239e-05,0.0014377182376572456,large,mean,0.9533569995569844,True,False,False,COMPLETE
1,282.10485898465987,none,0.5873176195330136,False,False,True,True,True,False,True,False,False,True,True,0.023902900282446647,9,3,781,small,0.13178883078908274,1.0906615420318609e-07,small,distance_capacity,0.7448184830361005,False,False,False,COMPLETE
2,285.98257642981645,medium,0.5875634596871417,False,False,False,True,False,True,True,True,False,True,False,0.2722532296688067,7,3,624,none,0.7766475271264616,0.001233642528746652,large,distance_n_panels,0.7890707303201366,False,False,True,COMPLETE
3,336.5079530890853,small,0.8881316550648121,False,True,False,False,False,True,False,True,True,False,True,0.26669965807716783,10,4,511,small,0.014596494647723331,0.007828232214910753,small,mean,0.5393743988269342,False,True,False,COMPLETE
4,286.4228229129622,medium,0.718378989713579,False,False,True,False,False,False,True,False,False,False,False,0.10870009771530267,6,3,990,large,0.0019984016028809647,0.0051163350859304265,small,distance_n_panels,0.9158584433330954,True,True,True,COMPLETE
5,291.9594613117178,small,0.9879485081645154,False,True,False,False,False,True,False,True,True,True,False,0.01850493614830464,4,10,533,large,2.190061227694147e-05,4.025024474260136e-07,small,None,0.6585859419173526,True,False,False,COMPLETE
6,292.8808782143449,large,0.6536349946053757,False,True,False,False,False,True,False,True,True,False,True,0.06659002953156097,9,4,611,small,0.015509266993141379,7.102038483712113e-06,medium,max,0.7119068290418306,True,True,False,COMPLETE
7,302.25626150635964,none,0.8819881985540895,True,False,False,True,True,True,True,True,False,False,True,0.05845356099279237,6,4,444,none,9.165916758412106e-05,0.010028228873294982,large,capacity,0.8783476557241783,False,False,False,COMPLETE
8,293.8738923161425,large,0.5700179390781447,True,False,True,False,False,True,False,False,True,False,True,0.013043488295389474,5,1,436,small,0.004354125008779593,6.391949826571928e-06,large,None,0.5914800638897336,True,True,False,COMPLETE
9,296.339010180741,none,0.5451392919988328,False,False,False,False,True,False,False,False,False,False,False,0.062071263349854106,7,9,867,small,0.2916494439761221,0.05573797937972031,small,n_panels,0.657988987181424,True,False,False,COMPLETE
10,293.6026491823411,none,0.6811979256958888,True,True,True,True,True,False,True,False,False,True,True,0.02656508484558644,10,7,771,small,4.1623444473398274e-08,3.308060978445319e-08,none,distance_capacity,0.8034054228467142,False,False,True,COMPLETE
