Parameter,Value
compute_cloud_cover_fraction,True
compute_clear_sky_fraction,True
use_solar_geometry,False
compute_air_density,True
compute_air_density_moist,False
compute_direct_ratio,True
compute_diffuse_ratio,True
compute_dni_ratio,True
compute_global_tilted_ratio,True
dew_point_temperature,True
vapor_pressure,False
precip_lags_option,small
cloud_lags_option,small
shortwave_lags_option,medium
drop_raw_solar_features,True
drop_raw_features,True
spatial_agg_method,None
n_estimators,322
learning_rate,0.02984487334773361
max_depth,6
min_child_weight,7
subsample,0.9924865838093948
colsample_bytree,0.7993342511416486
reg_alpha,1.4798067946040428e-06
reg_lambda,0.004121682377302661
use_base_models_pred_intervals,False
cv_folds_base,35
