date,gas_50hz_actual,hard_coal_50hz_actual,lignite_50hz_actual,renewables_50hz_actual,gas_50hz_fitted,hard_coal_50hz_fitted,lignite_50hz_fitted,renewables_50hz_fitted,gas_50hz_lower,hard_coal_50hz_lower,lignite_50hz_lower,renewables_50hz_lower,gas_50hz_upper,hard_coal_50hz_upper,lignite_50hz_upper,renewables_50hz_upper
2025-01-02 00:00:00+00:00,1301.75,453.25,2609.25,441.5,1218.4956299062942,458.9086190263937,2163.8254111072747,118.3465943573812,1487.619174107143,451.3622569444444,4622.549603174602,516.1400446428571,1487.619174107143,451.3622569444444,4622.549603174602,516.1400446428571
2025-01-02 01:00:00+00:00,1271.5,449.25,2712.25,442.75,1242.8171359445025,441.59919788178206,2142.518000765127,127.3279026393991,1487.619174107143,451.3622569444444,4622.549603174602,516.1400446428571,1487.619174107143,451.3622569444444,4622.549603174602,516.1400446428571
2025-01-02 02:00:00+00:00,1258.75,449.0,2777.25,406.75,1300.1197762998677,450.50903277481206,2201.434331993827,132.38913343771856,1487.619174107143,451.3622569444444,4622.549603174602,516.1400446428571,1487.619174107143,451.3622569444444,4622.549603174602,516.1400446428571
2025-01-02 03:00:00+00:00,1355.75,458.5,3248.5,118.75,1294.4962266694733,445.12392271942804,2498.9440362071477,135.27538956394523,1487.619174107143,451.3622569444444,4622.549603174602,516.1400446428571,1487.619174107143,451.3622569444444,4622.549603174602,516.1400446428571
2025-01-02 04:00:00+00:00,1552.75,527.0,3384.25,186.0,1380.3961527859967,438.73383184276287,2948.1670067400237,143.99897371234357,1487.619174107143,451.3622569444444,4622.549603174602,516.1400446428571,1487.619174107143,451.3622569444444,4622.549603174602,516.1400446428571
2025-01-02 05:00:00+00:00,1825.5,567.5,4070.25,155.5,1826.6936394130807,477.8989848303676,3437.5117495377913,274.33173861507765,1487.619174107143,451.3622569444444,4622.549603174602,516.1400446428571,1487.619174107143,451.3622569444444,4622.549603174602,516.1400446428571
2025-01-02 06:00:00+00:00,2259.5,613.5,4996.25,161.0,2199.6740869622895,630.4367068322936,3667.0058235636657,276.38431996262204,1487.619174107143,451.3622569444444,4622.549603174602,516.1400446428571,1487.619174107143,451.3622569444444,4622.549603174602,516.1400446428571
2025-01-02 07:00:00+00:00,2728.5,760.5,5667.0,334.25,2474.859876998088,668.9048222847192,4198.296021591756,742.311141678971,1487.619174107143,451.3622569444444,4622.549603174602,516.1400446428571,1487.619174107143,451.3622569444444,4622.549603174602,516.1400446428571
2025-01-02 08:00:00+00:00,2707.25,871.25,6098.75,357.25,2689.9698963435276,721.355667411153,5283.998141703883,783.2732785620885,1487.619174107143,451.3622569444444,4622.549603174602,516.1400446428571,1487.619174107143,451.3622569444444,4622.549603174602,516.1400446428571
2025-01-02 09:00:00+00:00,2509.25,895.5,6226.5,325.0,2506.875165649564,764.6091498155977,5920.46837352978,485.41637327890976,1487.619174107143,451.3622569444444,4622.549603174602,516.1400446428571,1487.619174107143,451.3622569444444,4622.549603174602,516.1400446428571
2025-01-02 10:00:00+00:00,2373.0,893.5,6234.75,319.25,2521.3992523434736,802.1923414475548,6039.922127281094,555.6093399329561,1487.619174107143,451.3622569444444,4622.549603174602,516.1400446428571,1487.619174107143,451.3622569444444,4622.549603174602,516.1400446428571
2025-01-02 11:00:00+00:00,2344.0,889.0,6184.75,268.5,2267.757176730672,834.6411744859374,5798.69354542465,492.4284424982738,1487.619174107143,451.3622569444444,4622.549603174602,516.1400446428571,1487.619174107143,451.3622569444444,4622.549603174602,516.1400446428571
