date,biomass_tran_actual,gas_tran_actual,hard_coal_tran_actual,oil_tran_actual,renewables_tran_actual,biomass_tran_fitted,gas_tran_fitted,hard_coal_tran_fitted,oil_tran_fitted,renewables_tran_fitted,biomass_tran_lower,gas_tran_lower,hard_coal_tran_lower,oil_tran_lower,renewables_tran_lower,biomass_tran_upper,gas_tran_upper,hard_coal_tran_upper,oil_tran_upper,renewables_tran_upper
2025-01-16 00:00:00+00:00,432.75,392.0,2301.75,1.0,762.75,493.709675229741,281.7362860275689,873.3086335630743,5.118076441102756,837.9058565599314,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017
2025-01-16 01:00:00+00:00,433.25,392.0,2297.75,1.0,700.5,493.709675229741,281.7362860275689,873.3086335630743,5.118076441102756,845.5214264409937,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017
2025-01-16 02:00:00+00:00,431.25,391.25,2322.5,1.0,696.75,493.709675229741,281.7362860275689,873.3086335630743,5.118076441102756,853.1369963220559,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017
2025-01-16 03:00:00+00:00,434.5,391.0,2316.75,1.0,734.75,493.709675229741,281.7362860275689,873.3086335630743,5.118076441102756,860.7525662031181,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017
2025-01-16 04:00:00+00:00,439.75,390.75,2330.5,1.0,773.75,493.709675229741,281.7362860275689,873.3086335630743,5.118076441102756,868.3681360841804,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017
2025-01-16 05:00:00+00:00,457.5,392.5,2319.5,1.0,1203.75,493.709675229741,281.7362860275689,873.3086335630743,5.118076441102756,875.9837059652426,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017
2025-01-16 06:00:00+00:00,482.0,463.75,2333.0,1.0,1448.25,493.709675229741,281.7362860275689,873.3086335630743,5.118076441102756,883.5992758463047,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017
2025-01-16 07:00:00+00:00,495.5,506.0,2333.75,1.0,1936.75,493.709675229741,281.7362860275689,873.3086335630743,5.118076441102756,891.214845727367,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017
2025-01-16 08:00:00+00:00,494.0,491.53125,2332.0,1.0,1942.0,493.709675229741,281.7362860275689,873.3086335630743,5.118076441102756,898.8304156084292,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017
2025-01-16 09:00:00+00:00,480.25,477.0625,2312.75,1.0,1736.75,493.709675229741,281.7362860275689,873.3086335630743,5.118076441102756,906.4459854894915,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017
2025-01-16 10:00:00+00:00,469.0,462.59375,2312.25,1.0,1933.5,493.709675229741,281.7362860275689,873.3086335630743,5.118076441102756,914.0615553705537,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017
2025-01-16 11:00:00+00:00,459.0,448.125,2317.25,1.0,1289.25,493.709675229741,281.7362860275689,873.3086335630743,5.118076441102756,921.677125251616,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017
2025-01-16 12:00:00+00:00,456.75,433.65625,2352.25,1.0,1040.0,493.709675229741,281.7362860275689,873.3086335630743,5.118076441102756,929.2926951326781,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017
2025-01-16 13:00:00+00:00,459.5,419.1875,2364.0,0.25,1425.5,493.709675229741,281.7362860275689,873.3086335630743,5.118076441102756,936.9082650137403,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017
2025-01-16 14:00:00+00:00,469.25,404.71875,2330.75,0.0,1346.25,493.709675229741,281.7362860275689,873.3086335630743,5.118076441102756,944.5238348948026,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017
2025-01-16 15:00:00+00:00,489.5,390.25,2236.25,0.0,1828.5,493.709675229741,281.7362860275689,873.3086335630743,5.118076441102756,952.1394047758648,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017
2025-01-16 16:00:00+00:00,510.5,391.5,2311.75,0.0,1528.5,493.709675229741,281.7362860275689,873.3086335630743,5.118076441102756,959.7549746569271,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017
2025-01-16 17:00:00+00:00,514.5,392.0,2301.5,0.0,2055.5,493.709675229741,281.7362860275689,873.3086335630743,5.118076441102756,967.3705445379893,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017
2025-01-16 18:00:00+00:00,503.75,392.0,2342.75,0.0,1926.75,493.709675229741,281.7362860275689,873.3086335630743,5.118076441102756,974.9861144190514,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017
2025-01-16 19:00:00+00:00,483.0,392.0,2346.0,0.0,1593.25,493.709675229741,281.7362860275689,873.3086335630743,5.118076441102756,982.6016843001137,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017
2025-01-16 20:00:00+00:00,469.0,391.75,2335.25,0.0,1144.75,493.709675229741,281.7362860275689,873.3086335630743,5.118076441102756,990.2172541811759,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017
2025-01-16 21:00:00+00:00,455.75,391.0,2348.25,0.0,863.25,493.709675229741,281.7362860275689,873.3086335630743,5.118076441102756,997.8328240622382,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017
2025-01-16 22:00:00+00:00,445.5,390.0,2285.75,0.0,724.5,493.709675229741,281.7362860275689,873.3086335630743,5.118076441102756,1005.4483939433004,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017
2025-01-16 23:00:00+00:00,438.0,390.5,2316.25,0.0,676.25,493.709675229741,281.7362860275689,873.3086335630743,5.118076441102756,1013.0639638243626,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017
2025-01-17 00:00:00+00:00,436.75,390.0,2305.75,0.0,662.75,493.709675229741,281.7362860275689,873.3086335630743,5.118076441102756,837.9058565599314,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017
2025-01-17 01:00:00+00:00,434.25,390.0,2300.0,0.0,624.0,493.709675229741,281.7362860275689,873.3086335630743,5.118076441102756,845.5214264409937,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017
2025-01-17 02:00:00+00:00,434.25,390.0,2314.75,0.0,610.5,493.709675229741,281.7362860275689,873.3086335630743,5.118076441102756,853.1369963220559,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017
2025-01-17 03:00:00+00:00,435.0,390.0,2320.0,0.0,803.75,493.709675229741,281.7362860275689,873.3086335630743,5.118076441102756,860.7525662031181,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017,492.34006944444445,285.8777083333333,949.9164459325398,5.063444940476191,928.6798015873017
