date,biomass_rte_actual,gas_rte_actual,hard_coal_rte_actual,nuclear_rte_actual,oil_rte_actual,renewables_rte_actual,waste_rte_actual,biomass_rte_fitted,gas_rte_fitted,hard_coal_rte_fitted,nuclear_rte_fitted,oil_rte_fitted,renewables_rte_fitted,waste_rte_fitted,biomass_rte_lower,gas_rte_lower,hard_coal_rte_lower,nuclear_rte_lower,oil_rte_lower,renewables_rte_lower,waste_rte_lower,biomass_rte_upper,gas_rte_upper,hard_coal_rte_upper,nuclear_rte_upper,oil_rte_upper,renewables_rte_upper,waste_rte_upper
2025-03-04 00:00:00+00:00,,,,,,,,361.90238553877407,3613.4639061405433,240.93856390280536,49014.2634769429,150.4638138123802,7967.55997041987,261.0036340782857,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745
2025-03-04 01:00:00+00:00,,,,,,,,365.7085271255352,4371.7796298068215,340.624860964439,49607.81086719431,134.28806272416338,8062.644634163602,273.0430026830836,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745
2025-03-04 02:00:00+00:00,,,,,,,,371.51071024021763,3321.800514567362,249.33517966124734,47555.37013510201,128.36216181124973,7506.804758654684,279.72730668243656,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745
2025-03-04 03:00:00+00:00,,,,,,,,367.9401664994894,3619.262082711083,250.80036640149277,48729.589498643836,135.817383625398,7643.427424969211,293.6010662330087,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745
2025-03-04 04:00:00+00:00,,,,,,,,362.60951787139345,4697.287376008303,294.91987474970244,48781.96859731696,123.14314247010542,7307.942818338802,265.5332765954935,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745
2025-03-04 05:00:00+00:00,,,,,,,,379.0489564513084,4531.008679166704,215.58158412682707,52372.66654896849,115.37527823627956,8317.836138719493,279.7350074084048,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745
2025-03-04 06:00:00+00:00,,,,,,,,375.37568651954865,6780.780086453184,352.85671248432914,53606.09899583241,165.5511522101671,11564.999556458173,294.2333401589681,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745
2025-03-04 07:00:00+00:00,,,,,,,,416.7137117401779,6063.031296353238,338.4392784598605,51170.07939472879,133.82938100472057,11780.516613631156,311.9302389596849,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745
2025-03-04 08:00:00+00:00,,,,,,,,360.6269117647921,6068.643559371743,356.35117895660846,51345.874861357195,110.72164539193042,10682.474870523107,323.4732285377824,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745
2025-03-04 09:00:00+00:00,,,,,,,,403.9200652582052,5858.460979448835,391.5431401822143,50819.68232544297,146.3519494124947,10134.80862497063,308.86589206301153,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745
2025-03-04 10:00:00+00:00,,,,,,,,350.5701462586734,6068.174368267193,281.83063861418026,47583.591032830336,151.66473783426363,8728.221743945549,292.9729147267028,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745
2025-03-04 11:00:00+00:00,,,,,,,,359.8309135586603,4427.3924424746465,130.901246431856,47555.25010374604,161.76011391503178,8562.30578294195,294.0411098756607,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745,359.21792410714284,2305.4280927579366,62.79329631376507,39566.12500992063,147.7467361111111,7679.840427295919,170.51812996031745
