date,load_ampr_actual,load_ampr_fitted,load_ampr_lower,load_ampr_upper
2025-04-23 00:00:00+00:00,,15950.896,15556.502927454992,16345.289869820506
2025-04-23 01:00:00+00:00,,15737.056,15342.662565527571,16131.449507893083
2025-04-23 02:00:00+00:00,,15930.15,15535.757000512956,16324.543942878468
2025-04-23 03:00:00+00:00,,16811.746,16417.35253736246,17206.139479727975
2025-04-23 04:00:00+00:00,,19232.309,18837.914583631944,19626.701525997458
2025-04-23 05:00:00+00:00,,20942.94,20548.545549493643,21337.332491859153
2025-04-23 06:00:00+00:00,,22156.86,21762.466063567845,22551.25300593336
2025-04-23 07:00:00+00:00,,22606.365,22211.97164690185,23000.75858926736
2025-04-23 08:00:00+00:00,,22338.574,21944.180670932412,22732.967613297922
2025-04-23 09:00:00+00:00,,22579.684,22185.29099292775,22974.077935293262
2025-04-23 10:00:00+00:00,,22499.787,22105.394563295195,22894.181505660705
2025-04-23 11:00:00+00:00,,22147.383,21752.989519193863,22541.776461559377
2025-04-23 12:00:00+00:00,,21618.113,21223.71928272528,22012.50622509079
2025-04-23 13:00:00+00:00,,21044.066,20649.67374468482,21438.460687050334
2025-04-23 14:00:00+00:00,,20707.393,20312.998348793266,21101.78529115878
2025-04-23 15:00:00+00:00,,20751.262,20356.868559138507,21145.65550150402
2025-04-23 16:00:00+00:00,,20731.74,20337.34629958613,21126.133241951644
2025-04-23 17:00:00+00:00,,20437.08,20042.687072540335,20831.474014905845
2025-04-23 18:00:00+00:00,,19661.129,19266.734471452728,20055.521413818242
2025-04-23 19:00:00+00:00,,18962.678,18568.285004048892,19357.071946414406
2025-04-23 20:00:00+00:00,,17517.762,17123.36854997699,17912.155492342503
2025-04-23 21:00:00+00:00,,16488.582,16094.189116816135,16882.97605918165
2025-04-23 22:00:00+00:00,,15589.46,15195.06670765816,15983.853650023673
2025-04-23 23:00:00+00:00,,15057.417,14663.023981390292,15451.810923755804
2025-04-24 00:00:00+00:00,,14802.119,14407.725257941365,15196.512200306877
2025-04-24 01:00:00+00:00,,15034.835,14640.441357207957,15429.22829957347
2025-04-24 02:00:00+00:00,,15203.818,14809.424680250087,15598.2116226156
2025-04-24 03:00:00+00:00,,16047.423,15653.02951126003,16441.816453625543
2025-04-24 04:00:00+00:00,,18551.6,18157.20651160443,18945.993453969942
2025-04-24 05:00:00+00:00,,20366.594,19972.20109967347,20760.988042038985
2025-04-24 06:00:00+00:00,,21419.297,21024.904033237824,21813.69097560334
2025-04-24 07:00:00+00:00,,21979.783,21585.38915162291,22374.17609398842
2025-04-24 08:00:00+00:00,,21956.613,21562.220610454875,22351.00755282039
2025-04-24 09:00:00+00:00,,22123.268,21728.87501814249,22517.661960508005
2025-04-24 10:00:00+00:00,,21987.986,21593.593384937783,22382.380327303294
