Parameter,Value
compute_cloud_cover_fraction,True
compute_clear_sky_fraction,False
use_solar_geometry,True
compute_air_density,True
compute_air_density_moist,True
compute_direct_ratio,False
compute_diffuse_ratio,False
compute_dni_ratio,True
compute_global_tilted_ratio,True
dew_point_temperature,True
vapor_pressure,False
precip_lags_option,large
cloud_lags_option,medium
shortwave_lags_option,large
drop_raw_solar_features,False
drop_raw_features,False
spatial_agg_method,capacity
lags_target,12
n_estimators,819
learning_rate,0.03892083551687816
max_depth,7
min_child_weight,2
subsample,0.5977301098050548
colsample_bytree,0.5869279950417496
reg_alpha,0.0017532325778386072
reg_lambda,0.001046641508512704
