number,value,params_alpha,params_l1_ratio,state
0,0.527716205741733,0.42524670227131756,0.9683834527691484,COMPLETE
1,0.6217910662743424,0.018459311271340484,0.22410254426280735,COMPLETE
2,0.528569471044521,0.5417110256276807,0.781761415009177,COMPLETE
3,0.5935845821440893,0.10520545511261249,0.7959907513744129,COMPLETE
4,0.5405671113521221,0.7177268905488022,0.33756129226592474,COMPLETE
5,0.5954339073749955,0.15807058209132036,0.40524336964341673,COMPLETE
6,0.6139496882009922,0.1452368544855354,0.13275115483350172,COMPLETE
7,0.5311300612699398,0.7686598380871849,0.4730806924332494,COMPLETE
8,0.5582894234305976,0.4017537630594204,0.45197600698455825,COMPLETE
9,0.5307355378141605,0.7921506659307028,0.509392811681884,COMPLETE
10,0.5278707264606305,0.406621902279379,0.9923749067900176,COMPLETE
11,0.5276295899776324,0.4276666314891246,0.9832701230432744,COMPLETE
12,0.5602560540599982,0.9916848620609835,0.9980269012271854,COMPLETE
13,0.5469153579486609,0.3141934941079278,0.7783812592240521,COMPLETE
14,0.5317582427323242,0.5468389976345721,0.6404522327535536,COMPLETE
15,0.5446932732620358,0.29800153590946254,0.8733979899514719,COMPLETE
16,0.5296609913289615,0.6375289638556759,0.6561384795492516,COMPLETE
17,0.5477041461952589,0.27447402555193673,0.8966599206605135,COMPLETE
18,0.538259440702629,0.45473630235263124,0.632814955784652,COMPLETE
19,0.5392443102187183,0.6161471574491508,0.8890347507900765,COMPLETE
